100	5
4 143	1 188	0 179	3 15	2 7
1 40	4 137	0 196	2 110	3 115
0 20	4 193	1 24	3 195	2 124
2 90	4 149	1 40	3 25	0 94
4 167	0 107	2 191	1 25	3 8
1 174	2 155	4 2	3 83	0 66
0 142	2 131	4 174	3 62	1 126
1 43	3 115	0 150	2 30	4 156
4 36	0 63	3 65	1 165	2 103
3 47	0 17	1 12	2 198	4 162
3 150	1 143	4 119	0 116	2 114
4 158	3 26	0 22	2 37	1 196
1 171	3 158	2 155	0 175	4 27
2 48	0 58	1 146	4 78	3 8
3 151	2 154	0 139	4 111	1 117
3 70	1 156	4 161	2 198	0 149
4 197	0 152	2 197	3 96	1 171
3 124	1 107	4 188	2 145	0 44
2 124	4 37	3 6	1 168	0 149
2 36	1 43	4 182	3 13	0 184
1 89	2 137	0 23	4 149	3 173
4 173	3 86	0 30	1 6	2 88
3 46	2 11	0 189	4 8	1 181
1 174	4 41	3 96	0 66	2 47
1 182	3 7	0 2	2 93	4 45
4 18	3 192	2 151	1 114	0 18
3 160	0 59	1 198	4 152	2 65
2 73	3 9	4 76	1 131	0 118
2 58	3 113	4 91	0 57	1 51
0 80	2 97	4 23	3 169	1 102
2 8	1 192	0 74	3 117	4 6
3 24	0 75	2 194	1 42	4 152
0 147	4 128	1 186	3 38	2 150
0 63	1 21	3 108	2 87	4 150
0 136	1 9	4 41	2 79	3 135
4 42	0 116	2 62	3 163	1 32
2 60	1 94	4 53	0 143	3 61
2 190	4 11	0 128	3 39	1 60
3 113	4 57	2 96	1 180	0 69
2 148	1 178	0 17	4 90	3 70
3 142	0 16	2 116	1 80	4 20
0 11	2 111	4 167	3 65	1 15
4 109	3 137	1 83	0 101	2 125
4 55	1 23	0 112	3 158	2 162
0 65	3 192	4 1	1 33	2 143
1 34	2 165	3 3	4 45	0 33
1 7	0 62	4 77	2 14	3 117
4 176	1 103	3 34	0 152	2 185
2 60	1 195	3 61	0 42	4 6
3 96	2 71	0 84	1 97	4 94
3 134	2 192	0 45	4 37	1 12
0 93	2 155	4 10	3 158	1 8
3 182	4 183	1 26	2 173	0 52
2 116	1 36	3 158	0 120	4 45
2 114	4 121	1 187	3 159	0 115
1 65	4 120	3 168	2 96	0 30
2 86	0 75	3 186	1 44	4 84
4 116	0 71	3 18	1 94	2 68
2 161	4 107	1 34	3 168	0 191
4 156	2 83	3 91	0 124	1 194
1 181	4 85	2 141	0 1	3 189
1 18	0 44	4 40	3 133	2 171
1 1	2 95	4 5	3 146	0 134
4 148	0 113	2 81	1 131	3 152
3 90	2 67	1 189	0 133	4 8
4 199	1 139	3 85	2 14	0 42
0 149	2 42	1 38	3 27	4 66
1 164	2 172	4 164	0 145	3 97
3 12	0 127	1 9	4 141	2 74
1 115	0 194	3 69	4 139	2 34
2 158	3 49	4 155	1 78	0 110
2 146	3 176	0 27	1 168	4 124
2 63	0 116	4 91	3 199	1 54
4 84	3 92	2 28	1 18	0 54
4 115	1 6	0 109	3 127	2 9
2 6	3 78	4 103	1 169	0 93
3 160	4 184	2 93	0 165	1 56
1 133	0 132	4 175	2 60	3 12
0 15	4 124	2 172	3 165	1 118
2 6	4 96	0 37	3 188	1 189
1 103	2 190	0 138	3 84	4 104
3 155	2 156	4 110	0 1	1 183
2 21	1 19	4 39	0 54	3 79
2 146	4 191	3 112	1 143	0 181
3 117	1 197	4 61	2 12	0 129
1 184	2 120	0 173	3 59	4 166
2 153	1 10	0 58	4 196	3 8
3 108	2 162	0 61	1 136	4 151
1 194	0 27	4 114	3 194	2 85
2 162	1 154	3 193	0 180	4 26
1 109	3 173	0 67	4 9	2 111
1 59	3 4	0 81	4 108	2 79
3 191	2 59	4 64	0 72	1 172
2 198	0 165	4 68	3 157	1 137
3 172	0 67	1 169	4 30	2 108
2 144	1 200	0 142	3 53	4 143
3 93	4 65	0 91	1 83	2 19
4 92	0 82	2 111	3 46	1 168
2 90	1 32	4 84	3 97	0 198
1 192	0 182	4 147	2 128	3 103
