70	5
2 62	3 87	4 77	1 73	0 97
1 8	0 79	3 96	4 27	2 71
0 57	2 46	4 86	1 8	3 66
0 18	2 43	3 19	4 25	1 35
2 1	0 98	3 43	4 3	1 20
4 28	3 64	0 89	2 88	1 36
2 36	3 29	4 81	1 74	0 91
2 70	3 43	0 56	4 65	1 47
4 57	0 75	1 39	3 97	2 86
2 87	0 32	4 37	1 70	3 16
2 18	4 99	0 62	1 54	3 63
0 76	2 52	1 18	3 88	4 9
2 8	1 77	0 92	3 6	4 59
3 42	4 37	1 48	0 54	2 49
2 30	1 89	3 64	0 24	4 90
2 41	3 19	0 66	1 75	4 31
4 19	2 98	0 23	1 53	3 5
0 2	4 8	2 83	1 15	3 83
0 94	4 13	3 32	2 43	1 90
2 56	3 35	1 36	4 97	0 11
3 18	0 12	1 42	4 95	2 10
4 26	0 2	1 58	3 28	2 64
1 17	3 78	0 7	2 41	4 46
0 24	3 92	1 58	2 76	4 7
4 59	1 42	2 65	3 26	0 55
2 97	0 2	1 3	3 51	4 67
4 1	3 79	1 38	2 40	0 13
0 60	1 88	4 27	3 45	2 6
1 71	3 33	2 95	4 40	0 29
1 40	0 6	2 42	3 99	4 13
0 3	1 90	4 79	2 1	3 7
0 85	4 84	3 82	1 75	2 52
2 59	1 39	3 63	0 5	4 24
2 89	3 69	4 17	0 23	1 26
2 22	4 17	0 45	3 5	1 17
2 74	4 3	3 50	1 91	0 12
4 33	1 47	2 33	3 31	0 89
1 99	2 66	4 7	3 27	0 31
4 39	0 55	3 15	1 52	2 14
2 69	0 29	1 84	3 25	4 59
1 3	3 84	4 31	0 83	2 42
1 10	4 61	3 31	2 93	0 13
0 6	3 95	2 93	4 65	1 1
0 76	1 81	4 56	2 83	3 21
4 58	2 18	0 15	3 99	1 38
3 44	1 11	0 77	2 46	4 43
0 16	3 79	2 34	4 93	1 20
3 31	2 97	0 69	4 9	1 70
2 32	0 24	1 78	3 59	4 28
0 95	3 89	1 1	4 63	2 59
3 66	0 42	1 5	2 93	4 83
1 96	4 22	3 18	0 78	2 97
0 74	1 35	3 69	2 18	4 35
4 66	3 41	1 70	0 55	2 45
4 2	1 39	3 30	0 29	2 60
3 23	0 93	1 65	4 96	2 41
4 63	2 37	0 63	3 1	1 65
0 98	2 5	4 95	1 57	3 2
0 38	3 42	2 62	4 92	1 38
0 5	2 44	4 96	1 58	3 94
1 17	4 88	2 64	3 2	0 27
2 94	0 74	4 73	1 99	3 16
2 98	4 70	0 97	3 91	1 53
3 27	2 42	0 81	4 50	1 19
1 13	2 37	4 65	0 48	3 39
4 83	3 61	0 54	2 38	1 23
1 4	0 47	4 52	2 2	3 23
4 57	1 15	2 21	3 70	0 35
1 85	0 48	2 32	3 16	4 84
2 73	3 50	1 84	0 42	4 87
