90	10
7 56	3 8	2 13	1 60	8 98	5 80	6 94	9 17	0 16	4 68
7 51	0 30	4 32	9 60	6 58	2 81	3 25	8 23	5 64	1 53
0 3	9 88	3 63	7 25	5 31	2 76	4 4	1 50	6 29	8 33
6 58	0 92	3 24	9 17	4 89	8 22	7 4	2 35	1 25	5 82
3 20	5 25	6 30	7 36	4 27	2 16	8 16	9 28	1 39	0 57
0 7	9 26	7 11	4 6	1 15	8 73	2 37	5 24	3 97	6 65
8 54	2 22	7 87	1 78	5 90	4 46	3 4	6 4	0 93	9 75
3 83	9 69	2 89	8 30	6 30	7 55	5 72	4 41	1 66	0 12
4 58	6 97	1 69	3 75	9 80	7 73	2 44	5 9	0 66	8 53
1 1	7 73	0 68	4 57	5 55	8 55	3 93	9 51	6 75	2 76
9 47	4 81	0 9	8 96	2 72	5 94	7 92	6 37	1 31	3 60
6 43	5 1	4 98	9 98	7 91	3 8	8 74	1 61	2 77	0 44
5 80	3 32	2 85	9 90	7 48	0 15	8 86	6 1	1 70	4 37
6 17	3 94	9 40	8 13	4 47	0 26	7 29	2 60	1 19	5 13
5 34	8 35	0 29	9 1	6 17	7 98	2 79	3 92	1 2	4 15
8 17	6 12	9 79	0 19	1 47	5 85	2 5	3 69	7 28	4 82
4 27	6 25	1 57	0 4	2 42	9 24	7 5	8 84	3 16	5 46
0 39	7 78	6 55	2 43	5 38	9 27	1 82	4 71	3 65	8 92
8 25	4 87	0 29	5 52	7 19	9 94	6 22	2 26	3 21	1 5
4 41	0 79	3 64	7 45	8 87	9 27	5 42	2 77	6 74	1 17
5 56	6 98	9 89	3 3	2 73	0 83	7 77	8 48	4 55	1 25
6 15	9 80	7 61	0 2	8 58	4 94	2 9	5 13	1 43	3 95
8 17	0 83	2 18	9 39	6 26	1 72	4 67	3 88	7 60	5 49
3 66	8 16	0 74	7 48	1 30	2 74	6 6	5 10	4 17	9 68
2 79	3 15	6 10	8 73	4 68	1 80	9 12	0 27	5 65	7 43
2 75	4 43	0 83	1 71	7 66	5 82	9 37	3 89	6 51	8 26
1 2	9 20	6 96	8 87	7 43	2 25	0 51	3 26	5 62	4 17
3 16	8 32	4 59	0 28	1 93	2 10	7 69	6 58	5 38	9 27
3 22	5 44	7 56	2 66	8 94	6 90	9 34	0 81	4 60	1 52
1 92	3 94	8 83	7 88	4 98	0 90	5 42	2 41	9 72	6 72
6 25	5 20	0 77	8 73	1 46	9 63	3 98	4 57	7 20	2 38
7 66	2 68	5 99	9 1	8 53	1 93	3 14	4 23	6 84	0 38
4 96	6 12	8 82	2 12	0 74	1 95	7 88	5 67	3 50	9 41
