30	10
1 79	5 83	6 127	9 9	8 112	4 198	0 173	3 133	2 170	7 39
7 72	4 190	2 155	0 52	9 65	1 149	8 92	6 74	5 117	3 26
0 152	6 133	7 78	4 108	1 93	9 170	8 146	5 182	2 198	3 47
8 56	0 136	3 72	4 86	6 59	5 2	2 110	7 87	9 200	1 153
9 54	8 155	6 69	3 115	4 187	2 195	0 161	7 174	1 30	5 145
1 191	0 171	9 169	4 187	3 74	6 45	5 8	2 194	8 115	7 15
5 33	7 61	3 118	1 56	4 61	8 22	6 37	2 41	9 52	0 72
6 186	4 144	8 108	9 146	5 126	0 199	7 167	3 30	1 114	2 145
7 67	6 97	4 199	5 114	0 184	3 30	1 199	8 30	9 177	2 16
4 169	6 52	2 154	3 154	5 30	9 99	0 104	7 178	1 103	8 199
7 189	5 38	2 55	9 182	3 80	8 164	4 105	1 10	0 45	6 81
3 138	4 7	2 61	0 120	8 152	1 188	5 131	6 198	7 36	9 37
3 154	7 146	9 167	6 22	0 115	8 50	2 6	1 78	4 35	5 125
2 55	7 98	4 79	0 99	9 165	3 153	8 193	6 13	5 187	1 112
9 38	3 159	4 58	7 76	0 138	6 136	2 161	1 122	8 52	5 192
6 141	5 157	8 65	9 126	3 36	4 85	7 55	1 133	0 141	2 147
5 55	4 4	0 195	9 130	6 72	7 177	2 41	3 118	1 70	8 161
7 180	6 109	1 77	8 128	0 127	2 141	4 48	3 197	9 36	5 128
3 178	7 169	5 104	6 106	1 1	2 54	9 66	4 14	0 127	8 63
5 86	1 55	3 46	0 79	8 16	9 40	2 151	6 99	4 74	7 40
9 18	0 33	7 184	5 65	1 185	2 11	8 155	6 113	4 14	3 58
6 137	3 125	1 5	9 76	2 172	5 51	7 9	0 64	8 163	4 198
1 190	0 45	9 172	6 167	8 36	7 150	2 197	5 149	3 54	4 48
1 44	3 58	4 165	8 159	9 167	7 35	6 23	2 85	0 79	5 188
5 148	7 81	8 151	3 173	9 173	6 19	1 17	0 65	2 136	4 53
4 93	7 77	6 121	0 182	1 97	9 148	8 171	2 136	5 170	3 9
1 107	6 125	5 19	7 149	3 2	9 116	2 65	8 3	0 118	4 156
1 176	2 167	8 29	3 176	6 135	4 26	0 10	7 184	9 40	5 59
5 183	1 177	7 42	6 32	2 10	8 16	9 43	0 42	4 127	3 166
5 22	2 89	3 8	8 1	0 152	4 150	9 116	7 196	1 40	6 13
