40	5
2 61	4 117	1 172	3 10	0 33
0 45	1 88	3 50	2 104	4 37
4 20	1 60	2 164	3 180	0 76
4 156	2 21	0 188	1 194	3 82
3 151	1 180	0 118	4 158	2 39
4 141	0 199	2 37	1 68	3 137
0 38	1 53	3 193	2 68	4 182
3 165	2 8	4 156	1 153	0 141
2 123	1 153	3 77	4 160	0 154
1 183	2 68	4 28	3 195	0 144
3 18	2 133	0 13	4 96	1 86
4 119	0 41	1 93	2 172	3 180
4 171	0 92	2 128	3 185	1 187
0 141	3 34	2 172	4 97	1 134
2 55	3 121	4 140	1 82	0 9
0 71	1 50	2 105	4 52	3 125
4 62	2 13	3 65	1 163	0 159
4 176	0 95	3 185	2 140	1 150
3 107	4 49	1 87	0 145	2 35
0 16	1 117	2 63	3 28	4 102
2 143	4 135	1 29	3 126	0 111
4 99	3 135	0 109	2 136	1 84
0 34	3 79	2 122	4 1	1 8
4 85	1 36	0 149	2 9	3 74
0 110	1 199	3 25	4 151	2 87
0 34	4 125	2 45	1 90	3 101
1 54	2 200	3 75	0 114	4 7
4 181	2 24	3 67	1 4	0 200
1 53	0 60	4 118	2 154	3 99
0 61	1 69	4 154	3 105	2 61
0 122	4 45	2 68	3 121	1 200
3 133	0 135	1 140	2 194	4 154
2 150	3 199	4 115	0 175	1 175
1 121	4 137	0 109	3 91	2 11
0 86	4 43	1 49	3 89	2 135
1 57	0 32	2 98	3 195	4 134
1 16	3 141	0 6	4 176	2 14
0 100	1 45	4 174	2 81	3 178
4 96	1 153	2 77	3 58	0 62
1 61	2 103	3 186	0 120	4 59
