15	15
13 178	0 155	4 154	3 125	7 44	1 159	12 13	8 66	10 88	5 99	2 115	9 68	6 143	11 142	14 131
11 134	0 170	5 148	7 58	3 38	13 174	6 90	8 148	9 189	2 117	14 107	10 24	4 100	12 113	1 186
0 3	14 192	2 176	12 94	11 184	10 195	13 198	7 8	4 28	6 195	8 37	1 43	9 145	3 16	5 126
12 121	9 190	13 161	0 23	10 199	4 158	11 84	6 68	2 95	7 120	3 143	14 191	5 83	8 32	1 166
0 172	2 126	4 194	1 153	6 142	7 20	13 154	11 114	14 131	10 177	5 106	3 175	8 47	12 48	9 120
6 17	0 195	5 90	4 20	11 59	2 107	1 175	7 169	8 148	12 125	10 147	9 166	14 94	3 154	13 166
9 1	0 95	13 102	11 17	12 154	5 61	7 118	2 32	4 66	10 40	8 60	6 107	14 36	3 148	1 158
1 25	6 176	8 129	5 174	2 15	0 137	7 73	14 152	3 181	9 40	13 21	10 103	11 194	12 198	4 80
14 157	4 155	1 3	10 189	8 148	3 48	2 78	12 68	13 46	6 160	9 50	5 172	0 38	7 145	11 61
12 91	1 10	2 31	4 175	7 168	5 63	6 66	10 64	8 106	0 86	14 197	13 136	3 9	11 154	9 136
9 63	14 72	0 151	6 104	7 35	13 122	2 187	10 135	3 92	11 176	8 136	12 70	1 146	4 156	5 6
2 102	14 11	9 166	3 140	8 199	10 63	5 129	11 82	13 93	6 15	12 93	4 197	1 99	7 66	0 169
2 176	11 194	1 46	14 137	12 131	4 37	7 75	6 119	9 19	13 98	5 103	3 6	0 128	8 87	10 54
8 151	5 97	7 83	10 172	0 15	12 149	3 96	6 95	1 112	9 149	11 33	2 82	14 36	4 74	13 114
2 13	7 129	9 140	8 63	12 55	14 165	0 47	4 53	11 112	6 107	13 143	1 55	10 195	5 190	3 141
