70	40
14 26	20 79	35 31	26 3	38 15	30 76	16 35	9 91	37 45	10 82	7 59	5 56	15 97	13 56	27 15	2 77	24 62	18 9	17 1	19 32	11 32	12 91	1 83	31 22	36 76	6 20	32 30	21 24	4 53	39 54	23 67	29 11	0 6	8 27	33 74	28 94	3 5	22 18	34 58	25 13
32 34	10 83	7 53	2 55	20 89	12 64	9 28	4 38	34 83	23 6	5 11	17 33	19 46	30 92	1 36	28 13	14 38	18 90	6 61	36 55	26 17	13 35	24 66	39 21	37 3	15 47	27 82	33 92	0 60	22 43	16 19	3 40	25 15	11 91	38 91	21 5	8 50	35 89	29 9	31 2
24 37	0 68	1 28	36 2	18 88	17 59	22 66	29 3	26 15	14 72	33 9	23 67	13 71	3 59	19 60	20 70	30 73	21 17	32 30	39 26	11 80	38 19	16 90	12 56	31 97	27 8	7 27	28 22	25 67	15 84	34 71	35 75	5 84	6 97	2 24	8 32	9 89	10 59	4 20	37 78
4 64	0 28	18 10	32 9	31 19	10 49	28 46	7 59	14 73	29 1	37 86	22 42	17 70	21 35	12 77	16 25	25 11	34 62	8 53	30 20	5 40	6 23	39 59	20 17	9 54	33 75	38 56	15 67	2 96	23 61	13 23	27 97	36 41	3 11	26 93	19 35	1 15	24 49	35 96	11 4
21 83	37 25	26 73	33 63	12 64	29 25	10 91	4 75	28 15	24 37	30 6	0 30	15 20	35 8	36 25	38 13	25 74	39 23	34 37	2 5	5 84	1 58	7 80	14 87	23 61	11 7	17 48	13 11	27 9	6 89	20 76	18 21	22 90	16 41	9 6	32 78	31 38	19 96	3 94	8 28
3 28	21 52	37 47	34 58	10 40	4 83	2 4	7 29	6 14	16 72	12 22	31 27	20 90	35 6	32 7	33 53	13 60	30 63	39 51	17 48	19 66	22 97	23 91	11 68	38 19	18 17	1 41	24 78	14 63	26 25	8 39	28 41	9 55	0 36	27 92	15 23	29 81	25 90	5 72	36 80
1 95	5 24	22 8	32 84	13 79	36 8	28 75	3 93	21 1	0 86	10 29	26 32	15 78	37 39	6 86	39 75	25 15	35 36	8 37	20 36	17 92	7 97	33 19	31 71	19 64	29 34	34 77	14 72	16 64	38 13	9 53	2 96	23 52	12 18	27 26	11 24	4 34	24 67	18 98	30 87
35 73	20 4	9 69	1 32	2 12	18 65	38 20	6 41	27 19	39 86	13 93	11 14	31 70	25 87	17 89	36 57	4 28	16 65	23 26	22 71	26 14	30 39	14 8	21 57	19 44	15 98	0 61	29 58	28 78	37 19	32 96	33 15	10 1	3 21	7 57	24 5	5 55	12 56	34 98	8 67
9 86	12 84	11 77	28 18	31 23	21 74	16 14	10 30	38 64	2 97	17 89	13 6	20 72	6 77	37 93	36 89	5 49	1 11	27 61	15 67	0 99	23 95	14 61	7 71	22 62	39 19	34 76	3 74	26 39	33 11	29 4	4 68	24 83	25 67	32 62	35 61	19 19	30 34	18 40	8 44
6 55	4 24	0 29	19 57	37 35	32 30	13 4	21 51	29 95	33 39	35 25	31 47	17 90	14 41	20 91	24 27	8 84	26 99	38 69	2 65	5 38	9 44	18 9	11 86	3 17	12 75	10 63	36 80	34 58	16 64	28 35	1 5	25 16	7 1	22 9	27 7	30 90	39 62	15 9	23 99
11 77	24 8	19 13	34 96	16 72	22 20	7 4	6 8	12 12	1 54	38 17	14 25	39 30	18 56	33 59	0 72	17 18	26 97	30 20	27 46	9 28	13 48	8 66	23 65	25 93	35 1	4 76	28 30	3 10	31 47	37 14	2 31	36 12	20 22	15 59	10 33	5 55	29 59	32 16	21 3
17 90	19 39	5 17	26 10	22 52	2 53	18 22	9 49	38 72	36 83	28 98	24 44	6 52	11 15	1 24	0 60	15 18	23 63	33 43	39 88	21 54	27 11	32 39	20 82	4 6	13 60	7 13	31 7	25 20	3 83	29 97	8 18	37 65	16 82	14 78	12 49	34 60	30 32	35 39	10 84
2 56	19 21	21 98	16 38	37 6	7 59	30 87	23 23	3 89	22 97	39 39	13 88	12 86	15 27	28 22	9 66	32 2	18 40	26 46	38 57	33 47	17 82	29 11	0 49	24 89	11 96	10 46	8 90	14 97	5 31	4 81	27 2	36 13	25 22	34 18	6 23	35 39	1 94	20 8	31 2
34 73	5 38	0 71	30 62	19 20	18 21	4 38	10 51	9 65	38 65	28 31	17 23	23 49	11 83	24 66	2 78	3 81	25 81	39 1	7 44	13 63	36 1	27 55	31 42	14 80	12 28	1 67	22 60	29 57	35 1	26 46	8 6	21 47	33 84	15 22	37 42	32 10	6 89	20 75	16 57
9 85	18 62	28 70	7 85	39 77	16 46	17 89	14 12	29 86	0 86	30 72	33 84	11 17	23 26	1 78	27 93	32 83	22 45	24 63	8 53	37 7	6 44	36 86	26 78	5 63	13 82	4 6	10 86	25 92	38 71	19 16	2 72	35 54	34 11	15 78	31 80	21 94	12 29	3 93	20 57
