50	10
7 52	4 39	6 74	2 58	9 49	3 18	0 34	8 30	5 96	1 85
6 33	9 42	1 50	3 24	2 12	4 52	0 85	5 10	8 68	7 20
5 69	4 38	7 89	8 74	2 53	3 78	6 41	0 64	9 76	1 55
5 60	7 27	9 30	3 69	4 86	1 36	6 5	0 49	8 86	2 13
5 46	9 22	7 68	3 19	6 51	0 8	2 60	8 11	4 26	1 87
7 30	5 63	8 29	1 12	4 40	0 27	3 48	2 44	6 96	9 54
9 87	3 59	0 30	4 48	8 81	7 47	6 50	5 71	2 5	1 40
0 44	7 76	6 46	2 84	4 98	5 10	1 38	8 60	3 92	9 24
8 38	4 83	0 68	7 72	6 7	1 95	5 47	9 10	3 96	2 40
7 87	1 77	9 5	5 30	3 48	6 6	8 78	0 22	2 43	4 74
4 50	3 28	6 52	2 71	8 78	9 76	5 24	0 98	7 10	1 7
7 64	3 67	0 48	8 94	4 63	1 34	9 18	5 15	6 66	2 74
9 54	3 12	2 77	0 61	4 33	8 21	1 20	5 77	7 8	6 48
9 99	6 65	4 36	8 35	1 65	7 3	3 72	0 35	5 70	2 11
4 37	6 51	5 77	3 54	1 48	2 45	0 66	7 81	9 62	8 79
2 22	6 18	4 26	1 19	8 39	7 84	0 28	9 96	3 9	5 36
7 20	6 27	1 72	9 52	2 95	0 48	4 8	8 69	5 49	3 18
6 11	7 61	1 45	4 67	2 98	0 45	8 27	3 21	9 77	5 24
9 97	7 10	1 71	6 10	3 36	0 70	5 85	2 63	8 84	4 65
4 90	9 35	3 26	8 28	0 79	1 98	5 22	6 2	2 13	7 57
7 63	9 52	6 38	4 39	8 27	3 71	5 89	0 51	2 4	1 14
3 6	1 69	7 73	6 91	2 96	0 52	4 86	5 46	8 8	9 68
7 8	4 66	6 84	1 49	0 65	2 2	5 72	3 63	9 38	8 21
2 45	8 75	5 75	4 34	1 13	6 69	3 57	9 57	0 15	7 5
6 85	9 3	7 71	5 75	3 52	0 80	2 22	4 55	1 17	8 82
7 15	3 1	5 41	4 75	8 93	1 92	0 62	6 58	9 53	2 33
4 86	8 59	3 35	7 20	0 52	2 76	6 59	5 11	1 46	9 87
9 7	1 61	3 94	5 71	7 67	2 74	0 37	6 95	8 51	4 2
6 70	4 28	7 62	8 98	3 46	5 54	0 25	2 14	9 53	1 86
0 15	5 52	8 95	7 87	6 41	4 89	9 1	1 25	3 63	2 41
3 2	9 17	1 36	5 23	8 2	0 86	2 51	4 12	6 43	7 99
9 54	2 43	7 15	1 67	5 70	6 8	3 11	8 82	0 47	4 49
5 44	3 54	4 8	9 31	2 49	0 77	8 52	1 66	7 39	6 32
3 40	1 57	5 21	8 52	6 32	4 43	0 64	2 20	7 62	9 87
9 56	7 37	2 98	8 10	5 34	0 91	3 78	6 35	1 28	4 56
6 60	8 62	0 70	1 59	7 50	4 32	3 46	9 99	2 83	5 10
6 6	5 72	8 36	0 19	7 75	4 63	9 8	1 2	3 13	2 29
7 17	4 23	8 5	6 45	1 82	5 81	0 14	3 66	2 10	9 64
5 84	3 78	1 92	4 77	6 23	0 2	7 52	9 83	2 52	8 12
1 71	2 19	4 43	6 38	8 53	9 22	5 58	0 31	3 1	7 47
7 32	6 25	4 60	2 34	9 44	8 40	1 65	3 87	0 80	5 21
1 91	5 86	0 24	7 55	6 75	2 5	3 35	9 82	4 84	8 59
7 8	2 99	5 35	9 98	1 35	4 98	3 41	8 85	0 8	6 23
9 19	7 57	0 11	6 5	3 96	5 87	1 54	4 84	2 14	8 75
0 5	6 33	3 30	7 32	5 34	9 86	1 22	8 28	2 16	4 3
5 40	1 71	3 62	9 14	4 24	2 67	0 70	7 2	6 46	8 2
5 76	2 69	4 95	1 31	8 71	0 27	7 24	6 48	3 45	9 63
1 68	0 67	6 51	7 95	5 90	9 23	8 98	4 84	2 37	3 94
5 20	2 50	6 44	0 28	9 93	7 39	1 4	4 92	8 23	3 34
7 50	6 97	3 26	4 41	0 90	5 70	9 61	1 87	2 23	8 5
