70	15
10 82	8 167	5 7	13 150	6 99	3 31	9 3	0 156	12 69	14 23	11 136	2 126	1 196	7 20	4 151
14 14	10 156	9 154	1 14	8 78	5 1	2 169	3 175	12 20	13 13	0 78	11 141	7 111	4 89	6 160
8 143	6 128	9 61	1 68	2 24	11 106	0 170	5 103	12 198	10 99	13 79	7 135	4 125	3 182	14 155
3 90	9 154	5 152	2 44	10 3	1 8	12 14	14 2	11 148	6 178	7 163	13 161	4 187	8 25	0 74
9 7	2 50	5 157	3 65	8 180	0 31	11 61	1 159	13 30	7 86	4 90	6 114	12 133	14 195	10 175
12 97	5 125	9 163	7 154	6 177	1 193	0 119	14 67	8 62	10 46	4 9	2 117	3 153	13 38	11 131
6 135	3 74	12 72	13 92	4 181	9 191	10 122	7 28	0 145	5 12	2 159	11 112	1 155	8 103	14 40
9 118	7 185	13 134	2 173	1 194	6 28	3 35	11 138	8 87	5 132	12 47	10 22	4 38	14 28	0 188
2 185	4 75	8 119	0 2	11 157	10 80	6 59	12 15	14 28	1 132	3 107	9 176	5 12	13 140	7 12
14 150	4 62	10 75	12 191	3 23	13 194	6 1	7 96	1 108	9 30	2 31	11 5	0 74	5 161	8 49
10 7	8 109	11 143	3 90	1 165	4 195	0 30	9 46	13 178	5 172	7 80	2 86	6 46	14 193	12 196
11 9	14 19	6 33	3 142	13 120	2 3	7 69	0 3	5 7	12 96	10 70	4 128	1 20	8 121	9 194
9 10	13 35	5 200	6 141	0 47	4 56	14 167	2 118	3 146	8 33	12 70	11 151	10 96	1 95	7 192
8 187	12 80	14 122	4 41	1 178	6 48	9 4	7 41	13 54	3 116	11 153	2 55	10 123	5 91	0 114
13 148	5 160	12 99	8 95	9 125	1 110	2 86	6 127	14 52	11 170	4 113	10 100	7 59	3 100	0 31
9 140	2 186	4 175	6 114	11 146	7 86	14 153	12 75	0 124	13 155	3 51	1 200	5 125	8 64	10 113
13 46	9 176	1 174	5 150	8 177	4 25	7 185	12 77	6 14	3 91	11 164	0 98	2 171	10 83	14 40
0 140	10 94	7 107	12 38	3 54	4 93	13 23	1 45	2 147	11 191	8 147	5 182	14 136	6 89	9 50
14 187	7 103	6 16	0 128	1 101	5 94	11 9	10 89	8 34	12 119	9 152	4 139	2 181	3 77	13 139
5 177	6 181	12 146	1 17	3 17	9 56	4 66	8 118	2 1	7 96	10 149	14 46	0 119	11 168	13 6
0 84	3 170	13 111	5 160	7 17	8 55	9 157	11 29	1 15	6 105	12 135	4 92	14 117	10 89	2 62
14 151	7 69	2 185	8 58	11 24	4 169	12 197	9 169	3 173	5 120	6 62	10 180	1 129	13 65	0 200
5 36	0 78	1 130	6 158	13 90	14 189	3 115	9 128	4 171	8 87	11 15	7 171	10 33	2 57	12 200
3 53	1 149	7 177	9 35	12 22	10 61	2 97	13 98	6 29	14 115	5 106	8 121	11 200	4 157	0 170
12 98	14 131	8 131	6 169	10 123	13 181	1 66	4 12	5 126	9 81	2 19	0 75	7 170	3 148	11 45
9 16	12 107	14 200	5 19	1 155	6 145	8 165	3 126	7 191	4 105	11 98	10 100	13 160	2 121	0 53
4 39	7 192	0 191	10 107	3 31	13 19	11 99	5 175	8 179	9 142	2 181	12 80	1 145	6 96	14 43
0 35	10 29	5 136	8 138	3 133	11 25	1 110	12 189	14 23	2 139	7 12	6 126	4 140	13 40	9 89
0 97	10 27	2 41	14 99	7 92	11 169	4 45	3 105	1 43	13 131	12 145	9 137	6 99	5 67	8 181
12 178	9 96	8 59	14 5	13 73	4 99	0 54	5 105	11 74	6 86	1 175	7 86	2 166	3 68	10 73
8 96	11 185	6 181	0 90	12 9	14 160	5 111	10 20	7 193	3 90	9 93	13 96	1 94	2 84	4 5
8 19	12 177	2 148	13 149	10 128	9 129	4 192	6 133	11 21	7 31	1 166	0 147	3 30	5 175	14 37
6 91	12 143	2 195	7 169	11 16	5 58	9 36	1 159	10 157	4 118	0 141	13 36	8 180	3 112	14 8
12 183	13 71	11 53	8 48	14 158	1 100	7 3	0 189	9 29	3 40	6 148	2 162	10 7	5 145	4 156
4 26	0 163	3 51	5 36	9 195	12 97	11 163	2 140	13 161	8 181	1 88	14 40	6 51	10 155	7 163
14 117	3 124	4 139	11 115	12 82	6 120	9 178	1 92	5 17	10 91	2 44	7 125	8 186	0 23	13 157
11 177	7 186	8 193	5 145	9 9	10 51	2 102	4 97	3 10	0 111	12 106	14 8	6 111	1 126	13 71
5 20	4 83	9 31	10 118	2 48	13 6	12 138	1 16	0 86	14 101	3 183	7 9	11 93	8 57	6 106
5 186	10 167	8 161	4 45	2 184	11 52	1 61	14 1	12 75	7 93	0 190	6 90	3 187	9 19	13 38
13 65	10 29	0 37	7 8	11 51	14 125	5 51	4 194	12 43	9 17	6 127	8 31	2 89	1 48	3 34
12 86	1 164	13 146	14 132	6 178	11 66	10 8	2 28	0 49	8 142	3 2	4 43	7 186	9 193	5 18
10 181	13 168	4 77	14 148	5 64	6 192	11 92	9 153	7 129	3 158	12 159	1 87	0 193	8 77	2 95
1 48	6 140	10 84	0 105	12 189	8 22	9 2	11 136	4 5	5 107	7 153	13 25	2 128	14 117	3 36
13 75	9 20	0 160	5 49	3 136	8 145	7 158	10 47	14 165	11 53	1 148	4 172	2 117	6 144	12 145
4 1	3 26	10 122	9 62	12 89	1 120	7 110	13 55	8 163	2 62	6 153	11 192	5 123	14 100	0 131
13 86	6 34	1 89	7 92	12 122	9 11	4 133	10 27	0 40	11 165	8 122	2 44	14 181	3 148	5 133
4 5	7 171	8 114	11 74	14 141	13 108	2 77	10 67	12 179	9 131	5 41	0 121	3 68	6 177	1 115
0 82	10 55	11 2	7 96	5 132	12 82	1 199	14 34	8 92	2 28	6 147	9 192	3 146	13 108	4 48
10 87	11 33	9 126	5 63	2 77	13 5	0 173	6 145	7 171	8 159	4 59	3 161	12 55	14 145	1 39
10 81	5 181	12 48	0 138	7 145	3 27	1 106	4 101	14 80	8 57	9 200	6 48	13 181	11 98	2 161
9 135	6 71	13 64	3 135	10 112	8 159	7 111	12 57	14 65	11 105	4 38	1 185	0 200	2 159	5 7
10 99	2 129	5 74	4 150	0 15	8 4	1 191	12 31	11 51	7 47	3 196	6 177	14 80	9 173	13 38
7 95	5 96	4 138	2 96	12 164	3 150	1 13	11 187	13 77	0 104	14 30	8 135	9 71	6 58	10 20
6 92	9 76	5 33	12 55	2 36	7 51	13 145	0 171	11 161	4 136	14 73	3 102	10 4	1 14	8 56
3 102	13 39	8 90	1 152	6 145	11 21	12 7	9 29	5 30	2 181	7 73	14 16	10 7	0 79	4 183
4 28	12 32	13 179	0 59	9 158	6 153	8 97	11 69	10 4	1 144	5 170	14 167	7 62	3 97	2 139
3 131	12 179	2 141	8 97	7 86	14 200	4 19	9 36	6 170	1 128	11 15	0 57	13 154	10 115	5 42
8 111	6 79	1 81	2 140	12 165	4 196	7 48	11 161	14 45	5 61	3 61	9 77	10 96	13 100	0 198
10 47	12 62	7 171	3 163	6 41	14 100	4 99	9 89	5 50	11 198	0 138	13 125	8 119	1 67	2 81
14 186	9 86	6 150	1 133	5 85	4 195	10 153	3 179	0 101	12 96	2 171	7 130	13 62	8 152	11 43
10 92	12 43	1 72	2 89	3 111	5 67	4 72	13 11	9 155	14 200	7 137	0 98	8 84	11 190	6 97
1 73	6 9	8 61	12 106	3 11	2 10	13 190	0 117	4 181	7 84	11 33	10 105	5 154	14 155	9 10
8 97	11 12	7 79	10 23	9 172	3 54	12 164	14 75	6 23	4 131	1 54	0 163	13 88	5 75	2 122
0 60	9 22	2 58	12 8	3 130	10 39	14 199	5 37	13 47	11 16	7 174	8 28	4 127	1 40	6 115
6 76	13 168	1 143	5 174	10 39	3 156	9 24	8 188	0 91	11 58	12 72	2 183	14 112	4 118	7 24
6 112	9 110	2 189	13 73	12 163	3 9	8 66	7 108	14 57	0 53	5 105	1 153	11 158	10 197	4 11
4 170	8 32	7 20	10 93	1 141	2 76	3 16	5 52	9 87	0 22	6 146	12 154	14 39	13 168	11 100
3 133	5 21	13 92	8 104	9 191	2 12	12 24	0 102	1 68	11 109	10 81	6 48	7 21	4 6	14 123
7 85	11 175	1 179	3 38	14 107	13 86	10 116	0 22	5 64	9 97	12 197	4 36	2 60	8 191	6 119
6 114	4 117	1 115	2 198	5 113	8 200	11 26	7 116	12 62	14 200	9 89	3 1	0 6	10 24	13 118
