90	20
3 111	8 46	12 134	6 122	19 10	0 19	15 13	2 49	14 1	1 112	5 133	4 115	9 167	10 168	11 107	17 59	7 48	13 189	18 77	16 177
17 112	13 169	0 32	2 33	12 72	7 59	16 77	9 198	3 116	10 53	11 163	8 154	1 157	15 83	14 191	19 134	18 17	5 178	4 173	6 139
1 155	16 129	19 76	11 155	12 97	2 115	8 128	3 17	4 171	6 181	9 163	0 90	5 114	14 133	18 147	17 55	7 92	15 14	10 189	13 180
9 35	2 186	12 27	5 68	11 102	8 130	16 130	17 115	7 20	13 14	15 78	3 108	0 7	4 79	6 177	1 140	18 192	19 165	10 148	14 195
4 164	1 123	10 115	11 116	16 192	0 124	14 30	8 119	13 14	3 152	17 19	15 162	7 154	6 11	9 133	12 33	5 141	18 38	19 14	2 8
6 6	17 124	19 33	1 79	0 39	11 58	5 18	15 26	18 81	9 118	12 112	8 151	4 103	7 39	13 147	3 198	2 120	14 185	16 88	10 47
13 161	2 55	5 104	1 197	0 110	14 67	3 112	16 134	8 185	19 57	7 2	9 58	18 3	10 60	17 181	6 110	12 91	15 105	4 37	11 30
15 122	16 183	0 79	7 162	3 36	12 105	18 77	13 188	1 138	9 61	14 7	19 136	8 127	10 55	5 64	2 11	4 59	11 109	6 199	17 69
6 186	11 116	15 95	2 103	18 47	17 26	4 44	5 142	1 150	9 129	3 127	12 55	8 195	19 31	0 30	13 74	10 180	14 81	7 63	16 200
18 187	10 184	13 66	2 191	7 70	17 89	1 118	16 101	14 128	5 2	8 55	6 133	9 106	12 77	0 200	11 77	3 36	19 149	15 80	4 71
2 32	6 45	19 153	18 160	12 155	5 180	8 186	4 174	3 99	14 18	15 125	0 118	10 199	16 192	9 41	13 33	17 46	7 36	1 39	11 86
8 70	18 105	6 194	7 187	16 192	2 185	5 184	14 139	17 169	3 81	10 102	4 134	19 12	0 112	1 184	13 143	11 86	9 101	15 57	12 46
14 163	17 88	7 137	5 137	1 175	16 20	0 151	2 37	12 139	13 181	4 182	18 194	10 9	6 157	11 164	19 191	3 54	8 190	15 101	9 125
16 66	17 171	14 85	0 91	3 168	19 123	9 153	6 194	18 9	7 145	15 83	12 47	4 117	8 196	2 90	1 51	11 55	13 26	5 121	10 58
11 156	7 14	2 21	16 61	3 120	12 84	6 139	4 153	1 63	19 99	8 58	0 37	5 78	17 94	14 80	13 141	18 116	15 102	9 199	10 166
11 40	2 1	15 99	7 143	1 64	17 115	8 92	9 32	5 66	4 13	12 57	10 190	3 163	14 112	13 149	6 138	0 27	18 6	19 122	16 130
11 59	6 158	5 85	18 168	1 46	14 161	9 92	13 138	3 3	4 39	16 76	7 168	8 162	17 79	10 28	0 32	2 120	12 151	15 16	19 50
13 47	15 40	16 175	1 120	10 122	12 121	2 124	19 59	14 50	0 191	11 100	3 168	18 179	5 13	7 36	9 184	8 152	6 115	4 163	17 109
10 179	7 65	6 100	11 152	0 7	2 100	1 87	4 104	14 162	12 100	18 140	9 21	3 44	17 128	15 113	19 121	5 62	16 63	13 142	8 147
4 184	5 155	12 70	9 16	10 166	15 111	16 152	2 45	3 33	19 24	17 146	7 82	6 127	14 189	0 107	18 143	1 71	11 106	13 183	8 98
18 71	15 13	6 60	2 183	4 131	17 136	14 179	12 185	11 104	7 88	10 133	3 78	1 124	9 52	8 163	16 71	5 92	19 79	0 7	13 144
18 146	17 14	13 21	15 42	12 178	1 168	16 128	8 163	10 168	2 199	9 60	19 196	6 142	0 96	14 51	4 54	3 46	11 181	7 26	5 194
16 153	12 55	2 49	8 194	18 136	0 199	6 145	14 131	5 165	19 142	3 55	15 60	10 15	1 174	11 199	13 80	9 66	17 127	4 184	7 66
6 16	8 79	11 185	5 148	3 11	7 176	0 168	17 124	4 17	13 25	2 135	12 110	10 105	1 150	9 23	16 103	19 30	18 197	14 27	15 72
4 48	6 178	7 5	1 153	14 92	16 10	0 105	5 175	8 146	9 109	3 66	19 185	15 29	12 70	18 196	2 93	11 164	10 62	17 69	13 190
19 170	17 31	14 172	3 118	10 129	0 38	13 37	4 131	15 176	1 109	16 86	9 102	12 55	7 132	18 44	5 111	8 17	2 32	6 21	11 160
0 138	12 178	6 138	17 20	11 7	8 44	9 182	19 50	4 178	14 100	1 99	5 97	7 123	3 44	18 102	13 119	15 36	16 166	2 150	10 112
11 164	14 191	5 29	10 130	2 86	3 56	6 104	4 44	8 44	0 181	7 116	19 157	9 70	17 148	16 34	18 69	13 132	1 3	15 107	12 84
16 133	12 79	4 89	0 90	15 80	10 8	14 135	3 175	9 79	1 129	6 151	19 165	2 120	8 101	13 72	17 165	18 79	11 186	5 132	7 126
1 102	0 25	12 159	18 179	3 123	7 181	8 7	6 189	2 166	16 168	5 5	15 48	19 189	17 44	10 159	13 196	11 73	4 28	9 104	14 1
18 77	5 127	2 110	17 177	3 27	0 50	6 182	1 11	12 184	9 16	7 165	8 26	19 151	10 18	15 16	11 23	13 42	4 43	14 25	16 130
17 31	12 31	11 146	14 21	0 136	13 48	9 66	15 132	4 86	16 135	2 77	7 119	1 82	5 111	18 62	8 142	3 52	19 78	6 148	10 141
14 131	8 71	15 38	18 87	7 40	16 200	12 46	13 200	19 149	2 195	9 15	3 68	10 166	11 191	5 164	0 20	4 27	6 92	17 99	1 175
