80	20
7 67	0 166	2 19	12 28	16 32	3 49	10 154	6 149	19 23	14 119	1 80	4 161	17 32	15 86	13 197	11 144	9 64	5 102	18 187	8 13
17 130	18 41	1 125	15 93	19 139	13 36	14 26	2 92	9 115	11 40	7 97	12 135	8 51	5 75	6 93	16 189	3 73	0 192	10 130	4 23
7 94	1 105	0 107	6 8	3 25	15 70	18 112	17 184	2 79	11 87	4 74	19 84	9 178	10 137	5 154	16 105	8 132	12 173	14 122	13 82
6 176	9 44	15 58	7 64	5 95	13 152	8 105	19 116	16 193	3 110	11 35	10 161	1 19	18 29	17 21	0 65	14 40	2 22	12 168	4 121
4 82	14 166	1 80	19 174	6 32	3 32	7 82	12 34	9 153	5 24	8 82	17 67	18 27	2 186	10 37	13 13	11 61	16 1	0 55	15 43
9 88	13 24	19 190	5 111	3 10	8 127	2 170	11 81	17 67	10 84	1 185	18 9	6 16	16 189	7 79	15 4	12 81	0 200	4 167	14 40
7 144	12 111	15 14	2 123	10 89	5 122	3 9	4 6	1 133	9 66	6 39	0 189	17 39	13 148	19 190	14 23	18 119	8 139	16 157	11 8
2 139	13 36	11 123	5 63	10 11	4 123	3 86	12 197	6 157	17 164	8 52	7 90	0 194	16 113	18 73	9 142	15 195	14 12	19 163	1 127
6 157	12 72	9 191	16 79	15 99	19 58	10 27	0 127	4 31	3 98	11 176	13 96	18 46	5 100	2 53	7 35	17 63	14 26	8 3	1 66
4 186	10 87	18 89	7 171	3 132	11 155	17 102	2 45	14 42	8 75	19 106	0 111	5 35	16 170	9 19	15 90	6 47	13 104	12 118	1 141
9 130	0 113	4 156	14 8	5 61	6 119	8 45	19 69	16 175	3 66	1 24	11 70	18 101	12 129	17 78	13 92	2 113	15 127	7 90	10 160
15 181	14 39	1 148	7 120	6 137	13 5	2 21	17 130	5 177	3 2	18 2	11 20	10 62	9 74	19 180	12 41	0 73	8 123	4 60	16 187
16 53	19 116	7 75	12 98	10 131	13 137	5 150	8 70	18 31	3 43	11 96	1 197	6 52	15 112	14 63	9 46	17 112	0 99	2 18	4 112
17 30	6 35	8 124	18 95	10 137	15 94	1 101	2 166	4 5	5 117	14 108	0 151	11 74	12 105	9 6	19 56	16 8	3 43	7 102	13 186
4 44	3 83	13 140	14 73	0 52	11 171	5 1	16 36	10 172	17 143	8 8	12 75	19 86	6 187	9 176	7 146	15 19	2 7	18 98	1 2
10 67	1 197	2 122	7 108	11 46	3 197	13 141	6 3	18 181	16 195	19 42	14 50	5 78	12 188	4 1	15 92	17 1	9 162	8 51	0 98
18 46	0 110	1 133	8 118	7 23	13 180	15 100	16 69	3 157	5 52	2 79	4 35	10 107	14 91	17 33	6 26	9 198	19 95	12 167	11 90
15 9	12 170	4 80	10 82	17 133	7 182	0 165	16 170	11 42	19 51	8 195	14 95	6 119	9 122	5 48	18 154	3 35	2 109	1 78	13 28
6 11	8 144	14 63	9 147	17 44	5 102	12 132	18 149	10 99	7 198	15 187	0 75	19 62	2 102	3 2	1 17	13 43	16 27	4 66	11 107
1 135	16 41	15 154	18 134	7 116	11 158	5 138	8 75	14 165	9 2	6 101	3 5	10 32	13 11	0 113	19 188	12 200	17 42	4 12	2 138
4 111	18 172	12 182	17 44	13 95	0 107	11 20	8 135	14 120	3 56	1 3	15 164	7 123	6 74	2 116	10 132	5 100	16 189	19 114	9 185
0 93	12 11	13 110	9 184	1 158	18 109	7 5	10 62	3 183	4 183	17 112	19 119	2 71	5 182	11 92	14 162	15 13	6 98	16 199	8 119
15 140	1 36	18 89	8 45	6 69	13 195	16 172	9 196	19 189	3 121	0 29	12 108	10 52	7 38	5 187	4 163	14 56	11 66	17 62	2 68
