20	70
58 49	7 49	21 45	24 52	15 52	43 44	25 51	13 49	33 46	64 46	44 52	19 62	41 55	3 58	53 56	28 41	1 58	61 55	55 52	26 44	5 49	10 53	27 63	69 52	23 55	30 52	47 50	16 45	51 46	68 51	38 54	6 47	52 51	65 44	36 55	9 56	18 51	4 52	60 47	62 44	56 55	37 51	20 54	14 51	45 46	17 51	39 56	46 49	42 49	57 52	29 48	2 53	66 38	59 56	49 56	54 51	67 46	35 40	0 50	31 54	40 49	32 52	12 57	11 55	34 49	50 57	63 54	8 50	22 53	48 45
15 48	38 51	59 58	4 52	66 38	14 46	62 46	69 53	1 53	42 57	55 56	40 54	50 56	2 49	25 56	30 47	43 42	19 52	23 49	17 50	47 58	31 57	29 51	63 56	54 54	16 58	37 47	58 49	60 50	64 54	27 45	32 63	46 50	48 44	26 48	41 46	8 47	67 56	0 47	3 54	52 54	35 52	36 43	7 55	53 56	33 54	51 49	11 56	65 55	44 42	12 48	21 52	34 59	68 57	10 52	56 43	6 49	9 59	13 42	57 58	39 51	45 44	28 49	20 63	18 50	5 53	49 56	22 54	24 57	61 45
32 50	22 48	33 48	53 56	36 46	2 47	34 44	13 50	1 44	63 51	68 57	50 46	52 50	66 54	8 48	49 53	61 55	58 56	65 46	6 52	42 50	44 45	69 49	12 47	30 53	19 45	15 55	60 49	26 51	3 48	5 46	56 63	27 45	4 49	0 48	31 63	62 56	28 50	14 55	21 52	43 51	57 51	47 50	25 46	20 59	29 47	46 55	54 55	9 46	17 46	24 51	41 53	51 52	40 46	11 54	39 47	23 55	59 46	38 50	10 42	64 45	18 63	48 42	45 54	7 48	55 57	35 49	37 51	67 54	16 49
53 47	14 54	61 45	40 55	12 46	35 42	2 50	57 57	67 38	63 62	30 44	16 48	46 50	56 48	11 53	59 54	18 57	39 46	36 49	62 54	9 60	64 43	15 42	19 50	13 49	65 46	55 53	54 46	17 45	43 46	10 46	34 45	24 40	58 50	20 51	41 54	31 47	6 47	33 61	27 51	37 47	50 49	32 53	4 45	44 51	7 44	68 46	26 49	8 58	3 45	29 45	69 46	1 48	23 53	66 47	60 54	51 55	28 55	49 52	42 53	52 48	45 44	48 49	5 48	0 46	47 56	21 51	38 44	25 59	22 49
12 48	0 37	8 52	36 48	65 52	30 43	32 43	67 43	9 52	41 60	45 43	16 45	27 58	35 48	13 52	4 48	6 50	28 55	61 48	58 51	63 51	43 51	5 47	55 57	18 50	22 65	54 52	66 39	7 51	23 52	34 50	62 48	15 38	51 41	19 48	25 52	39 49	40 46	48 59	37 49	38 51	3 52	2 51	47 51	1 42	21 45	24 44	69 45	14 49	56 53	60 52	52 48	59 49	49 53	20 48	53 48	33 47	46 44	57 49	31 51	64 46	17 51	68 53	26 55	50 53	44 61	29 51	10 63	11 57	42 49
41 46	69 50	17 55	30 43	45 51	27 50	53 48	29 47	44 48	26 51	11 49	14 41	37 51	28 53	40 46	35 57	68 48	67 47	8 49	33 47	66 46	65 59	52 50	3 51	1 47	32 48	21 48	39 50	22 49	47 55	19 49	51 52	43 41	20 58	23 48	18 51	50 48	9 49	10 42	63 49	59 51	48 44	34 53	6 46	13 44	25 49	55 36	54 56	62 52	58 40	56 50	46 50	36 41	64 57	0 48	60 54	57 57	7 49	15 56	31 48	24 56	12 45	4 39	38 53	49 54	16 54	5 57	42 45	2 47	61 54
10 49	46 39	17 46	62 54	4 44	61 44	3 53	13 44	54 61	0 49	27 63	56 50	12 58	23 39	37 44	1 50	49 49	40 49	32 57	59 51	18 47	8 52	42 62	5 53	38 44	30 51	20 56	69 48	64 49	7 51	34 44	47 52	60 45	16 50	25 56	14 53	57 49	28 50	58 34	50 41	15 47	67 55	48 53	52 49	65 60	26 43	9 52	63 52	36 55	2 50	33 47	11 57	53 48	35 43	31 51	39 46	45 51	68 46	66 49	29 51	44 37	51 52	41 56	24 51	21 40	43 45	19 50	55 52	22 51	6 45
59 52	37 44	18 44	66 58	60 50	32 52	49 57	2 50	11 48	20 49	24 52	23 51	57 46	46 44	6 51	16 54	3 48	35 53	36 57	63 49	50 53	15 48	10 49	48 51	41 50	40 55	61 46	0 52	21 46	5 53	29 43	38 54	26 51	58 56	56 47	7 45	52 56	22 42	1 56	9 49	33 53	19 47	31 55	67 50	30 48	25 51	43 50	14 62	4 44	55 54	54 49	42 56	51 51	69 51	8 47	27 47	13 54	68 45	45 49	64 52	53 51	47 54	62 49	12 42	39 45	44 45	28 48	34 45	65 49	17 48
49 46	61 54	4 56	22 51	44 46	26 53	67 55	2 56	33 47	47 54	52 60	54 40	50 44	43 49	57 51	21 54	37 48	38 51	8 58	45 51	40 52	29 51	68 45	36 48	25 46	46 44	28 50	10 53	11 60	59 41	66 46	0 48	3 57	31 57	56 52	19 47	9 53	6 57	62 44	63 54	23 57	34 63	24 54	41 49	12 50	15 44	58 50	30 51	42 46	27 52	35 49	5 42	64 53	53 46	51 50	60 41	65 55	14 52	39 49	18 47	7 48	20 55	48 50	32 52	16 47	17 51	13 55	1 59	55 38	69 50
41 47	57 50	50 50	59 47	12 51	17 54	37 47	30 52	44 57	46 55	34 53	15 51	33 50	31 43	6 50	43 45	0 54	23 62	56 53	5 49	16 45	60 51	69 44	66 54	48 51	4 53	32 49	53 54	64 51	42 51	67 51	9 53	68 54	7 50	26 53	18 57	54 51	22 48	27 54	35 49	61 58	65 47	39 57	51 47	40 52	8 57	36 54	63 50	20 52	62 44	45 39	3 54	29 50	14 47	19 49	24 51	10 45	47 44	52 42	11 55	13 47	1 50	21 49	58 52	49 51	38 49	2 49	25 49	55 56	28 44
13 56	22 46	12 56	6 54	38 52	18 49	63 54	64 50	14 54	42 41	55 52	0 42	40 46	5 42	25 34	33 54	37 40	53 56	32 49	48 51	10 50	54 43	16 52	36 49	2 50	45 52	28 44	49 37	44 55	1 44	66 57	29 48	35 47	62 54	50 41	9 59	46 53	27 54	68 44	11 50	31 51	61 52	56 46	52 53	69 52	60 46	67 41	26 43	19 56	34 54	7 45	23 52	43 45	8 49	58 49	3 51	39 43	65 46	57 48	59 49	20 53	15 37	51 47	17 50	4 49	41 57	24 53	30 47	47 52	21 50
