80	20
13 90	10 57	2 143	17 116	15 159	8 162	16 106	18 58	1 54	19 11	0 129	6 23	9 18	14 36	5 168	3 80	12 130	7 46	11 43	4 80
12 98	16 41	11 85	1 49	8 10	3 23	6 180	14 196	17 183	9 126	18 185	13 153	7 167	5 200	0 184	10 48	19 110	4 23	15 136	2 5
1 69	5 5	3 79	11 185	16 182	14 155	2 184	18 17	9 30	4 3	10 18	17 178	19 43	13 101	15 35	6 23	12 101	0 88	7 151	8 152
4 53	5 193	17 22	12 59	15 154	0 59	19 200	16 47	7 89	1 159	11 192	13 170	6 94	8 182	3 56	10 126	18 112	2 170	14 30	9 140
13 198	7 94	11 51	10 61	16 154	18 68	14 33	17 200	1 107	9 56	6 66	8 181	19 82	0 36	2 166	5 55	3 131	12 36	4 160	15 150
16 55	7 35	5 135	9 19	12 98	10 48	18 47	4 177	14 149	17 83	19 68	1 169	8 23	15 67	0 154	6 56	2 180	11 73	13 198	3 154
11 144	18 56	5 96	12 128	6 154	9 180	13 197	1 106	10 81	2 64	3 103	14 51	0 55	15 145	16 185	4 49	8 66	19 108	7 77	17 146
2 67	10 178	17 43	11 93	1 55	15 164	4 42	6 95	7 40	8 94	0 116	19 113	3 155	18 165	12 124	5 3	13 80	16 22	9 150	14 15
5 14	17 150	16 92	18 164	3 114	7 113	12 176	10 193	11 185	0 72	15 81	14 151	9 59	19 140	2 131	4 13	13 19	1 196	6 176	8 101
12 161	11 89	15 69	1 111	16 20	5 110	7 4	0 198	3 194	4 147	6 72	18 79	14 97	9 114	13 186	10 158	17 110	8 50	19 55	2 198
10 173	1 61	8 77	9 174	16 4	5 160	12 82	18 190	2 147	3 91	14 42	15 11	7 41	19 98	11 41	17 135	0 4	6 32	13 20	4 11
19 174	0 83	2 149	13 156	16 1	10 82	6 46	5 161	17 144	12 55	14 171	15 131	7 174	3 12	8 74	11 161	9 101	18 138	4 37	1 55
13 12	17 27	16 198	5 26	4 38	10 125	6 135	1 81	11 164	3 154	0 175	14 181	7 163	8 57	2 7	15 195	19 129	12 32	9 34	18 32
0 102	12 150	7 152	13 199	8 109	6 190	10 177	14 74	4 171	3 161	15 135	9 26	11 4	5 1	18 48	2 27	17 135	19 52	16 137	1 152
15 21	1 151	7 23	13 121	8 40	12 177	18 188	2 150	9 177	5 130	14 106	6 95	11 48	16 151	0 35	17 35	10 89	19 84	4 77	3 122
12 39	15 36	7 190	5 2	10 65	19 66	8 126	6 123	17 57	4 169	14 118	11 34	9 103	0 98	1 81	13 165	3 80	2 72	18 90	16 24
5 19	19 1	15 154	0 134	7 48	16 19	9 77	1 107	6 173	2 21	8 26	17 162	13 18	10 68	18 17	11 112	12 100	14 90	4 149	3 6
18 114	6 189	7 148	14 88	11 46	10 53	4 166	16 147	17 100	15 141	1 82	19 13	2 125	9 74	5 183	0 55	12 176	3 82	13 185	8 133
13 19	3 179	9 153	17 85	1 46	10 104	19 69	16 93	14 94	5 104	8 58	7 47	4 36	2 188	12 195	15 107	18 150	6 73	0 95	11 128
7 157	3 135	19 10	18 159	4 15	6 118	15 4	12 23	17 172	14 75	1 80	8 136	0 31	5 16	2 51	9 133	16 180	11 129	10 176	13 71
2 124	11 78	6 61	19 27	7 11	12 64	13 118	5 115	10 11	4 141	9 142	1 113	14 11	16 67	0 107	3 44	8 195	18 166	15 157	17 41
13 192	16 108	18 24	9 48	10 46	3 180	6 76	0 2	17 4	4 197	8 102	15 105	2 20	1 93	5 32	7 97	11 95	12 65	19 177	14 84
10 53	3 156	15 190	12 14	6 15	11 180	4 1	17 88	8 132	18 143	5 147	16 24	7 193	9 160	14 10	0 124	1 17	13 92	2 195	19 3
15 107	3 44	5 154	10 18	6 198	0 197	19 54	12 133	4 53	11 101	8 130	18 83	9 87	13 85	16 89	14 36	17 9	2 57	7 134	1 29
11 46	4 148	7 26	3 184	12 53	8 13	16 180	13 184	17 51	15 87	1 193	18 31	14 130	9 140	19 123	2 117	0 97	5 184	6 169	10 114
7 193	10 48	16 186	2 152	15 138	19 163	13 39	17 71	3 167	5 177	8 97	14 51	1 181	11 34	6 41	18 104	0 151	12 51	9 181	4 8
19 63	1 173	10 38	7 198	16 104	4 47	17 104	18 95	8 58	13 85	5 24	0 185	3 186	14 153	6 56	12 13	15 28	9 196	11 59	2 176
10 136	7 189	4 138	13 166	5 66	17 94	3 83	0 176	19 61	18 157	11 136	2 140	15 55	8 68	6 169	16 92	12 7	9 35	14 186	1 66
10 66	15 56	16 107	0 107	17 74	5 24	9 181	6 103	4 155	3 42	14 26	2 81	8 133	12 184	13 75	18 32	1 62	7 131	11 136	19 181
19 140	7 106	0 191	12 113	9 108	2 65	13 127	1 150	5 187	15 177	3 109	16 180	8 189	17 106	11 197	18 82	10 129	6 78	14 153	4 153
0 43	18 27	8 39	3 184	7 182	14 137	4 134	12 16	13 61	5 21	10 140	1 174	9 24	15 108	2 110	6 184	17 46	19 169	11 32	16 41
12 98	9 127	0 163	11 13	14 179	15 113	2 53	6 199	19 56	16 5	3 190	7 115	17 109	1 118	8 123	10 138	13 35	18 200	4 26	5 152
7 81	4 111	0 18	8 55	19 139	11 171	10 166	12 37	2 145	1 159	9 4	3 103	16 55	5 175	14 29	15 148	13 168	18 40	6 191	17 181
