60	5
3 148	2 134	0 46	1 112	4 66
3 29	0 178	1 139	2 101	4 136
1 38	3 109	2 175	4 112	0 142
2 199	1 3	0 101	4 105	3 193
3 116	1 130	0 31	4 73	2 21
3 20	0 136	1 32	4 7	2 164
4 53	1 5	0 143	2 169	3 171
0 34	3 64	1 156	4 45	2 135
1 41	0 185	3 136	4 153	2 161
0 165	1 125	3 191	4 128	2 150
2 80	0 171	4 117	3 28	1 52
1 30	0 118	4 14	3 59	2 122
1 161	3 48	4 95	0 63	2 36
2 82	1 13	4 137	3 112	0 76
1 178	3 192	4 158	2 24	0 63
0 106	3 76	4 37	1 165	2 47
1 53	2 185	0 55	3 52	4 72
1 117	4 129	2 83	0 107	3 92
1 113	2 80	4 135	0 66	3 50
3 11	4 173	1 72	2 181	0 28
0 155	3 144	4 22	1 99	2 94
3 165	4 187	2 86	0 9	1 74
0 32	2 123	1 186	3 39	4 99
3 183	0 28	2 15	4 188	1 187
3 182	1 145	2 6	4 92	0 180
2 96	3 171	1 155	4 96	0 161
2 168	1 134	4 196	0 14	3 65
3 164	4 101	2 100	0 11	1 5
4 107	2 46	0 181	3 155	1 163
1 142	4 102	2 22	0 128	3 58
0 17	3 27	1 45	4 12	2 70
3 114	4 150	1 49	0 183	2 62
3 9	4 163	1 173	0 38	2 121
2 53	4 133	1 135	0 165	3 156
0 21	4 45	1 6	2 42	3 144
4 61	3 92	2 176	0 115	1 24
0 159	4 52	1 78	3 92	2 68
2 42	4 125	1 48	0 12	3 61
2 107	3 42	0 13	4 113	1 89
2 198	3 74	0 149	1 27	4 172
4 62	1 155	2 135	0 47	3 68
2 124	4 49	1 147	3 13	0 29
1 149	3 170	2 110	4 109	0 164
4 173	0 166	3 75	1 140	2 52
3 146	0 155	4 138	1 180	2 161
4 3	3 32	0 93	2 117	1 91
4 40	0 31	2 18	1 181	3 199
0 64	4 62	3 115	2 179	1 64
0 40	1 176	4 76	2 75	3 72
4 194	1 29	2 96	3 119	0 129
0 63	1 91	2 197	4 25	3 21
4 108	0 41	2 60	1 194	3 32
1 133	2 14	3 59	0 92	4 188
0 26	4 197	1 37	2 99	3 93
2 94	3 170	4 139	0 29	1 64
2 197	0 99	3 132	1 134	4 79
2 60	4 147	3 105	1 48	0 41
2 9	4 76	3 46	0 192	1 181
3 27	4 7	1 159	0 85	2 123
0 57	2 169	1 120	4 59	3 114
