50	5
1 55	0 88	2 71	3 41	4 70
0 16	1 21	2 82	3 46	4 67
0 53	3 7	4 44	2 52	1 19
1 41	2 76	3 13	4 58	0 2
0 13	3 80	1 20	2 69	4 84
2 32	0 4	3 44	4 99	1 36
2 77	4 89	1 8	3 64	0 81
3 98	0 85	1 20	2 81	4 64
2 44	0 94	4 75	3 22	1 85
2 75	3 12	0 51	1 35	4 62
4 43	0 43	1 87	3 67	2 77
2 34	4 10	1 43	0 68	3 83
0 93	3 3	1 33	4 2	2 77
2 48	1 52	3 66	4 89	0 80
4 50	3 56	0 54	1 21	2 8
4 22	2 94	0 66	3 54	1 75
1 69	3 57	4 87	2 66	0 64
2 40	4 8	0 97	3 21	1 82
1 88	0 17	2 34	4 85	3 3
2 44	0 23	3 21	1 72	4 72
0 6	1 15	3 65	2 25	4 86
2 8	1 19	0 94	3 55	4 19
0 61	2 45	1 53	3 52	4 71
0 28	1 59	2 15	3 61	4 32
1 50	0 27	3 65	4 61	2 35
0 9	3 80	2 9	4 4	1 24
4 21	3 13	0 92	2 5	1 62
4 17	3 38	0 8	2 81	1 1
2 47	0 37	3 50	1 83	4 21
0 86	2 66	4 92	1 83	3 53
3 80	1 70	4 15	2 87	0 98
0 67	4 95	1 12	2 61	3 95
1 58	4 63	0 19	2 11	3 22
2 28	0 57	1 58	4 36	3 69
2 20	1 90	3 45	4 50	0 20
3 83	1 77	4 5	0 98	2 93
2 27	3 61	4 37	0 38	1 19
1 64	0 71	4 11	3 85	2 7
3 98	2 61	0 5	4 67	1 64
0 20	3 25	4 62	2 35	1 61
3 52	0 97	4 83	2 19	1 88
4 87	1 50	0 12	2 15	3 82
0 38	1 90	4 90	2 18	3 41
3 61	0 93	1 93	2 2	4 28
3 93	4 57	0 33	2 41	1 15
2 44	0 21	3 7	1 90	4 9
2 8	4 15	0 51	1 68	3 41
2 36	4 26	3 61	1 96	0 19
3 1	4 85	0 48	2 11	1 10
4 94	0 81	1 19	3 89	2 42
