30	5
3 39	1 124	0 137	4 15	2 138
3 39	1 174	0 96	4 72	2 51
0 119	3 26	4 144	2 103	1 135
3 154	4 46	0 82	2 102	1 200
3 130	1 122	0 180	2 37	4 172
0 76	2 103	1 5	3 34	4 52
0 87	3 119	4 151	1 166	2 116
2 123	1 83	0 179	4 162	3 47
4 172	1 139	3 188	0 22	2 29
2 102	3 174	1 170	0 81	4 179
0 93	3 24	1 109	2 67	4 53
4 31	0 69	3 105	1 129	2 197
2 80	3 18	0 146	4 31	1 102
2 95	3 75	1 23	4 191	0 188
0 149	4 99	2 6	1 146	3 72
0 186	2 9	1 185	3 48	4 12
2 85	0 105	3 192	4 115	1 158
3 1	1 55	4 16	0 100	2 139
2 189	4 47	1 142	3 161	0 12
1 185	2 21	0 143	3 158	4 120
0 76	1 186	3 61	4 66	2 69
3 172	4 51	0 123	1 153	2 24
4 107	0 51	3 134	1 169	2 40
3 53	4 187	0 146	1 20	2 167
2 193	0 173	1 116	3 112	4 22
3 9	2 112	0 152	1 54	4 64
1 63	4 111	0 162	3 44	2 119
1 151	3 182	0 25	2 42	4 79
4 63	0 127	3 60	1 51	2 152
2 195	4 119	1 74	0 170	3 165
