70	20
19 14	9 77	6 82	8 70	0 6	3 29	7 49	10 89	1 1	12 47	14 3	2 69	18 46	17 73	4 27	5 15	13 78	15 13	11 46	16 82
10 48	19 90	3 23	6 19	7 48	17 64	11 29	13 60	9 60	16 61	5 56	8 27	4 59	12 48	18 95	15 8	1 49	0 72	2 6	14 72
17 52	8 32	4 30	6 49	5 14	0 27	16 11	1 22	15 73	10 83	19 75	13 90	7 86	2 4	14 69	3 30	18 4	9 62	12 66	11 52
14 65	11 65	4 38	19 89	5 16	10 23	15 54	3 24	9 10	12 83	0 51	13 86	16 68	6 88	18 70	7 50	17 57	8 29	1 57	2 94
18 86	13 65	15 31	16 27	9 77	8 69	6 69	3 34	4 40	2 54	5 11	11 42	12 13	7 73	14 22	17 99	0 99	19 20	10 85	1 21
10 39	14 35	4 14	3 20	9 11	8 77	17 89	11 84	7 55	6 55	19 90	1 37	2 60	18 33	0 62	15 87	12 96	16 34	13 69	5 91
11 53	9 98	12 24	10 75	2 70	0 21	5 6	16 37	1 52	14 32	4 89	17 25	15 70	6 33	13 29	19 77	18 84	3 97	7 50	8 42
13 30	15 30	1 49	18 21	17 30	3 41	5 88	9 65	10 45	16 75	11 55	2 38	7 89	8 60	19 16	6 36	0 51	4 30	14 37	12 72
6 35	15 72	0 83	18 67	9 49	10 26	19 10	17 51	1 11	2 84	3 51	11 60	16 16	14 14	13 63	12 93	7 74	4 29	8 59	5 42
5 74	18 47	8 46	0 38	17 9	19 54	15 47	4 16	2 99	6 87	9 35	3 23	7 34	12 63	1 74	10 53	16 58	13 58	11 29	14 38
19 97	14 70	3 55	6 98	13 56	2 78	4 63	0 61	5 50	18 68	15 36	9 88	7 45	12 66	17 84	1 12	11 69	10 99	8 47	16 63
14 41	6 34	13 14	12 92	11 14	10 69	5 54	4 47	15 14	16 41	17 22	18 51	3 39	9 63	7 78	1 81	19 21	0 85	2 87	8 14
15 89	11 97	17 15	10 66	5 63	8 98	13 29	4 75	7 7	6 48	0 47	9 43	1 66	19 24	14 47	12 21	16 96	18 78	3 42	2 73
18 27	8 88	17 74	0 5	13 75	5 76	10 36	16 30	1 88	11 22	4 20	14 44	6 59	2 41	7 86	9 41	15 58	19 99	3 7	12 21
9 81	13 38	16 15	11 47	5 73	2 78	12 54	18 89	0 66	4 47	6 37	17 32	15 62	14 40	19 77	8 24	7 57	3 58	1 87	10 26
14 90	15 74	17 40	11 39	18 95	5 76	16 48	19 4	2 50	10 10	12 25	9 31	3 76	6 41	4 63	0 38	1 79	13 88	8 89	7 92
11 45	17 51	16 36	4 77	15 97	19 67	6 34	9 95	12 75	3 15	1 69	14 49	10 20	2 39	5 95	8 54	13 81	18 79	7 37	0 77
19 76	12 48	3 82	15 91	8 72	11 76	7 33	13 14	1 73	4 97	6 85	5 52	9 23	0 8	18 59	10 70	14 8	17 28	16 70	2 8
0 43	4 58	1 36	9 24	19 21	10 58	11 87	13 17	2 87	15 91	17 53	5 44	18 47	8 77	12 44	3 96	7 98	14 8	16 25	6 39
13 27	14 51	3 73	4 95	10 31	17 61	11 78	16 47	19 4	8 5	7 98	6 98	15 46	1 22	9 37	5 61	12 80	0 43	2 4	18 34
5 76	0 25	14 15	15 57	10 46	16 23	19 53	17 56	7 73	8 74	1 36	9 20	3 36	13 26	6 70	4 37	12 14	2 87	18 50	11 11
2 24	11 86	14 83	3 50	18 68	9 94	13 63	0 25	4 77	15 20	16 18	17 59	6 14	5 34	7 61	8 84	1 55	12 53	19 34	10 17
6 70	3 92	19 1	14 92	2 7	9 11	13 51	7 5	12 70	8 98	18 98	4 98	10 5	1 90	11 56	15 84	0 19	5 28	17 41	16 59
10 75	0 81	1 93	15 93	4 32	17 29	14 17	13 68	18 17	6 24	11 93	5 79	19 37	8 50	16 39	2 55	9 94	3 81	7 80	12 79
7 16	4 88	10 90	0 3	18 59	3 30	5 86	9 73	11 90	14 42	17 25	13 50	12 94	6 27	1 65	16 36	2 75	8 16	15 41	19 75
12 57	0 22	17 27	2 48	8 32	7 95	11 2	3 9	10 4	1 61	6 65	5 32	15 57	16 3	19 44	18 14	4 34	14 90	13 93	9 45
9 89	5 65	8 78	6 18	18 82	19 46	4 81	14 18	1 94	15 6	11 26	12 96	2 10	16 22	10 93	17 26	3 11	13 44	0 29	7 69
1 92	3 89	11 37	16 58	13 27	19 93	8 62	2 67	7 43	4 99	5 33	6 87	10 82	9 53	12 24	0 22	18 36	15 81	17 67	14 38
3 29	8 17	7 84	11 3	0 50	1 96	5 7	6 45	18 98	16 33	14 28	4 92	13 77	17 14	19 90	10 95	12 77	15 38	9 81	2 51
15 41	10 68	3 34	9 39	7 5	1 48	17 74	16 85	19 91	13 62	8 11	4 58	0 1	12 98	6 55	18 76	5 76	11 88	14 47	2 69
