40	15
5 29	4 49	9 66	3 72	14 192	12 129	7 185	11 85	13 19	2 194	10 98	6 64	0 73	8 96	1 105
13 89	7 146	2 41	12 159	8 70	1 164	3 69	0 91	14 85	6 117	9 142	10 167	11 163	5 151	4 200
8 83	9 88	2 145	0 68	7 71	4 156	10 73	5 134	1 186	13 85	6 48	11 148	3 10	12 79	14 128
4 129	10 70	2 29	3 180	8 63	9 155	7 200	12 170	14 97	0 86	11 15	13 193	5 127	1 156	6 56
12 127	4 169	2 195	6 127	9 170	14 13	10 69	7 124	1 107	13 197	5 15	3 64	11 87	8 103	0 64
1 119	0 67	14 99	10 51	9 112	6 54	11 65	2 100	13 22	5 88	3 145	8 186	12 100	7 90	4 193
14 26	9 200	1 77	11 158	7 18	3 29	0 44	5 118	2 22	6 7	10 69	12 165	8 95	13 151	4 103
12 195	4 106	3 52	11 120	1 180	8 26	9 73	13 158	0 101	6 33	10 42	5 115	2 64	14 196	7 61
6 110	7 66	3 194	13 28	2 165	8 166	14 37	12 181	10 41	5 137	11 180	1 12	0 168	9 122	4 191
14 184	12 65	2 120	11 168	0 74	10 49	9 62	13 23	7 163	6 56	5 46	3 40	4 189	1 145	8 58
2 78	8 74	0 52	7 182	5 173	13 182	14 15	9 146	3 159	11 48	1 141	4 15	10 39	12 105	6 69
4 118	12 195	11 125	5 154	8 90	7 11	10 145	2 67	6 177	13 35	14 123	9 155	1 74	0 32	3 44
4 150	9 84	3 38	11 152	0 77	2 172	1 19	6 111	12 12	5 102	13 88	7 80	10 38	14 47	8 116
2 189	8 58	11 173	12 152	4 133	9 172	14 31	6 168	0 110	10 71	3 198	7 100	5 110	1 19	13 59
10 192	9 117	11 99	3 187	5 82	1 76	0 132	6 106	12 194	7 108	14 69	2 42	4 200	8 167	13 15
8 43	4 61	12 73	7 135	5 46	11 26	9 55	10 191	13 7	14 26	2 73	6 195	0 46	3 175	1 167
0 114	2 199	13 64	14 84	7 104	12 119	1 173	10 179	4 156	6 89	9 190	3 36	5 141	8 84	11 136
11 34	13 195	6 31	10 54	9 90	12 110	14 160	3 75	2 137	0 135	1 163	8 80	7 126	4 23	5 84
9 157	1 37	3 40	10 137	11 11	6 118	2 5	14 128	7 55	13 160	5 54	0 73	12 121	8 195	4 160
0 89	7 136	12 7	10 124	14 66	9 54	11 29	2 126	8 10	1 139	3 48	6 24	13 192	4 68	5 83
13 137	11 65	8 71	1 68	12 135	3 100	6 7	2 25	7 65	10 23	4 45	14 30	0 30	9 63	5 171
9 43	4 127	7 18	11 43	12 39	8 56	0 91	10 195	2 119	6 145	1 121	14 160	3 194	13 47	5 138
9 184	8 111	10 126	13 169	14 175	1 122	0 115	4 10	12 127	7 29	5 93	3 100	11 197	2 87	6 80
2 142	11 113	12 151	0 101	5 88	14 131	6 62	1 95	13 124	9 48	3 109	4 34	7 124	10 132	8 98
13 106	14 131	12 38	11 21	5 114	10 79	6 24	2 85	0 31	4 197	9 165	1 194	7 143	3 91	8 181
4 146	2 17	12 59	0 12	11 93	1 90	14 143	10 189	7 70	5 38	9 145	6 79	8 104	3 121	13 100
5 190	4 144	0 153	10 184	1 12	9 151	13 153	8 74	7 33	12 184	14 173	3 168	6 115	11 118	2 193
13 182	12 156	1 86	14 94	2 158	4 43	7 122	3 167	8 160	10 137	6 120	0 94	11 137	5 114	9 144
13 93	5 191	3 115	12 34	0 71	8 73	11 168	10 138	14 130	4 56	6 90	1 87	2 15	7 160	9 114
8 193	11 148	6 41	12 114	14 116	2 194	0 162	13 94	5 7	10 198	9 48	1 61	3 184	4 101	7 81
5 85	6 41	4 147	1 162	14 21	0 200	10 59	11 160	7 49	9 83	3 11	2 159	8 18	12 66	13 174
1 73	9 38	10 181	8 46	3 183	11 152	12 174	13 177	14 71	4 14	6 86	5 141	2 12	0 164	7 114
4 20	9 170	5 49	8 157	13 43	14 7	10 69	12 46	7 170	3 159	11 163	0 18	6 19	1 192	2 73
13 17	2 192	5 31	7 67	8 23	14 100	3 179	4 69	1 127	11 191	9 19	10 47	12 53	0 168	6 199
0 112	14 93	2 175	7 178	9 120	5 175	11 135	6 85	12 63	13 175	8 89	3 160	1 63	10 176	4 55
9 68	7 97	6 109	11 97	8 13	10 105	2 129	1 68	12 85	4 41	0 13	14 115	3 93	5 49	13 113
14 146	5 184	8 59	6 45	3 27	11 151	0 142	9 167	13 99	2 128	7 157	1 1	4 111	12 68	10 117
8 184	11 105	1 200	0 200	14 123	4 82	2 161	3 12	9 161	13 114	5 9	6 57	7 147	10 185	12 28
0 61	6 176	3 58	13 183	5 5	1 49	8 179	12 32	2 112	11 60	10 154	14 200	7 135	9 165	4 69
1 41	2 138	14 197	11 99	7 78	9 188	8 157	6 186	10 69	4 129	13 91	12 130	3 31	5 169	0 69
