30	15
5 82	11 99	1 169	14 113	4 110	7 196	8 120	12 116	3 152	13 5	10 6	9 166	0 50	2 181	6 154
5 53	14 146	3 49	8 34	0 111	7 149	2 155	9 120	6 25	1 22	13 137	11 143	10 194	12 50	4 189
2 46	14 96	3 68	4 169	9 47	7 149	0 179	1 71	10 5	11 145	5 169	13 84	8 62	6 163	12 31
14 84	2 46	11 103	6 48	0 53	12 152	7 174	5 126	4 170	10 93	9 137	13 64	1 158	8 143	3 80
8 37	0 19	1 121	2 131	3 113	6 27	4 58	9 42	14 192	10 14	12 184	5 122	7 142	13 64	11 103
0 24	6 171	12 196	11 77	1 165	3 93	4 58	7 129	14 175	13 107	9 190	5 191	2 8	8 101	10 155
12 74	7 59	11 67	6 43	2 51	14 107	1 184	4 22	9 177	0 192	3 147	13 110	5 148	8 42	10 124
10 42	4 72	5 57	2 125	14 106	1 21	12 38	0 5	13 102	11 83	3 88	8 73	7 19	6 169	9 109
5 78	1 1	11 57	12 108	6 198	14 59	9 8	7 55	0 179	13 194	3 116	8 106	4 27	2 99	10 64
12 120	9 65	6 61	2 46	0 21	11 191	1 86	10 90	4 175	13 2	3 16	5 92	7 79	14 155	8 25
9 146	0 111	2 178	1 147	7 182	4 173	13 25	10 30	12 7	8 9	14 70	5 25	11 94	3 172	6 114
12 101	10 3	1 167	9 32	0 49	4 55	7 149	6 74	2 101	11 105	3 177	8 110	5 15	13 70	14 129
1 156	5 38	2 176	0 28	13 111	11 137	9 120	3 187	8 106	6 155	14 119	4 29	12 128	7 140	10 96
7 106	10 139	4 142	9 166	8 18	3 143	13 24	1 31	11 67	12 89	2 85	14 190	6 10	0 17	5 154
12 55	1 9	2 137	0 199	6 120	11 15	9 155	8 115	10 17	13 12	7 79	3 127	4 152	14 178	5 197
6 75	14 98	4 132	10 98	11 149	0 34	13 183	3 20	7 146	8 107	9 32	1 2	12 192	2 199	5 46
3 134	1 103	13 46	6 48	4 81	2 3	8 10	11 13	5 41	9 182	0 25	14 4	7 102	12 70	10 76
3 14	9 192	8 96	5 81	11 183	2 139	10 186	0 177	4 175	7 197	14 117	1 64	12 186	6 152	13 23
1 57	0 129	5 28	6 54	13 142	12 186	2 131	14 190	9 13	3 105	10 135	8 80	7 185	4 66	11 140
6 196	5 1	2 51	12 76	11 33	9 92	4 139	14 103	0 25	1 97	8 126	7 36	10 174	13 143	3 47
13 196	0 190	4 70	3 5	12 42	2 184	7 159	6 127	9 162	11 141	1 97	14 64	5 184	10 7	8 77
3 200	1 8	2 35	0 145	10 25	11 30	8 101	6 105	12 19	14 83	4 94	7 69	5 85	13 1	9 9
9 80	5 171	11 23	6 189	3 92	14 170	4 62	0 65	1 148	13 187	10 178	12 41	8 34	2 31	7 5
14 135	9 140	8 80	0 30	4 146	13 184	2 156	11 57	5 45	3 149	6 29	1 99	10 25	7 184	12 74
9 115	1 19	14 82	12 102	0 168	8 199	2 172	4 59	13 83	10 126	6 170	3 96	11 9	5 24	7 130
2 107	0 11	11 172	12 49	13 194	7 107	9 26	14 71	5 37	6 143	10 28	4 48	8 78	3 113	1 50
7 68	13 133	3 186	0 188	10 200	1 38	9 25	12 28	5 25	4 27	2 122	11 153	8 191	14 28	6 98
10 196	7 189	6 80	1 74	0 50	5 44	12 130	8 181	3 139	4 66	2 150	14 86	11 117	9 180	13 88
11 96	5 169	1 98	0 19	7 134	6 59	10 62	9 151	3 192	14 145	8 29	13 113	4 48	12 154	2 66
12 152	9 191	5 39	0 48	14 109	13 46	11 189	1 145	2 108	4 72	8 117	7 122	3 27	10 185	6 124
