90	20
0 120	17 124	6 138	11 190	5 198	15 90	8 120	13 75	1 41	4 22	18 144	9 174	10 31	2 31	12 95	7 191	16 184	14 7	19 89	3 14
14 70	6 106	0 148	10 165	1 128	17 149	7 166	12 165	16 6	19 160	13 50	15 84	5 88	2 67	11 119	3 17	18 173	9 126	8 174	4 87
14 33	10 44	8 101	2 109	12 141	9 118	17 36	13 141	3 141	4 157	18 164	19 87	15 40	7 139	16 120	6 30	1 42	5 72	11 59	0 37
13 46	18 40	1 102	5 33	2 100	8 181	4 5	11 137	3 33	6 76	14 18	15 70	0 161	16 107	9 112	7 119	17 94	19 77	10 156	12 129
4 42	5 171	13 54	19 52	17 186	15 184	18 71	7 87	6 120	0 69	8 82	2 27	12 169	9 193	11 104	10 126	14 105	16 148	1 158	3 49
6 134	16 152	13 58	3 172	10 62	18 158	8 72	7 165	14 65	5 28	2 77	1 126	0 163	11 36	17 51	9 28	12 63	15 83	4 119	19 86
12 23	5 139	13 113	6 72	7 187	10 27	2 8	15 29	18 102	11 188	9 90	19 126	0 156	14 112	1 118	8 113	16 51	4 37	17 148	3 33
10 10	14 178	3 101	5 147	0 86	12 44	6 41	13 93	8 56	4 78	19 83	9 127	18 136	17 102	2 26	15 186	16 182	11 131	1 102	7 84
14 26	18 167	4 96	7 10	11 6	9 117	3 164	8 22	5 179	17 146	19 35	10 181	16 20	13 93	15 111	12 88	1 182	0 142	2 67	6 55
15 156	7 100	0 104	1 200	17 99	18 95	2 90	16 141	8 71	13 140	14 26	6 81	9 111	5 111	11 190	4 126	3 73	12 150	10 72	19 199
1 159	4 176	0 169	13 171	9 88	17 56	3 191	8 5	2 80	5 96	15 15	10 125	16 156	6 172	7 145	11 77	18 13	12 63	14 191	19 114
10 120	19 132	1 139	0 141	14 5	15 83	9 137	18 7	12 69	8 90	7 35	6 194	13 6	3 15	17 97	2 88	16 147	5 178	4 187	11 66
18 99	10 144	3 21	1 177	11 85	7 20	2 2	8 12	4 92	9 170	6 104	17 134	15 144	16 105	5 80	0 144	13 161	19 193	14 52	12 133
14 42	4 161	2 102	19 117	7 28	15 132	1 104	6 155	8 188	12 109	10 156	9 25	16 75	13 44	11 102	3 78	0 127	18 3	5 178	17 200
0 87	13 51	5 15	1 63	9 146	7 129	14 134	10 187	12 169	11 14	2 45	18 110	19 196	8 136	6 188	3 116	15 80	16 92	17 103	4 165
1 96	16 23	15 93	18 117	10 64	19 188	2 19	3 119	4 180	17 144	8 43	12 44	14 24	7 57	11 28	0 85	5 15	9 15	13 186	6 184
0 130	19 128	16 114	12 71	14 89	13 55	8 76	6 10	3 9	10 58	17 44	2 87	15 153	4 144	7 139	9 23	1 115	18 31	5 163	11 108
7 185	3 133	6 117	17 10	4 138	2 97	19 71	9 53	10 72	1 84	0 119	18 38	5 117	16 181	15 30	11 50	8 7	12 68	14 165	13 166
10 4	18 133	13 80	8 188	1 97	3 135	12 161	15 68	16 152	9 59	4 194	19 188	5 184	17 193	2 7	11 123	7 93	6 38	14 17	0 131
18 176	10 132	11 115	1 21	4 181	2 200	9 108	12 156	14 45	16 129	7 172	0 162	8 104	6 146	3 99	5 41	13 76	19 19	17 10	15 9
10 128	4 42	12 137	17 194	11 88	15 115	8 95	3 69	2 95	6 180	1 60	13 105	18 126	9 109	14 131	0 127	7 188	19 129	5 163	16 19
16 40	0 38	1 17	2 154	15 155	9 125	14 83	11 106	7 74	8 75	6 152	13 130	4 56	10 60	12 197	17 14	18 156	19 108	5 21	3 96
3 52	12 128	7 41	17 45	9 106	0 116	15 191	2 100	14 140	16 78	1 94	6 20	11 117	13 191	18 70	10 70	4 82	19 51	8 33	5 177
5 3	16 111	3 2	14 91	13 164	0 47	2 111	9 12	1 73	11 156	15 97	18 46	17 139	7 2	4 93	6 117	19 88	12 19	10 114	8 175
15 145	8 64	17 171	6 197	1 166	13 153	4 193	9 198	10 151	7 143	19 131	16 25	11 41	3 46	12 49	14 191	5 165	0 95	18 29	2 88
5 172	0 12	8 139	2 195	13 137	18 132	14 127	15 199	19 154	9 170	10 13	16 164	17 3	7 38	1 99	6 87	12 166	4 115	3 91	11 151
2 79	5 65	3 120	6 7	9 143	1 93	16 177	7 65	19 151	4 108	0 192	17 13	18 180	13 9	12 34	11 26	15 121	14 9	10 147	8 166
14 63	3 10	2 80	16 133	11 73	19 10	18 19	17 44	5 101	4 60	7 88	8 182	15 25	10 55	9 118	1 138	6 98	13 1	0 27	12 150
16 70	9 117	4 162	13 171	18 141	2 157	19 56	6 182	0 82	10 42	14 43	12 15	7 169	3 138	17 187	1 121	5 124	8 92	15 10	11 11
17 13	13 145	1 57	15 122	5 39	0 49	2 21	19 150	8 128	3 73	4 150	9 179	16 103	10 84	12 49	18 61	6 14	11 125	14 172	7 119
7 137	12 69	10 68	8 13	2 186	18 80	14 59	6 145	11 174	3 143	13 153	15 45	1 187	5 50	19 198	0 163	16 75	4 134	9 146	17 185
14 99	11 76	18 49	9 173	7 105	15 38	8 111	6 190	12 151	3 8	19 110	1 171	4 111	2 101	0 5	17 71	16 104	10 20	13 42	5 175
8 162	11 153	6 169	19 60	1 28	13 32	18 45	10 194	4 77	9 105	7 38	12 2	5 89	16 36	14 65	2 181	0 169	3 151	15 29	17 54
18 106	7 41	11 155	17 139	16 171	4 139	13 77	3 14	8 10	5 198	2 86	10 76	6 99	9 192	12 190	15 28	14 133	0 99	19 110	1 14
