60	100
98 18	79 19	33 53	75 33	81 72	96 4	28 92	74 6	60 23	87 44	12 38	31 30	34 36	42 62	14 86	41 4	24 99	94 32	63 30	89 59	88 84	48 57	19 58	9 65	26 76	18 12	85 8	53 80	43 70	22 74	93 86	55 37	3 63	8 22	21 16	0 65	57 59	6 78	90 97	86 2	10 84	11 55	32 29	73 16	27 44	39 87	38 93	36 18	59 39	1 18	2 81	46 49	64 37	5 11	71 66	35 15	70 13	16 83	52 70	13 27	76 39	20 5	91 65	4 16	97 87	99 12	29 46	67 97	84 83	61 57	25 32	72 95	56 64	47 17	17 80	82 20	62 49	83 98	80 9	50 23	40 34	65 16	7 29	68 30	37 48	49 18	15 99	51 70	54 69	77 63	92 20	58 81	23 66	44 91	95 40	78 99	30 36	45 38	66 48	69 54
70 32	62 95	97 78	71 87	94 69	46 95	66 15	54 76	26 61	79 5	12 87	41 17	0 29	81 39	28 95	98 15	73 37	60 93	14 90	61 87	80 8	85 84	89 20	31 91	93 24	7 80	84 20	95 17	83 85	59 22	47 70	27 24	25 50	74 12	51 10	24 20	52 74	56 11	63 50	43 98	21 59	29 19	55 83	76 78	96 76	45 86	75 63	64 99	6 27	39 6	68 72	19 54	48 7	65 56	37 8	8 34	34 69	44 85	13 54	91 93	49 39	82 83	10 97	72 30	2 95	99 69	88 69	53 46	9 62	42 54	32 89	86 15	67 97	11 10	22 28	90 46	40 23	38 70	87 26	35 17	33 65	5 14	17 99	57 78	78 4	50 95	36 51	3 78	23 93	16 73	92 46	69 87	20 28	77 86	30 43	15 79	58 63	1 57	18 24	4 80
82 6	27 82	50 99	44 56	52 26	15 86	18 74	37 93	30 42	36 75	40 25	22 56	14 89	58 19	1 6	77 72	26 30	98 30	73 28	83 41	16 17	12 73	34 56	67 38	87 2	13 82	7 47	88 59	54 67	29 16	68 34	20 76	19 58	64 69	11 97	45 21	59 68	8 80	6 40	84 81	95 90	17 79	92 47	28 86	46 40	62 16	24 73	5 51	48 57	96 24	70 80	72 59	56 94	94 18	76 66	9 47	49 62	85 33	79 86	66 48	41 86	57 29	42 90	38 14	53 14	33 18	78 7	31 67	65 47	10 30	21 48	99 70	32 74	69 58	61 27	86 9	81 49	43 58	39 48	93 4	80 52	74 13	97 45	91 86	0 22	60 84	75 1	71 50	90 86	35 77	4 59	2 64	89 21	23 3	47 23	63 56	55 27	3 8	25 66	51 78
89 69	74 72	11 78	27 25	23 30	1 93	87 52	95 60	83 10	28 62	56 42	73 29	94 62	9 95	79 50	38 93	90 56	84 68	57 27	26 70	0 87	22 18	48 5	99 82	13 45	88 60	37 22	54 32	5 79	81 50	32 16	42 72	91 6	18 81	34 45	8 18	46 54	49 91	4 15	39 57	82 18	98 22	75 95	69 35	2 46	3 14	53 95	55 11	61 96	51 93	19 46	71 45	21 43	58 93	47 79	77 13	29 22	6 20	64 58	25 12	67 53	36 11	66 99	93 53	35 29	70 45	24 84	59 60	16 18	45 25	86 21	72 96	65 31	33 13	7 71	12 40	10 14	30 80	20 28	96 98	40 25	85 88	62 50	80 11	97 48	63 45	92 88	31 24	60 22	78 99	68 37	44 32	50 50	41 87	76 99	43 62	17 52	15 94	52 26	14 33
59 79	98 5	30 85	89 55	27 43	56 31	10 65	15 96	48 1	55 35	40 40	58 49	8 11	52 87	67 99	2 83	22 49	70 50	12 51	0 18	36 1	92 72	91 75	86 33	17 63	49 44	53 71	14 27	80 15	96 16	38 82	47 30	9 69	23 27	88 68	31 48	84 49	81 76	69 16	79 25	93 84	42 96	16 71	24 97	1 87	45 75	26 95	64 43	25 94	65 70	3 39	46 50	6 99	28 85	85 18	39 58	78 31	75 5	76 45	21 81	72 85	90 84	74 87	11 17	13 85	43 91	77 73	35 2	5 7	68 35	37 60	62 53	19 1	20 41	71 57	73 58	57 18	50 38	51 60	94 97	63 23	83 69	32 40	34 99	44 26	99 82	97 27	29 29	33 75	95 23	87 62	54 14	82 96	60 61	61 27	41 2	66 47	18 46	7 81	4 52
62 58	38 88	82 49	8 2	57 34	92 78	93 22	24 47	95 21	64 24	70 36	68 18	4 42	79 32	48 25	51 31	96 58	74 33	37 90	10 81	15 85	72 67	98 21	20 74	90 59	19 90	45 83	17 18	76 9	89 55	6 91	23 50	49 2	21 74	32 91	86 10	1 70	94 10	97 9	83 16	67 43	56 70	44 93	28 19	69 98	18 40	88 20	27 47	33 47	77 35	34 30	31 76	40 45	61 86	46 97	53 43	30 80	91 71	25 71	84 86	42 44	85 60	63 28	47 59	59 81	54 6	75 79	14 95	81 42	55 66	3 47	29 1	5 14	26 18	11 71	22 11	0 74	43 64	71 18	41 91	13 95	66 90	65 37	50 17	2 11	99 44	36 9	35 96	80 88	60 24	7 20	9 27	39 75	78 58	58 37	87 86	73 99	16 73	52 7	12 99
75 17	43 96	7 42	15 68	27 85	28 74	69 54	40 99	54 56	5 58	11 36	14 21	64 4	99 13	81 32	31 8	85 79	98 40	91 63	52 27	23 4	0 2	79 40	70 88	78 34	50 90	97 37	49 24	96 8	66 13	93 53	37 57	73 62	19 98	42 76	71 33	29 15	3 81	51 85	89 11	6 3	1 64	45 29	20 72	61 94	8 45	55 70	17 75	82 90	86 21	63 22	59 98	22 85	67 5	53 97	25 24	83 87	72 58	35 28	36 59	21 44	26 8	92 20	47 65	18 22	84 46	24 33	10 96	44 40	12 47	57 51	2 94	58 91	60 53	68 97	34 27	48 50	94 88	65 15	41 56	76 49	33 93	77 41	90 68	4 64	56 45	46 9	16 36	13 74	9 15	32 56	30 58	74 9	88 69	38 70	62 12	39 30	95 88	87 34	80 35
88 69	89 75	55 25	65 78	76 70	59 32	66 90	54 47	81 71	48 68	35 5	37 60	4 85	21 48	25 38	16 27	5 74	72 33	92 56	70 93	61 28	93 40	53 76	99 78	71 95	11 34	22 96	40 46	43 95	14 31	0 60	82 97	41 77	86 50	69 18	32 93	1 33	36 61	91 74	83 16	77 66	95 19	6 9	3 83	29 6	84 13	30 26	46 92	19 39	94 16	73 10	20 58	57 2	44 11	68 6	10 41	2 70	58 72	31 15	96 1	74 69	9 16	60 34	62 14	85 90	45 85	87 51	78 5	13 35	15 80	28 91	7 53	50 3	34 64	49 52	98 10	97 15	33 35	26 26	8 43	24 42	27 40	18 58	75 74	17 48	47 89	79 52	39 85	56 41	23 3	67 2	38 1	90 12	42 93	63 55	64 27	52 18	80 3	12 72	51 79
16 6	50 31	37 7	95 97	80 98	25 82	4 1	26 45	5 49	90 56	51 77	22 60	88 84	91 79	40 10	29 26	61 8	34 58	42 91	14 60	65 54	47 11	76 4	53 79	17 87	15 8	58 80	19 59	46 37	45 74	11 48	64 71	20 20	3 52	23 75	21 38	28 87	97 10	36 74	78 52	59 39	63 69	41 7	54 27	9 60	18 83	56 36	60 26	1 65	62 90	55 46	81 80	84 41	31 15	70 61	79 4	94 68	8 76	89 87	44 43	83 58	35 4	30 41	86 61	75 44	32 7	82 73	12 39	98 28	68 84	0 71	24 55	96 72	93 78	38 22	49 6	33 99	43 9	6 79	73 75	7 1	57 7	72 68	71 22	2 2	13 96	69 52	99 16	92 84	48 62	77 52	85 84	39 26	10 69	67 26	87 76	66 1	52 20	27 68	74 22
12 39	74 25	96 35	29 64	77 39	2 1	1 94	85 72	10 40	16 42	68 21	14 89	59 84	28 43	9 13	82 84	45 55	33 60	21 50	32 30	93 14	94 47	66 13	75 25	35 41	84 86	60 2	58 89	8 28	81 31	88 47	18 59	39 38	30 7	53 64	87 35	92 9	57 44	43 30	38 89	71 39	76 85	62 71	80 53	69 93	91 84	5 35	22 45	49 59	23 1	99 96	24 71	48 53	31 3	40 37	86 18	0 77	51 58	98 87	19 32	50 99	73 9	95 58	61 31	97 12	25 44	37 67	20 79	46 23	89 85	65 65	34 29	36 73	72 73	41 64	90 91	26 5	7 55	54 84	15 35	11 39	79 80	4 21	64 11	17 78	27 8	3 27	70 24	56 56	83 21	6 98	47 33	78 84	67 36	55 59	63 19	13 88	52 49	42 41	44 10
0 89	34 14	28 73	89 61	20 32	25 61	49 48	38 45	54 77	37 88	79 54	67 34	72 72	90 55	68 97	17 89	50 32	97 90	77 76	62 21	26 7	48 88	16 92	81 56	4 39	59 85	63 29	43 18	3 24	47 66	46 71	76 45	57 34	35 38	27 30	41 20	88 79	45 18	30 7	24 61	74 98	32 59	19 61	64 46	9 86	29 35	21 47	58 44	51 28	82 53	15 17	53 13	13 37	23 52	31 62	69 69	60 75	52 47	66 79	83 86	22 50	73 96	5 30	75 68	93 65	98 13	44 82	99 72	14 64	84 43	85 75	36 10	86 46	94 77	70 43	80 5	18 88	8 75	78 48	1 76	33 33	61 50	71 94	87 91	65 38	2 20	42 98	92 92	55 75	56 29	96 63	6 9	91 1	7 71	95 68	39 1	10 94	11 47	12 44	40 5
