80	10
7 115	6 100	2 60	3 146	4 36	0 99	8 97	9 101	5 122	1 57
1 11	6 54	3 116	0 5	9 2	2 184	5 72	7 104	8 59	4 189
6 113	3 120	1 26	9 108	7 151	5 152	4 113	8 109	0 25	2 20
2 179	7 32	0 128	8 136	1 8	9 152	6 16	4 118	5 111	3 168
7 12	5 178	1 109	9 125	0 33	3 161	2 77	8 73	6 158	4 71
9 39	5 129	4 57	0 78	8 102	2 138	1 96	7 195	6 106	3 64
6 86	5 97	9 98	1 37	0 122	8 56	2 183	7 194	3 127	4 46
5 138	1 8	3 164	4 92	6 180	2 67	7 78	9 17	0 155	8 2
4 77	1 160	6 60	3 87	0 85	9 184	7 122	8 196	2 129	5 135
6 170	9 10	7 172	4 45	1 171	3 119	0 27	2 44	8 163	5 68
2 107	7 115	9 99	5 131	6 66	1 113	8 123	4 59	3 172	0 16
4 195	2 163	8 179	9 8	5 107	0 85	3 95	7 70	6 184	1 147
9 131	7 147	3 165	5 174	6 88	8 193	1 195	4 45	0 192	2 85
2 95	9 85	7 18	1 137	8 3	5 145	4 168	0 185	6 196	3 185
0 113	2 97	6 12	3 103	9 97	4 23	5 124	1 159	8 71	7 84
6 31	1 149	5 59	0 145	7 39	4 139	2 125	3 53	8 27	9 114
9 16	3 118	8 109	6 30	7 124	4 79	5 111	0 56	2 103	1 170
3 150	4 161	1 103	9 42	2 93	6 69	8 121	5 166	0 128	7 83
7 95	4 117	2 172	3 50	5 40	1 40	9 42	6 152	8 88	0 29
7 70	0 59	9 106	6 193	8 169	3 86	1 184	5 117	2 80	4 11
0 6	5 71	8 54	7 17	1 166	4 84	3 96	9 2	6 160	2 63
2 129	8 40	1 129	6 200	9 174	7 49	0 182	4 68	5 90	3 177
6 158	1 167	9 63	5 89	0 101	7 65	2 94	3 118	8 46	4 97
8 115	4 100	3 32	5 88	1 26	9 77	7 196	2 3	6 85	0 132
1 150	3 51	2 59	9 73	7 31	0 47	5 54	4 110	8 179	6 107
3 161	7 193	5 108	8 194	1 19	0 124	6 107	2 149	4 109	9 192
8 145	9 73	7 25	4 89	5 79	0 196	2 56	3 42	1 174	6 143
6 57	7 79	4 166	9 124	2 175	0 162	8 98	1 38	3 190	5 132
6 71	0 177	3 17	2 179	1 107	4 199	8 98	9 116	7 135	5 19
4 105	8 199	9 68	5 157	1 25	2 144	7 92	3 53	0 105	6 53
7 100	1 134	9 77	3 14	6 117	5 179	2 186	8 146	4 106	0 27
7 146	4 129	6 15	3 113	9 8	1 59	0 13	5 55	8 167	2 66
6 143	7 191	8 79	9 91	1 103	4 163	2 7	3 108	0 8	5 198
3 6	4 98	1 55	0 106	6 145	7 4	9 33	8 82	2 34	5 200
9 60	2 62	8 49	5 92	6 166	4 89	0 72	1 37	3 161	7 91
9 192	4 17	5 110	6 137	2 75	0 197	7 50	3 9	8 3	1 20
6 176	0 44	1 120	7 151	3 16	2 104	9 69	5 38	8 26	4 81
1 142	3 59	7 96	4 110	2 131	0 51	9 157	5 152	8 13	6 60
5 190	1 67	2 72	9 21	8 75	4 74	0 123	6 37	3 187	7 120
4 134	8 71	1 88	7 102	5 185	9 5	6 33	0 47	3 196	2 94
3 151	8 123	7 41	5 98	9 119	4 36	6 79	1 55	2 86	0 195
6 42	3 76	4 169	8 124	1 151	7 28	2 192	0 134	5 164	9 191
6 89	8 105	7 192	4 107	9 55	3 38	1 75	0 44	2 174	5 95
6 68	2 175	9 66	1 20	0 88	7 25	5 159	3 119	8 76	4 173
0 182	7 196	4 158	5 44	6 119	3 124	8 1	2 182	9 132	1 104
2 146	7 134	5 117	8 170	1 119	6 163	0 53	3 188	9 143	4 108
