70	5
1 19	0 16	4 55	2 98	3 16
2 5	1 80	0 49	3 95	4 28
3 83	1 31	2 87	0 20	4 67
1 1	0 13	4 13	3 30	2 95
1 5	4 24	2 13	0 24	3 55
4 49	2 80	3 8	0 25	1 23
1 39	4 48	3 17	2 97	0 35
4 88	2 40	0 16	1 97	3 33
4 13	3 78	2 51	1 53	0 92
2 56	0 35	4 79	3 94	1 73
0 96	2 43	3 20	4 90	1 5
1 12	0 33	2 92	3 96	4 39
0 57	2 61	1 56	3 32	4 20
1 20	2 79	3 91	0 38	4 79
3 18	0 49	1 68	2 77	4 45
4 3	1 48	0 55	2 6	3 83
3 36	0 67	1 12	2 79	4 48
4 4	1 86	3 83	2 40	0 49
1 4	0 89	3 36	4 52	2 86
4 41	2 73	0 14	1 68	3 77
2 84	0 51	3 26	1 43	4 92
2 39	3 24	0 82	4 35	1 74
2 32	1 19	4 49	3 62	0 43
4 89	0 28	2 16	1 45	3 27
1 2	0 46	2 34	3 6	4 62
3 74	4 11	1 8	0 81	2 52
4 11	2 71	0 57	1 71	3 28
2 49	1 6	0 8	3 20	4 3
0 93	1 45	2 98	3 64	4 62
2 45	3 25	4 83	0 73	1 98
3 55	4 92	2 71	0 15	1 3
1 62	4 64	2 16	3 32	0 36
4 39	0 60	3 27	1 72	2 52
3 47	0 1	1 12	2 3	4 10
3 10	4 97	1 43	2 60	0 79
2 59	0 63	4 16	1 64	3 95
0 95	2 75	4 15	3 93	1 47
3 47	0 60	4 53	2 15	1 73
1 56	0 64	3 76	2 89	4 81
3 90	1 4	2 1	0 96	4 55
3 97	1 49	2 88	0 63	4 92
1 58	0 14	2 67	4 43	3 35
1 93	3 4	0 23	2 52	4 15
4 22	0 81	2 52	1 69	3 45
4 77	0 94	2 4	3 72	1 90
0 96	4 36	2 87	3 65	1 80
2 53	3 48	4 14	0 37	1 30
0 83	3 34	4 79	1 2	2 82
4 44	3 98	1 12	2 25	0 5
4 13	0 58	2 31	1 87	3 6
1 76	4 62	0 18	3 83	2 26
3 57	1 24	4 49	2 82	0 55
4 91	3 74	2 70	1 24	0 79
3 58	1 65	4 36	0 63	2 7
4 47	1 31	2 18	0 44	3 3
3 67	0 47	2 55	4 36	1 25
1 70	2 38	3 40	0 72	4 60
4 45	0 58	1 86	2 16	3 80
0 12	3 95	4 40	2 67	1 37
0 59	1 48	3 33	2 6	4 1
2 46	0 66	4 67	3 43	1 55
2 45	0 51	4 27	1 33	3 55
0 56	3 46	4 75	2 50	1 15
4 76	3 75	2 4	1 31	0 1
2 41	0 29	1 41	3 38	4 50
0 95	1 16	3 8	2 30	4 29
3 70	0 72	4 41	2 36	1 10
2 31	3 12	4 2	0 47	1 48
4 98	1 82	0 84	2 13	3 10
0 24	2 18	4 72	1 82	3 7
