100	5
3 46	0 41	1 29	2 20	4 97
3 33	4 11	1 48	0 74	2 86
2 34	4 86	1 40	0 19	3 74
0 78	1 3	3 30	2 23	4 7
4 40	1 98	0 6	2 33	3 70
2 31	4 4	0 8	1 1	3 25
2 6	3 98	4 73	0 39	1 47
0 45	3 70	1 24	2 40	4 60
2 74	3 44	1 1	0 15	4 96
1 87	0 36	3 85	4 17	2 29
0 38	1 61	3 40	4 29	2 39
2 38	0 4	3 43	4 86	1 74
4 9	0 51	3 99	1 91	2 46
1 21	3 51	4 82	2 72	0 64
2 27	1 32	0 35	3 21	4 86
1 71	2 50	0 21	4 31	3 73
3 75	2 84	4 33	0 5	1 10
1 55	4 84	3 40	0 79	2 92
0 96	3 37	4 67	1 74	2 26
2 5	1 79	3 49	0 23	4 87
2 99	3 45	0 65	1 30	4 51
3 93	0 17	4 43	1 78	2 99
4 64	3 93	2 30	1 72	0 53
2 83	0 77	4 83	1 74	3 20
1 57	3 19	4 52	0 36	2 3
1 1	2 70	0 26	4 79	3 66
2 2	0 61	3 20	1 61	4 70
0 79	2 1	3 68	4 63	1 37
3 19	2 55	0 95	1 63	4 78
3 54	0 9	1 89	2 45	4 52
4 7	1 19	2 45	3 69	0 44
0 32	3 90	4 97	1 54	2 62
3 35	0 52	2 57	4 42	1 24
0 91	4 77	2 48	3 6	1 8
4 42	0 68	1 41	3 1	2 16
0 89	2 18	4 18	3 28	1 34
1 60	0 63	3 61	4 15	2 7
3 60	1 50	2 84	4 52	0 4
4 46	3 29	2 33	1 59	0 67
1 58	2 77	0 62	4 31	3 71
2 61	4 95	3 43	0 76	1 34
3 5	0 58	2 87	4 95	1 41
1 70	2 61	4 57	3 12	0 73
3 73	1 96	4 17	2 35	0 94
2 90	4 95	1 98	0 78	3 21
1 82	4 71	0 4	2 27	3 98
3 5	4 6	1 35	0 78	2 5
3 28	4 42	2 98	1 58	0 86
0 23	1 68	2 68	4 79	3 56
4 73	3 65	2 9	0 46	1 59
3 58	0 77	2 15	1 58	4 62
1 60	0 83	3 73	2 86	4 63
3 83	0 53	4 67	2 3	1 98
2 32	4 95	3 60	0 71	1 25
2 76	3 89	0 89	4 78	1 22
4 48	2 72	0 2	3 18	1 47
3 70	2 83	1 84	4 83	0 57
3 60	4 42	0 15	1 99	2 30
4 96	2 16	1 89	3 54	0 2
4 93	2 77	3 64	1 48	0 32
4 4	2 43	0 13	3 94	1 79
4 81	0 60	1 45	2 35	3 22
1 43	4 89	0 74	2 27	3 6
3 2	2 49	4 81	1 89	0 99
3 82	2 25	0 13	1 81	4 48
3 81	1 23	4 25	2 68	0 74
0 57	2 34	3 11	4 48	1 66
3 80	2 58	1 61	4 49	0 49
4 87	0 58	3 11	2 80	1 31
2 95	4 12	3 49	0 45	1 24
4 5	3 99	0 4	2 27	1 15
4 61	3 18	1 26	2 47	0 82
1 74	3 78	2 66	4 99	0 58
1 24	4 64	2 45	0 95	3 46
3 15	1 12	0 19	4 65	2 58
2 92	4 35	0 73	1 84	3 61
4 45	0 70	3 7	1 77	2 71
3 29	0 80	2 19	1 43	4 52
2 90	3 46	0 43	1 35	4 25
0 97	2 9	4 91	3 32	1 68
3 94	0 99	2 78	1 72	4 74
0 67	4 87	3 46	1 27	2 14
4 16	1 61	3 70	0 84	2 14
2 47	4 94	3 16	0 67	1 17
4 39	1 94	0 87	3 6	2 49
4 12	2 14	1 78	3 64	0 76
1 22	4 46	0 17	3 27	2 95
1 60	2 85	3 92	0 65	4 35
4 90	0 76	3 75	2 23	1 17
4 57	2 58	0 85	1 30	3 48
1 28	2 49	0 93	4 58	3 60
1 27	3 25	0 42	4 16	2 82
4 81	2 21	3 1	0 93	1 66
2 71	0 5	1 17	4 61	3 61
4 97	2 38	3 33	1 21	0 62
2 96	3 26	1 87	4 47	0 4
1 82	0 89	4 44	2 27	3 63
3 6	4 26	0 57	1 55	2 14
2 91	3 97	4 53	0 62	1 99
0 26	3 17	4 15	2 69	1 5
