70	5
3 123	1 193	4 92	0 87	2 59
0 167	4 39	2 64	3 95	1 34
4 44	3 134	2 39	0 145	1 3
0 92	1 18	4 17	2 46	3 44
1 110	2 140	4 54	0 171	3 25
4 130	0 157	1 170	3 65	2 163
2 53	4 72	1 127	0 106	3 69
0 144	4 126	2 95	3 185	1 176
4 56	0 102	2 157	1 87	3 148
1 119	0 115	3 32	4 173	2 98
2 58	0 133	4 19	1 116	3 47
4 88	2 94	0 107	1 150	3 117
3 20	2 75	1 137	0 28	4 183
3 5	4 150	2 20	0 156	1 21
2 93	3 51	0 188	4 53	1 26
0 149	4 22	2 85	1 85	3 3
1 28	2 32	3 93	0 73	4 136
2 60	1 110	0 136	4 188	3 92
0 136	3 181	1 38	2 14	4 179
2 54	0 162	4 47	1 41	3 139
0 173	2 33	3 101	1 9	4 91
2 138	1 177	4 138	0 187	3 168
3 26	1 194	4 78	2 91	0 185
3 38	2 162	4 124	1 163	0 114
3 43	4 3	2 139	1 21	0 190
0 142	1 127	4 48	3 150	2 71
0 74	1 53	4 71	3 152	2 38
0 100	3 26	2 11	1 158	4 67
1 118	0 104	2 94	3 122	4 187
2 175	4 67	1 123	0 113	3 66
1 157	3 146	2 57	0 169	4 116
0 130	2 161	3 74	4 14	1 36
0 199	4 53	3 189	2 83	1 1
1 118	0 31	3 59	4 131	2 17
1 52	4 94	0 83	3 83	2 152
0 34	4 176	3 59	1 124	2 71
2 40	1 154	3 55	0 24	4 105
3 165	1 19	4 166	0 18	2 20
1 57	4 146	0 94	3 134	2 2
3 145	2 16	0 60	1 174	4 126
1 199	3 171	0 46	2 36	4 4
1 125	2 28	0 186	4 169	3 88
3 194	4 45	0 110	1 65	2 93
3 176	2 172	4 99	0 70	1 123
3 104	4 198	0 36	2 153	1 151
0 44	2 69	4 19	3 48	1 82
0 81	2 111	4 47	3 114	1 68
0 144	1 195	2 43	4 160	3 152
3 142	2 187	4 5	0 190	1 77
2 149	4 19	3 36	0 198	1 105
0 42	1 44	4 63	3 47	2 69
1 107	0 59	3 24	2 40	4 144
0 97	1 89	3 55	2 49	4 21
2 30	4 189	0 167	3 175	1 30
2 35	3 106	4 43	0 81	1 198
3 198	4 75	0 28	2 56	1 18
1 143	2 172	4 72	0 45	3 45
1 159	0 51	2 151	4 98	3 58
3 94	4 199	0 105	2 116	1 133
1 154	2 193	0 119	4 53	3 69
1 159	3 185	2 59	4 41	0 31
3 84	1 16	2 48	4 129	0 150
0 129	1 128	2 180	3 68	4 2
2 71	1 192	0 76	4 75	3 111
4 115	2 131	0 126	1 29	3 86
1 8	0 78	3 166	2 32	4 187
0 97	1 126	4 110	3 58	2 147
0 28	2 49	1 48	4 147	3 123
1 24	2 20	0 31	4 8	3 175
1 108	3 153	2 61	4 97	0 172
