20	20
18 37	0 28	15 81	12 13	3 53	11 37	17 45	8 1	13 13	4 51	2 46	16 60	7 52	10 18	9 52	1 95	14 81	5 39	19 94	6 6
9 66	13 72	3 34	7 71	1 72	4 42	2 75	12 36	5 29	6 53	15 3	0 68	8 70	19 85	18 47	11 89	14 9	16 1	10 53	17 52
19 73	16 95	9 96	3 65	1 70	8 71	18 78	5 60	12 58	15 41	11 7	17 62	4 38	13 1	2 25	14 51	0 45	7 39	6 56	10 68
3 67	17 62	19 67	15 92	7 95	1 39	0 40	10 72	6 41	9 28	8 43	4 51	5 67	2 9	16 20	14 38	12 23	13 4	18 17	11 1
6 79	8 20	1 89	15 1	10 3	19 31	16 29	3 95	0 94	17 75	9 80	18 71	7 31	14 18	2 81	5 79	11 2	4 43	12 24	13 6
19 47	10 89	18 89	0 29	7 59	5 54	6 51	4 35	2 6	13 84	16 72	9 2	14 17	17 88	11 6	1 33	3 32	8 95	12 84	15 30
19 11	17 44	15 58	11 91	9 53	1 65	13 22	8 31	16 58	3 71	0 72	6 16	18 31	5 68	2 4	4 70	7 93	12 74	14 91	10 8
8 51	3 60	6 58	1 46	4 47	7 16	11 61	10 76	2 65	15 47	9 53	13 77	12 11	14 49	17 99	5 53	19 40	0 11	16 52	18 62
3 14	17 89	4 74	13 52	15 26	11 8	2 46	12 76	0 57	6 95	19 67	5 40	18 4	10 49	9 40	14 86	8 82	1 49	7 94	16 82
0 83	5 37	3 88	18 4	12 32	15 95	17 42	14 20	6 13	11 13	19 19	10 36	7 24	1 79	13 93	16 89	4 89	9 61	8 75	2 54
13 99	5 82	14 64	19 87	2 73	10 67	16 77	6 7	9 44	3 40	18 78	1 1	17 12	4 43	7 79	15 10	0 91	12 33	8 83	11 65
15 53	9 25	10 3	19 67	12 18	18 51	13 90	0 91	16 52	2 14	7 40	6 2	8 13	5 17	1 64	4 57	3 95	11 84	17 23	14 27
9 51	5 77	7 34	10 45	8 61	18 29	19 45	2 92	3 94	4 63	13 78	16 97	14 99	12 18	17 24	15 73	0 43	1 29	11 72	6 81
0 59	1 20	11 52	10 73	7 99	3 14	5 46	14 17	12 19	6 76	19 27	9 43	13 2	16 83	18 59	4 15	8 24	17 30	15 86	2 91
1 55	11 76	8 25	14 42	17 52	10 36	15 33	19 30	2 9	16 64	13 33	4 97	6 55	3 67	0 10	12 50	7 94	18 23	5 25	9 78
12 50	14 96	0 38	8 50	19 15	5 53	18 49	13 99	6 47	16 72	7 6	1 1	17 40	2 54	10 63	3 60	4 46	15 72	9 38	11 43
10 59	1 73	18 94	19 89	0 81	13 58	15 93	9 92	8 48	6 8	11 64	16 20	2 63	7 82	17 66	3 57	12 66	5 10	4 24	14 83
1 91	4 24	14 36	5 66	6 54	10 76	19 25	8 53	2 6	12 45	9 60	0 38	18 98	17 83	11 11	13 71	3 68	16 5	7 9	15 63
9 83	1 16	11 23	7 86	6 71	17 39	13 38	12 5	4 40	18 16	2 1	8 81	19 2	3 38	16 38	15 67	10 54	0 1	5 4	14 91
9 19	12 29	1 67	3 63	13 92	8 76	17 80	16 62	5 23	7 79	4 91	19 19	18 36	15 51	14 45	6 55	10 74	11 2	0 51	2 20
