40	5
1 79	2 15	0 30	4 19	3 46
0 42	3 87	4 53	1 30	2 73
3 27	0 38	4 37	2 40	1 70
3 52	1 86	2 18	4 64	0 41
3 89	2 22	4 11	1 84	0 15
1 3	4 8	2 51	0 26	3 59
4 39	0 13	3 75	2 50	1 61
2 10	3 53	4 63	1 34	0 17
1 23	0 77	2 71	4 46	3 73
3 8	4 67	0 96	2 82	1 96
4 27	1 77	2 94	0 75	3 44
4 58	1 47	0 12	3 50	2 63
2 7	1 81	4 74	0 25	3 93
2 2	1 33	3 79	4 18	0 69
2 51	0 17	1 44	4 75	3 57
3 32	4 55	2 78	1 37	0 81
3 91	1 30	2 73	0 83	4 27
4 28	3 7	2 23	1 75	0 31
1 3	2 19	0 11	3 5	4 92
3 55	0 22	2 38	4 54	1 68
1 10	0 75	3 28	2 36	4 83
1 88	3 5	2 30	4 56	0 74
4 81	2 90	1 70	3 69	0 21
2 17	0 59	3 75	4 76	1 34
0 59	3 45	4 59	2 60	1 29
3 49	1 17	4 80	0 63	2 91
4 56	3 14	0 33	1 48	2 91
2 6	3 35	1 77	4 35	0 55
4 25	0 99	3 45	1 19	2 84
0 58	3 69	2 61	1 96	4 10
1 98	0 12	2 6	3 7	4 1
2 78	1 96	3 58	0 63	4 98
4 9	1 65	2 55	3 99	0 3
2 98	1 78	4 79	3 77	0 53
0 86	4 49	1 8	2 70	3 70
2 7	4 15	0 47	3 65	1 28
4 71	3 91	1 92	0 74	2 99
2 42	1 76	0 41	4 15	3 98
4 22	0 17	2 96	1 86	3 97
2 71	0 91	4 97	1 7	3 79
