60	10
1 57	0 59	7 58	6 45	2 59	3 40	4 51	9 51	8 62	5 41
5 41	9 45	0 50	2 47	7 51	4 48	3 46	1 56	6 48	8 50
0 57	5 43	3 59	7 44	9 51	2 50	6 55	4 45	8 51	1 43
6 44	2 51	0 53	8 54	1 48	5 49	3 54	7 59	4 53	9 58
8 38	7 43	9 49	3 50	0 48	1 53	4 55	2 44	6 46	5 50
0 51	6 48	1 51	2 58	7 50	8 50	3 54	4 52	9 48	5 67
8 49	2 55	4 60	9 49	0 50	6 43	7 48	3 57	5 58	1 47
8 52	7 48	4 52	3 57	9 46	6 51	2 55	0 46	5 50	1 46
1 55	6 57	4 48	0 53	3 51	5 52	9 59	8 51	2 56	7 47
4 48	0 53	7 43	9 48	6 52	1 45	3 62	8 50	5 56	2 51
5 53	1 44	8 45	3 49	6 64	9 52	0 46	2 45	7 44	4 45
1 52	2 52	4 44	7 48	5 53	6 51	3 50	9 50	0 50	8 46
1 52	6 50	9 51	4 56	0 40	7 47	2 48	5 40	3 46	8 57
8 55	9 48	2 54	4 48	6 53	7 51	1 47	3 54	5 55	0 52
3 46	9 55	8 51	5 50	7 44	2 50	1 55	4 44	6 55	0 53
3 47	6 47	7 49	2 50	1 47	4 44	5 57	8 52	0 51	9 42
9 54	3 56	6 51	4 42	1 42	2 55	5 47	0 57	8 50	7 38
6 49	7 51	4 52	8 55	0 46	9 54	5 52	1 45	2 43	3 54
1 45	9 54	7 50	8 56	3 48	5 46	2 48	0 49	4 56	6 49
1 49	6 48	3 51	4 40	8 51	0 53	2 50	5 50	7 52	9 45
1 52	5 37	7 49	8 58	2 47	3 55	4 60	6 57	9 41	0 54
7 54	6 35	0 55	1 49	3 49	4 37	9 48	2 54	8 53	5 49
5 50	7 48	4 53	2 45	9 50	6 49	3 51	1 59	8 51	0 50
2 52	4 49	3 50	8 49	0 52	1 56	9 48	5 53	7 48	6 43
7 55	0 41	8 51	9 45	2 45	6 51	3 53	5 43	4 49	1 51
0 44	2 47	1 48	8 59	6 53	9 47	5 49	4 51	7 42	3 49
1 44	3 56	0 53	7 47	9 49	5 50	6 46	2 49	4 54	8 51
7 55	1 49	5 48	2 53	9 45	6 51	4 52	8 45	3 57	0 56
2 55	9 47	7 49	4 61	8 50	6 52	1 52	5 55	0 55	3 49
2 41	1 55	5 54	3 49	6 48	7 47	9 54	4 58	8 63	0 56
6 48	5 52	1 46	3 48	0 48	4 44	2 48	8 49	9 48	7 56
7 53	8 39	5 51	3 40	2 50	9 58	1 46	6 53	4 54	0 49
6 51	4 52	1 56	9 56	8 55	3 60	5 56	0 47	7 51	2 50
3 51	4 51	5 48	8 47	2 45	7 42	6 42	9 45	0 46	1 55
0 48	8 44	7 57	1 50	2 54	3 49	5 45	4 44	6 61	9 46
0 49	9 45	1 53	5 54	6 44	3 42	2 55	7 42	8 46	4 48
3 53	7 57	0 51	5 54	2 50	4 52	1 45	8 54	9 57	6 51
9 43	0 51	5 53	8 51	4 44	3 55	2 52	1 50	7 47	6 48
3 55	5 42	1 48	4 47	7 49	8 54	6 49	9 52	0 55	2 51
3 51	9 52	1 46	5 56	4 53	2 51	8 45	6 50	7 59	0 49
6 53	3 47	2 50	0 46	5 59	1 51	4 53	7 55	9 46	8 52
6 50	5 55	7 40	3 46	4 61	2 53	1 43	8 60	0 58	9 47
8 57	7 50	0 57	1 43	2 55	9 54	4 49	5 55	3 54	6 54
2 43	9 52	5 57	7 54	4 47	6 59	8 52	0 51	1 49	3 56
8 49	9 53	2 42	0 46	4 44	6 52	7 50	3 54	1 49	5 52
7 53	3 47	4 53	5 53	6 54	9 51	8 50	0 55	1 53	2 51
2 58	0 57	1 54	8 48	9 46	4 48	3 50	5 53	6 55	7 52
2 59	3 54	4 50	7 52	1 52	0 52	8 56	6 48	9 44	5 48
2 55	7 56	6 55	8 55	0 55	3 50	1 50	9 54	5 51	4 46
4 47	2 50	0 55	1 48	5 47	7 51	9 47	8 48	6 49	3 50
1 46	6 47	4 52	5 59	3 41	7 48	9 51	0 45	8 47	2 52
0 51	4 59	8 45	7 47	9 52	6 56	5 55	3 53	1 55	2 63
0 47	2 59	4 55	8 48	9 51	1 53	7 57	5 53	6 58	3 46
4 48	0 52	3 43	1 47	9 54	7 43	6 44	2 46	5 52	8 46
4 47	0 51	6 47	7 49	8 46	9 52	1 45	2 60	5 56	3 48
0 56	2 49	4 41	7 57	6 57	5 47	1 48	3 49	8 55	9 53
8 58	1 53	9 48	7 51	5 50	0 53	2 62	6 41	4 51	3 44
9 52	6 48	3 54	2 47	5 51	8 50	4 49	7 48	0 58	1 63
2 46	5 55	1 57	3 48	4 52	8 45	0 49	7 53	6 49	9 47
6 45	0 49	3 57	2 51	5 46	9 52	1 52	8 50	4 50	7 48
