20	10
0 171	6 197	2 57	9 78	7 162	1 90	5 65	3 125	8 122	4 110
5 49	0 58	1 125	7 69	6 47	8 197	3 73	4 65	2 160	9 53
7 91	1 147	8 48	2 131	5 124	9 141	3 88	6 85	0 152	4 185
5 174	9 68	6 96	0 59	8 129	4 106	2 175	3 155	1 146	7 11
4 106	1 132	0 159	2 92	7 44	8 93	9 17	5 182	6 153	3 149
4 47	3 64	6 91	5 147	9 78	7 39	2 82	0 37	8 117	1 115
7 190	3 6	6 95	0 144	4 171	2 50	9 146	5 114	8 11	1 146
0 119	3 177	6 35	4 184	8 138	5 94	7 125	1 168	9 84	2 82
5 187	2 3	9 47	8 197	4 117	7 197	0 102	1 107	6 23	3 15
3 96	1 54	5 176	8 6	2 81	0 48	6 175	7 28	4 106	9 20
0 61	5 125	8 167	4 132	3 14	1 8	2 52	6 200	9 199	7 65
5 146	7 148	3 10	9 8	0 153	2 1	6 68	4 45	1 132	8 78
8 115	5 162	3 65	1 79	4 44	0 133	7 177	9 131	2 11	6 166
6 80	5 132	0 57	8 145	3 92	9 150	7 96	2 87	4 42	1 18
3 63	4 38	0 47	1 150	9 175	6 43	2 90	8 52	7 180	5 46
1 91	0 70	4 52	5 195	9 160	6 34	8 199	3 45	2 194	7 75
3 121	6 18	5 42	1 142	4 24	0 35	9 111	7 61	2 132	8 105
4 151	8 105	2 51	9 135	3 198	5 193	1 155	7 193	0 44	6 30
6 17	8 149	2 113	1 9	4 97	7 73	5 163	9 92	0 23	3 187
1 135	0 170	6 122	2 115	5 74	8 129	3 79	7 9	4 81	9 20
