40	15
4 30	5 7	11 18	3 149	2 166	1 170	12 185	7 37	0 75	13 88	9 36	6 32	14 167	10 79	8 37
9 77	1 100	2 73	3 97	7 165	6 192	5 195	13 59	14 186	12 175	8 108	4 12	11 149	0 140	10 10
8 2	4 149	13 28	7 26	9 181	14 65	3 158	12 16	5 136	11 91	0 142	6 60	2 183	1 51	10 93
11 127	8 144	12 26	5 43	7 66	2 139	4 165	10 189	14 95	0 144	9 147	3 69	13 3	1 3	6 80
12 9	6 70	3 21	8 63	2 113	13 7	1 127	5 25	4 70	10 129	7 189	11 85	0 119	9 150	14 145
0 168	10 5	11 40	3 146	14 40	12 70	2 72	4 125	1 47	7 181	13 178	6 53	8 99	9 106	5 51
7 118	2 20	9 72	11 53	0 132	8 66	6 116	10 187	4 9	3 49	14 45	13 178	1 28	5 150	12 177
9 55	4 145	10 180	14 102	7 11	0 34	12 143	2 109	3 187	1 165	8 145	5 68	11 25	6 26	13 34
14 188	6 74	13 44	11 113	0 165	5 8	10 190	4 170	3 3	12 61	2 79	9 91	8 95	1 42	7 199
10 108	1 56	5 118	2 186	9 179	13 141	6 146	11 123	8 150	12 143	3 126	4 52	0 149	7 122	14 108
14 20	2 24	4 198	5 149	12 50	1 193	11 62	10 18	0 144	6 121	9 99	7 91	3 46	13 134	8 9
7 51	4 62	10 111	8 29	5 5	2 104	14 171	3 159	9 86	6 121	0 22	13 155	11 66	12 167	1 48
0 125	2 43	8 35	9 198	13 19	3 196	12 73	1 67	4 23	7 120	6 171	10 76	5 58	11 6	14 96
0 68	14 47	9 9	6 74	11 36	5 60	2 185	8 80	12 97	7 141	4 118	13 133	10 95	3 79	1 73
6 119	4 40	14 167	2 109	0 159	5 85	13 162	10 92	3 188	1 71	8 22	12 62	9 9	7 173	11 179
4 69	2 154	5 121	11 128	12 112	14 58	8 6	13 159	9 146	1 125	0 9	3 100	6 80	7 23	10 100
10 74	12 36	1 109	6 185	5 62	7 191	14 119	13 159	2 158	9 34	11 197	0 139	3 193	8 59	4 103
0 49	11 150	13 89	5 13	2 187	7 163	9 83	3 25	14 200	12 60	8 163	1 128	6 35	4 89	10 175
10 42	11 19	3 129	7 1	5 10	13 69	0 155	14 178	9 110	2 80	4 50	6 142	8 178	12 167	1 12
13 119	10 112	1 93	3 76	0 93	7 146	4 106	12 145	5 127	11 5	14 41	2 83	8 151	6 42	9 95
7 194	12 99	11 5	5 135	8 97	0 170	3 152	14 187	2 80	13 169	6 21	4 8	1 20	9 12	10 38
2 81	5 112	13 185	7 77	6 5	14 71	0 184	10 21	1 133	8 52	11 91	12 148	3 3	9 200	4 24
9 41	2 164	3 49	14 134	1 196	6 114	11 59	10 48	7 137	12 58	13 160	8 108	0 148	5 166	4 64
1 146	0 90	12 58	5 48	8 76	3 79	9 177	13 140	4 94	11 127	2 147	10 162	7 53	14 195	6 177
3 173	13 181	10 91	0 18	5 17	1 11	12 77	9 67	6 106	11 42	8 184	2 111	4 197	14 56	7 94
2 49	12 196	7 161	0 194	11 64	6 123	9 37	13 173	3 100	14 10	4 72	5 108	1 38	8 45	10 182
4 136	11 149	8 190	0 176	13 90	7 41	3 59	6 194	2 162	12 120	5 95	14 109	1 149	10 81	9 120
1 52	12 49	6 37	3 69	14 150	4 20	7 44	11 105	10 122	5 198	8 4	0 44	13 150	9 151	2 89
4 178	9 71	14 114	3 68	12 67	0 54	1 112	7 132	2 151	5 197	8 106	13 92	10 30	11 172	6 35
0 70	1 6	2 142	14 114	13 168	9 58	6 5	11 200	5 181	10 74	12 154	8 153	4 155	3 156	7 77
11 17	7 8	5 106	1 34	6 28	0 7	12 102	2 175	3 167	10 77	8 61	4 36	14 18	9 183	13 81
5 184	2 71	0 80	1 184	4 142	3 115	7 68	6 149	14 172	10 97	12 99	8 124	9 85	11 188	13 176
4 176	12 81	3 75	7 24	14 54	1 18	11 67	8 64	5 13	0 111	6 148	9 112	13 100	10 10	2 107
13 90	2 130	6 143	0 13	4 140	7 180	3 65	5 140	9 117	10 107	14 12	11 80	8 96	12 76	1 51
7 176	13 185	0 118	8 77	9 196	5 161	12 147	1 196	3 146	6 29	14 193	11 89	10 62	2 189	4 52
12 83	10 182	4 13	5 110	11 47	6 165	3 89	1 31	2 37	14 135	13 83	0 48	9 90	8 156	7 125
2 119	4 164	3 191	1 145	14 47	13 137	0 123	12 2	9 12	6 53	5 174	7 87	11 190	8 71	10 5
9 148	13 170	1 170	10 21	7 173	2 172	5 108	6 160	11 15	14 96	12 152	8 65	4 25	0 195	3 89
9 16	12 60	4 63	8 195	11 173	1 174	5 184	2 143	13 179	7 165	10 26	6 175	0 137	3 57	14 112
13 184	9 125	1 10	7 118	5 27	12 11	4 122	0 83	14 81	11 59	8 46	2 35	6 149	3 195	10 38
