70	5
4 53	3 8	0 73	1 9	2 58
4 84	2 23	1 68	3 38	0 52
4 16	1 54	3 9	0 83	2 91
0 2	1 39	4 8	3 47	2 51
1 48	4 85	0 91	2 62	3 57
0 21	3 45	1 5	2 18	4 85
2 99	3 92	0 91	4 3	1 22
1 91	4 65	2 59	0 90	3 49
3 50	1 98	4 61	0 3	2 50
2 21	0 97	4 64	1 74	3 96
1 80	2 56	4 38	3 3	0 82
0 33	3 60	4 17	1 35	2 35
2 6	0 41	3 9	4 12	1 12
4 58	3 89	2 80	1 54	0 9
4 66	1 49	0 85	2 1	3 50
2 72	0 47	1 70	4 41	3 28
1 2	0 55	2 37	3 62	4 31
1 6	4 83	2 84	3 50	0 62
2 24	0 3	3 56	4 29	1 21
4 13	0 97	1 80	2 26	3 97
0 43	4 23	1 20	2 9	3 43
4 97	0 4	2 44	1 99	3 75
3 22	4 10	1 42	0 57	2 28
2 5	3 50	1 54	4 49	0 25
4 65	3 2	0 87	2 2	1 68
0 10	4 69	3 18	1 3	2 49
2 32	1 60	0 14	3 94	4 13
4 43	2 89	0 74	3 55	1 83
2 73	3 44	4 97	0 1	1 49
3 47	4 65	1 91	2 47	0 89
2 49	1 72	3 19	0 30	4 96
0 38	2 14	1 99	3 23	4 17
3 59	0 30	4 22	1 54	2 52
0 62	1 94	2 97	4 17	3 34
1 40	2 6	3 40	0 99	4 91
4 82	3 67	2 83	0 66	1 2
4 94	0 37	2 80	3 23	1 49
3 74	2 79	4 29	1 99	0 87
0 94	1 98	2 16	4 10	3 66
1 83	0 94	2 26	4 22	3 42
2 9	1 68	3 42	0 77	4 67
1 8	4 51	0 14	2 87	3 65
0 70	3 51	4 26	1 35	2 96
2 82	3 1	1 79	4 55	0 24
3 13	0 62	2 38	4 25	1 38
0 2	3 3	2 5	1 21	4 71
2 37	1 15	4 17	0 7	3 13
4 37	1 37	0 94	2 83	3 47
2 67	1 76	3 32	4 43	0 18
3 19	2 40	0 67	1 72	4 24
1 12	2 56	0 49	4 61	3 59
0 66	4 9	1 67	2 58	3 46
1 91	4 7	0 40	3 81	2 4
2 39	0 32	3 57	1 81	4 47
3 23	0 62	1 42	4 31	2 84
0 48	3 43	2 52	1 91	4 89
0 83	4 14	3 76	2 57	1 20
1 38	0 66	3 29	2 49	4 44
4 88	2 87	0 35	3 16	1 14
4 59	3 86	1 23	0 70	2 33
3 88	1 27	0 65	2 64	4 6
0 12	3 27	4 98	2 39	1 54
4 80	3 43	2 14	1 36	0 34
2 78	0 2	4 17	3 77	1 80
3 17	4 58	2 73	0 59	1 75
1 95	4 4	3 6	0 5	2 25
0 95	4 77	3 89	1 36	2 99
3 47	0 69	1 48	2 47	4 72
4 82	0 31	1 74	2 92	3 80
1 30	4 29	2 6	3 6	0 53
