30	15
4 154	10 104	7 129	1 72	9 73	6 93	3 182	13 146	0 68	12 180	14 143	8 33	5 184	2 112	11 164
13 109	2 90	0 114	1 128	3 62	10 189	6 77	12 130	11 66	14 47	8 84	4 56	7 88	5 180	9 124
4 32	0 4	10 180	3 17	6 82	14 151	8 61	7 84	12 52	13 123	9 34	2 77	11 33	1 62	5 198
4 175	11 139	3 177	5 169	10 139	8 80	6 18	0 90	2 42	1 108	13 101	9 138	12 11	7 70	14 79
10 162	12 55	2 168	13 152	3 184	11 183	1 38	8 100	7 56	14 154	5 87	6 159	0 94	9 107	4 187
9 11	13 78	8 130	14 82	3 110	10 40	0 20	5 24	1 162	7 193	11 112	12 81	2 112	4 94	6 76
0 32	9 64	10 52	5 12	7 48	8 79	4 61	14 143	13 176	2 30	3 105	12 112	6 132	1 1	11 118
7 77	4 192	10 1	5 84	6 16	2 8	1 63	12 116	3 68	0 102	9 131	14 152	13 6	11 197	8 105
6 113	0 99	11 92	4 33	10 37	13 200	12 115	14 89	8 36	7 127	9 154	3 41	5 173	1 106	2 95
8 48	13 162	10 90	7 8	5 106	14 78	11 75	3 15	1 10	0 23	9 102	6 133	12 161	4 64	2 112
4 67	10 183	13 2	1 133	3 87	6 166	12 38	2 1	11 176	8 59	14 118	0 14	7 86	5 152	9 153
13 151	9 181	1 144	4 106	6 31	7 159	14 114	2 20	3 32	5 100	8 113	0 43	11 29	12 175	10 94
2 31	12 157	11 181	0 101	13 97	9 160	10 138	8 42	5 34	7 185	3 151	4 102	6 33	1 163	14 71
6 190	5 153	11 200	0 4	2 127	4 17	1 126	7 96	13 186	14 98	12 2	10 148	9 1	8 171	3 194
7 119	11 86	12 60	1 169	6 66	2 164	13 30	0 137	5 28	4 76	9 51	14 9	8 192	10 146	3 100
12 21	6 174	11 80	8 26	10 30	13 10	4 194	1 141	0 18	14 53	9 79	5 197	3 119	2 39	7 5
2 123	11 120	7 139	10 76	1 39	3 2	8 184	9 91	13 187	14 131	4 26	0 84	5 130	6 186	12 110
11 190	5 148	6 43	12 65	13 9	0 102	2 107	4 93	3 15	8 10	10 51	1 199	14 26	9 48	7 92
6 106	12 179	4 28	9 53	14 99	1 42	7 62	5 16	0 91	8 167	13 39	10 117	11 57	2 35	3 161
13 184	4 163	8 26	5 65	11 94	2 79	1 26	10 87	14 102	7 196	9 160	6 101	3 86	0 24	12 196
9 167	12 101	0 181	10 192	5 67	11 144	6 114	4 95	8 196	3 110	1 6	7 140	14 153	2 124	13 161
6 165	12 49	0 64	4 75	2 142	1 95	13 61	10 70	11 40	7 36	3 116	14 58	8 138	5 147	9 90
0 23	12 145	1 66	2 128	5 94	11 82	4 56	8 144	3 39	14 160	7 164	10 47	6 190	9 55	13 19
10 169	5 24	0 52	14 92	3 93	6 115	4 71	8 183	1 94	13 140	9 21	2 62	7 79	11 34	12 128
7 142	2 168	9 84	10 55	3 188	1 51	11 63	0 103	14 125	8 142	6 16	12 193	4 196	13 39	5 119
12 44	13 164	9 193	8 113	6 197	0 160	7 85	5 171	10 68	14 21	4 121	2 24	3 50	1 86	11 165
14 31	12 163	5 83	2 191	4 55	3 194	11 22	1 185	6 78	8 38	13 181	7 12	10 26	9 66	0 200
12 136	13 4	10 142	7 148	14 112	5 46	3 91	11 136	1 131	6 55	9 85	4 155	2 31	0 90	8 93
10 156	2 1	3 22	4 5	13 140	6 183	9 119	11 157	7 27	14 112	0 59	5 95	8 26	1 84	12 40
12 165	1 88	9 139	4 145	7 7	6 175	13 7	11 103	0 110	10 10	14 98	2 155	3 19	5 84	8 99
