40	20
7 47	16 95	10 86	19 11	3 94	12 40	14 52	18 10	2 25	17 76	15 72	6 72	4 96	5 90	9 74	1 83	11 78	0 8	8 78	13 29
13 39	5 42	9 29	7 63	10 2	3 1	4 57	12 91	6 77	2 76	16 78	19 92	18 83	1 79	8 44	0 74	11 6	14 28	17 81	15 90
14 24	18 76	10 24	11 37	8 86	19 9	12 11	13 50	9 99	6 65	0 23	16 21	5 85	1 46	4 15	15 75	3 71	17 3	7 26	2 23
12 72	14 61	18 78	11 32	7 82	17 43	8 25	13 97	15 24	5 69	10 41	19 33	1 86	9 10	3 12	2 6	0 46	4 89	16 87	6 51
8 49	19 91	17 20	2 32	5 11	10 23	1 18	11 20	16 72	7 31	3 98	0 16	6 8	4 72	15 94	14 4	13 33	18 48	12 19	9 90
10 26	14 13	5 45	0 24	17 99	11 23	8 83	7 46	6 94	15 50	12 31	13 54	2 3	19 60	3 66	4 50	18 78	9 53	16 14	1 55
2 12	15 57	5 86	17 10	16 24	6 61	18 85	0 2	13 57	12 22	19 3	3 25	10 54	4 66	14 65	1 42	7 47	8 61	11 60	9 31
17 12	6 98	13 72	18 43	2 35	0 48	9 97	3 58	14 82	8 81	15 55	10 57	11 67	5 8	16 55	12 94	1 89	4 2	19 19	7 50
9 60	17 11	10 17	8 8	6 58	15 28	12 23	19 25	0 87	3 18	18 41	14 52	4 62	7 41	5 36	1 86	13 63	16 50	2 51	11 57
6 97	18 84	10 75	9 92	5 58	7 90	4 95	8 52	16 80	12 65	11 69	1 33	19 99	3 32	17 30	0 89	15 91	14 69	2 86	13 16
5 53	18 68	8 43	11 41	9 48	17 54	6 77	7 12	15 60	10 83	1 64	2 66	13 82	12 83	14 40	16 55	4 22	3 85	19 97	0 25
7 98	0 92	19 23	10 79	17 14	16 34	15 67	14 78	2 30	9 3	12 53	13 30	18 70	6 63	11 45	1 50	5 84	8 77	4 63	3 88
8 25	5 58	18 24	16 43	15 78	3 37	11 88	7 87	13 75	17 34	4 91	10 5	2 20	12 84	9 56	19 82	0 22	1 4	6 52	14 58
8 66	13 33	14 21	1 63	3 9	12 41	16 72	17 51	6 99	9 63	19 23	11 75	10 59	7 9	2 79	18 87	15 15	5 5	0 5	4 55
3 82	9 39	5 51	12 34	14 33	8 3	13 13	7 67	15 86	1 8	19 76	0 38	11 84	4 55	6 49	18 50	10 76	2 34	17 72	16 15
15 95	18 20	7 60	17 95	16 81	19 61	3 8	12 57	5 68	8 97	14 44	9 45	2 77	0 57	11 53	1 99	10 24	13 72	4 8	6 87
4 64	9 2	14 4	15 91	18 83	16 9	1 82	13 91	8 61	10 16	0 49	3 98	11 78	19 70	6 8	5 33	17 20	2 75	7 89	12 67
