50	15
13 197	1 188	7 73	3 20	6 124	8 198	10 50	2 160	12 94	14 166	5 196	9 132	11 68	4 199	0 155
13 61	0 9	14 23	10 151	9 124	5 76	2 128	6 78	12 8	1 86	4 36	3 72	7 79	11 67	8 127
0 54	8 58	2 66	6 74	13 65	7 53	14 62	1 89	12 140	11 100	4 147	9 169	3 165	5 118	10 173
14 57	7 115	4 167	10 99	8 48	0 108	12 149	1 44	3 95	9 36	13 164	11 6	2 112	5 85	6 37
7 57	8 155	1 18	6 136	3 38	11 117	13 100	0 122	2 148	4 32	14 25	5 4	10 142	9 142	12 30
14 84	11 50	13 15	10 57	9 29	6 140	12 20	1 57	7 102	3 67	8 12	5 84	0 188	4 61	2 9
13 103	10 118	1 195	2 139	0 126	9 196	6 22	11 147	12 185	4 146	5 115	8 120	7 92	14 6	3 161
9 171	12 143	6 34	0 53	10 136	11 67	14 170	7 52	8 53	2 164	3 24	1 10	13 58	5 73	4 75
1 113	3 116	6 181	10 57	12 192	4 134	13 126	5 135	14 161	7 134	2 138	0 135	9 109	11 22	8 60
11 33	10 200	3 67	8 83	7 134	0 13	9 70	14 157	5 143	13 154	2 195	1 120	4 92	12 146	6 28
9 59	5 187	0 160	8 57	10 160	1 37	12 172	2 51	14 5	3 24	7 107	4 98	13 49	6 194	11 11
6 43	7 133	5 165	14 149	0 79	9 174	2 141	1 181	4 49	3 111	8 17	13 61	10 101	12 142	11 131
6 28	11 13	8 101	7 46	0 5	12 151	10 191	4 76	14 36	3 18	13 149	5 14	2 67	1 149	9 142
10 161	0 90	1 86	3 199	14 108	9 157	2 49	6 196	7 129	11 133	13 141	4 183	8 112	5 89	12 71
5 75	9 161	10 111	1 58	11 46	12 48	13 147	0 173	6 11	3 61	7 64	2 132	14 21	8 140	4 196
7 87	6 167	13 71	9 16	4 193	8 140	5 172	2 117	14 39	0 169	3 95	10 100	12 123	11 156	1 166
0 40	7 24	1 35	13 115	9 172	14 39	12 82	4 88	3 49	6 196	10 45	5 83	2 3	8 122	11 126
4 85	0 29	9 148	8 123	6 173	10 102	13 133	14 132	11 104	7 135	2 49	12 192	1 159	3 176	5 51
9 73	2 179	13 135	11 88	10 57	12 2	7 190	4 30	8 9	0 169	3 193	14 199	5 112	6 164	1 149
8 122	0 29	10 16	3 147	9 9	14 192	6 15	11 182	4 136	1 84	7 172	13 38	12 23	5 124	2 180
6 116	12 175	0 180	13 109	3 61	2 120	4 101	10 101	14 77	9 145	8 126	7 53	11 41	5 90	1 192
1 118	7 25	4 87	0 94	5 106	8 157	2 146	10 183	12 111	14 167	3 40	11 74	9 105	13 175	6 133
14 75	13 94	0 185	11 158	9 57	10 156	5 122	8 148	1 12	12 58	2 186	6 173	4 44	3 18	7 58
8 167	1 86	12 43	3 53	2 116	9 148	4 32	10 84	13 15	0 105	14 169	6 55	7 76	11 98	5 150
9 121	8 32	3 148	5 132	4 180	14 92	10 126	1 145	2 101	13 74	7 184	12 134	6 198	11 191	0 60
5 79	8 38	2 180	7 159	1 107	11 96	10 142	14 106	4 145	12 88	0 82	6 31	13 44	3 84	9 122
2 160	9 107	1 187	0 188	11 32	6 97	13 156	14 89	4 125	12 10	3 180	10 163	8 153	5 85	7 184
0 152	9 180	10 91	12 166	2 194	7 145	5 158	13 25	6 3	1 35	8 75	3 174	11 154	4 78	14 146
0 137	4 110	8 200	10 200	11 2	7 158	6 120	1 178	5 8	13 51	14 131	12 124	2 113	3 134	9 41
6 181	9 187	11 189	7 47	5 158	8 26	0 117	12 32	10 64	14 89	13 193	2 51	1 189	3 124	4 149
12 104	14 173	1 184	3 46	10 22	11 86	6 76	13 186	4 25	2 178	0 122	8 42	5 82	7 53	9 129
12 48	13 35	6 112	1 6	9 191	0 19	4 101	10 40	2 17	7 16	14 5	8 89	11 129	3 120	5 93
6 25	1 138	9 121	14 146	4 150	7 46	13 48	8 121	11 80	5 132	3 196	0 134	10 108	2 175	12 32
4 4	6 99	12 66	2 65	3 200	8 131	9 152	11 69	1 167	5 156	7 14	13 49	10 12	0 44	14 139
6 1	10 198	12 99	7 179	0 94	4 69	1 7	13 12	8 115	5 43	11 22	2 157	9 128	14 90	3 109
11 55	13 169	9 82	3 167	7 12	8 181	12 82	6 80	14 159	1 133	5 94	10 200	0 92	2 17	4 191
7 149	6 160	8 148	10 40	5 168	14 134	3 23	2 123	12 33	13 116	1 166	9 150	4 47	11 155	0 138
0 152	14 54	7 45	6 33	9 40	3 139	2 84	4 99	1 65	10 25	13 191	11 139	12 81	5 147	8 195
5 141	12 32	7 27	9 107	13 118	11 120	0 167	4 139	2 135	6 124	8 179	10 151	3 85	14 150	1 192
7 119	3 168	12 158	4 107	9 42	11 128	5 68	10 199	0 108	1 127	2 98	14 123	13 122	8 157	6 141
6 162	8 26	2 156	7 56	13 58	1 120	10 62	9 42	5 83	3 146	11 172	12 113	0 3	14 58	4 67
6 36	1 55	14 121	7 154	4 180	13 105	8 124	9 41	3 112	2 12	12 112	10 85	5 23	0 117	11 86
1 121	6 78	12 128	4 35	10 71	9 88	5 43	2 24	3 200	14 57	7 13	11 81	8 120	13 52	0 55
14 50	7 124	3 52	13 139	1 143	12 143	5 22	11 28	4 168	10 191	0 189	9 102	8 11	2 27	6 185
3 71	2 86	9 183	4 89	7 92	1 114	10 147	8 175	6 181	11 66	13 192	0 41	5 84	14 84	12 176
2 125	13 71	7 33	10 57	11 14	6 156	0 19	5 190	9 174	12 39	8 134	14 185	3 97	4 140	1 14
5 56	12 183	10 37	9 98	1 52	4 183	2 67	7 51	14 72	0 75	6 78	3 54	13 127	8 72	11 59
10 126	14 58	9 98	8 146	5 187	1 131	7 183	3 175	11 161	6 39	2 6	0 133	13 82	4 84	12 7
7 144	4 162	8 47	0 44	5 194	1 10	13 165	12 1	9 186	2 155	14 138	10 25	3 43	11 165	6 121
8 184	7 82	4 105	9 107	0 36	1 46	12 90	3 124	2 113	13 17	11 103	14 169	10 127	6 65	5 63
