60	20
11 93	5 128	6 119	13 7	15 197	10 101	18 79	12 70	16 36	9 127	19 159	0 160	2 93	1 25	14 25	8 197	4 135	3 21	7 175	17 177
4 106	15 131	16 83	10 64	13 80	12 72	7 103	6 109	0 66	14 27	19 79	9 70	8 1	2 166	5 177	1 67	18 132	17 67	11 190	3 37
9 26	2 72	1 3	10 28	5 38	4 7	7 148	0 181	18 12	17 59	3 139	16 59	11 77	15 9	19 22	13 11	6 86	12 129	8 82	14 136
2 11	1 86	15 92	13 12	3 83	8 173	14 181	10 22	12 163	7 38	16 78	18 73	11 49	19 147	6 151	17 29	5 76	9 66	0 28	4 44
3 156	19 188	5 21	6 47	9 140	8 120	7 138	14 141	2 162	12 67	15 11	10 87	17 73	13 72	0 28	11 112	18 85	4 114	16 65	1 20
6 156	3 111	11 166	7 165	16 135	19 48	0 60	13 5	14 41	2 173	8 56	4 40	10 141	1 156	18 131	9 76	15 166	5 73	17 38	12 167
11 102	0 54	9 36	15 41	10 96	18 83	7 106	1 41	3 21	5 36	19 165	14 114	13 4	16 174	12 167	8 160	6 124	17 92	2 94	4 78
12 38	8 127	6 50	15 53	9 83	13 107	17 168	1 40	16 116	7 80	0 98	10 10	18 36	4 59	3 185	14 132	2 139	19 86	11 79	5 166
0 3	4 88	16 38	1 101	8 66	17 124	7 28	18 156	14 125	19 10	5 140	6 137	12 81	3 101	15 5	10 87	9 34	11 98	13 151	2 84
15 199	12 7	4 191	14 85	18 80	1 60	16 16	19 47	0 9	7 149	11 93	3 185	8 116	6 91	2 44	10 5	13 21	17 171	5 182	9 94
13 158	3 12	5 111	16 100	14 85	18 110	1 80	4 174	9 186	2 70	0 82	8 34	6 153	7 62	11 120	19 170	15 27	10 53	17 123	12 199
4 79	15 176	11 162	8 93	14 145	6 162	9 67	7 165	2 187	16 133	5 3	13 179	18 64	0 189	17 193	1 140	19 24	12 128	10 134	3 24
0 91	12 12	2 114	4 42	16 87	7 30	15 31	11 162	3 119	14 111	13 56	18 15	6 22	8 100	1 2	19 49	9 87	17 108	10 120	5 11
10 120	9 159	16 117	18 34	13 190	14 123	0 94	17 175	3 165	12 104	2 94	6 72	19 107	15 99	8 146	11 120	7 60	4 146	5 124	1 106
3 130	19 173	16 24	6 44	13 5	8 103	0 129	1 171	12 62	11 130	7 197	14 170	5 81	2 99	18 142	10 150	4 178	17 5	15 54	9 185
8 110	1 52	5 40	16 135	10 162	12 22	11 86	19 98	9 145	14 27	18 75	13 127	0 176	2 79	17 149	4 147	6 150	7 174	3 26	15 81
6 191	4 140	13 137	12 64	15 11	9 167	19 106	3 141	5 23	10 15	14 179	7 193	18 66	1 61	11 126	16 155	17 182	2 190	8 170	0 89
19 104	12 31	4 152	13 153	16 96	1 100	2 36	17 134	10 97	3 99	0 61	11 20	7 154	9 21	14 19	5 173	8 46	15 93	6 94	18 5
6 163	18 48	11 55	15 7	7 94	3 113	5 119	10 50	2 39	8 120	9 25	19 170	16 51	12 19	14 175	0 98	1 200	13 38	17 180	4 44
7 127	9 37	8 84	11 75	16 183	17 178	18 180	6 118	3 108	15 97	14 188	2 64	10 160	4 115	1 89	0 134	5 115	13 10	12 133	19 52
13 102	10 174	11 170	18 32	17 39	4 40	3 5	2 51	5 170	9 148	6 43	14 118	19 101	8 147	15 88	0 103	7 120	1 51	12 76	16 5
10 178	13 128	14 146	5 130	4 102	11 37	2 198	1 114	8 34	9 35	15 192	3 27	0 196	7 64	12 106	17 26	6 106	19 1	16 4	18 128
8 83	19 67	11 36	9 41	14 86	3 27	2 168	15 85	0 157	4 48	16 37	17 155	5 86	18 136	7 102	1 179	6 175	13 79	12 2	10 138
19 115	4 161	15 126	16 76	10 196	7 184	14 174	0 149	18 103	9 123	11 52	6 136	3 150	17 9	2 167	13 159	1 136	5 114	8 130	12 83
