80	20
17 11	9 32	18 95	8 23	12 30	13 2	16 84	11 21	15 9	14 50	4 38	7 47	5 81	19 66	10 57	0 30	1 41	3 70	2 68	6 88
7 90	1 28	5 70	9 39	8 73	14 53	10 81	15 32	11 43	13 4	19 63	16 15	0 75	17 51	12 92	4 98	6 88	2 60	3 19	18 56
15 13	7 40	10 96	17 77	14 81	6 28	2 72	18 85	5 80	1 18	19 85	12 63	9 8	13 56	8 24	0 99	4 49	11 24	16 79	3 20
4 46	1 99	13 6	11 49	8 17	17 49	18 25	9 99	16 42	6 81	14 32	12 55	7 16	2 18	5 82	3 38	0 42	19 85	15 76	10 50
1 12	3 31	6 60	18 51	11 87	13 11	9 33	10 21	12 56	0 92	14 46	4 13	19 33	15 86	17 62	2 74	5 77	8 94	16 99	7 11
6 85	2 65	17 75	8 14	15 49	0 78	18 93	11 35	3 26	13 1	16 52	12 38	14 47	10 73	9 70	5 13	19 24	7 22	1 84	4 68
1 69	5 35	9 95	0 38	10 82	12 68	14 70	18 96	19 93	7 86	15 23	3 38	11 29	16 94	4 59	13 39	8 84	17 29	6 59	2 6
16 55	14 41	12 26	9 30	2 89	5 49	13 87	0 50	8 10	18 77	4 83	17 32	15 70	3 17	10 39	19 15	11 60	7 30	1 37	6 6
0 56	10 72	8 33	13 42	19 35	9 32	14 89	11 77	7 68	18 69	12 11	15 8	4 12	3 70	1 74	5 32	6 79	16 29	2 93	17 62
16 41	15 50	6 16	12 77	4 72	0 24	8 49	2 11	14 32	1 23	3 83	17 13	5 45	10 22	18 94	13 32	7 77	9 77	19 88	11 70
16 34	9 11	5 45	18 77	12 39	7 60	2 58	14 31	11 90	8 58	4 88	17 13	15 83	3 79	6 29	1 93	10 29	0 56	13 5	19 36
6 5	12 18	17 81	1 45	8 38	0 56	11 65	2 13	18 28	16 29	3 77	14 15	5 73	7 93	15 47	10 51	13 25	4 81	9 72	19 75
