60	5
2 92	3 118	1 21	0 171	4 96
1 64	2 27	0 97	3 2	4 80
3 74	2 184	4 24	1 120	0 127
3 102	1 92	0 13	4 164	2 8
3 132	4 76	1 135	2 22	0 112
1 5	2 193	0 143	4 28	3 64
3 179	4 130	2 42	0 114	1 199
4 101	0 92	2 175	1 196	3 142
0 3	2 86	1 57	4 169	3 125
4 129	3 45	0 163	2 87	1 15
3 45	0 37	2 93	1 24	4 189
3 85	1 161	0 154	4 163	2 130
3 88	1 122	0 78	2 85	4 110
1 168	2 180	4 130	0 43	3 6
1 178	3 196	2 24	4 26	0 45
1 136	3 103	0 152	2 69	4 165
1 59	4 166	0 94	3 67	2 29
3 180	1 36	2 91	0 132	4 57
2 91	0 47	3 22	4 48	1 178
0 186	2 158	3 135	4 188	1 117
4 9	0 14	1 7	2 138	3 133
0 149	3 181	4 106	2 191	1 198
2 188	1 104	0 101	3 184	4 121
3 61	1 130	2 6	4 139	0 99
3 99	4 88	1 76	0 65	2 177
2 11	1 188	4 4	0 150	3 130
0 186	3 90	4 156	1 85	2 74
3 170	4 43	0 85	2 123	1 133
2 184	1 198	4 85	0 35	3 42
4 66	2 23	0 112	1 99	3 84
3 141	2 120	0 196	1 174	4 176
0 119	2 176	3 25	1 94	4 105
2 116	4 158	1 103	3 169	0 102
2 90	1 155	0 61	4 56	3 156
1 18	0 117	4 180	3 183	2 76
2 69	4 175	3 45	0 47	1 127
0 108	3 86	1 76	4 89	2 123
1 200	3 43	0 87	4 40	2 84
1 90	3 151	2 69	0 173	4 189
4 140	0 50	1 143	2 117	3 39
3 94	1 188	4 19	2 115	0 24
0 192	3 164	4 82	1 173	2 145
3 13	1 104	2 61	4 3	0 148
4 129	0 199	1 114	2 33	3 34
2 149	1 182	4 68	0 174	3 197
3 45	1 187	0 128	2 198	4 6
2 6	0 117	3 64	1 137	4 2
2 173	1 157	3 33	0 138	4 110
2 170	0 101	1 54	3 130	4 130
2 180	4 182	1 112	3 40	0 98
4 102	1 156	2 122	0 121	3 98
0 198	2 60	1 12	4 113	3 38
3 18	0 96	4 132	2 28	1 30
1 164	4 78	2 6	0 122	3 158
4 113	2 63	1 9	0 92	3 172
1 65	4 164	3 110	2 15	0 143
0 125	2 184	1 120	4 165	3 60
0 12	4 163	1 130	2 32	3 173
0 65	3 34	4 84	1 99	2 21
1 26	4 167	3 190	2 134	0 198
