50	5
3 44	0 48	4 31	1 98	2 46
2 93	0 25	4 19	3 60	1 49
2 40	0 26	4 63	3 25	1 20
3 82	1 75	0 66	4 52	2 27
0 31	4 74	3 17	2 39	1 28
4 54	0 47	1 10	2 63	3 5
2 10	4 16	0 62	3 9	1 70
3 19	2 8	1 69	4 16	0 42
4 70	0 29	1 94	2 31	3 48
1 65	4 66	0 67	2 15	3 42
1 2	2 64	3 44	0 57	4 91
0 11	2 20	3 62	1 83	4 62
0 54	3 65	1 57	2 45	4 24
0 57	1 45	4 75	2 78	3 77
3 66	0 24	4 12	2 69	1 50
0 10	1 90	4 18	3 41	2 85
3 82	2 92	1 36	0 54	4 64
2 37	1 23	3 68	4 31	0 38
4 50	0 18	2 71	1 55	3 47
1 79	2 1	3 19	0 58	4 5
2 92	4 46	1 96	3 34	0 47
2 61	4 25	3 24	0 98	1 57
1 37	4 95	0 31	2 74	3 56
1 98	4 50	2 48	0 99	3 83
4 66	3 89	2 75	0 15	1 22
1 3	0 16	3 51	4 85	2 70
0 12	4 63	1 83	2 81	3 36
3 29	0 76	2 79	4 17	1 64
4 74	2 87	1 29	3 79	0 11
0 58	1 24	2 39	4 53	3 74
4 8	3 96	0 20	2 28	1 33
4 20	1 82	2 82	3 34	0 89
1 95	4 60	3 39	2 84	0 21
4 10	0 86	1 5	2 46	3 55
0 74	2 52	1 82	3 1	4 31
1 24	4 41	0 31	3 7	2 47
4 62	3 98	2 81	1 92	0 70
3 77	1 61	0 88	4 99	2 40
1 28	2 37	3 18	4 48	0 69
4 59	2 3	1 92	0 17	3 82
3 72	4 19	2 59	0 15	1 64
3 70	4 90	2 34	1 75	0 34
1 82	4 70	2 44	0 97	3 52
3 14	2 4	0 94	4 29	1 24
1 77	0 34	3 4	4 11	2 64
0 97	2 73	3 29	1 67	4 58
0 79	3 45	1 29	4 17	2 38
2 20	0 51	4 56	3 40	1 99
1 23	4 98	0 94	3 73	2 11
1 4	3 6	2 53	0 10	4 55
