15	80
56 48	66 48	55 41	29 47	25 58	9 54	2 52	77 46	8 51	13 55	1 46	42 52	48 59	54 52	27 58	68 50	10 44	36 52	35 51	64 50	79 46	37 43	53 50	73 44	12 53	51 50	57 50	18 46	34 50	20 55	67 57	6 50	70 46	60 46	65 53	23 58	17 47	63 59	33 48	69 49	40 46	11 60	44 57	24 52	75 49	32 49	7 57	15 50	72 50	21 54	22 45	19 55	78 46	4 51	59 46	30 53	16 54	31 53	28 55	41 55	5 51	49 52	0 54	52 44	50 53	76 47	3 53	71 57	39 44	26 49	45 56	14 59	43 55	38 48	62 51	46 51	61 44	47 49	58 44	74 56
37 49	78 52	64 48	0 54	30 50	10 60	56 58	60 44	49 45	21 52	75 46	41 49	25 47	73 57	36 51	71 55	47 48	39 56	28 49	26 47	79 59	14 60	2 51	17 54	19 46	34 48	13 44	8 47	32 57	31 43	20 52	43 54	5 46	44 49	50 54	46 49	67 48	9 56	1 52	54 45	63 40	12 54	15 52	65 54	76 50	74 46	23 53	7 50	29 52	22 52	58 52	59 47	40 51	55 60	24 44	66 40	52 52	61 48	3 55	68 44	27 41	70 51	57 46	42 48	51 53	48 48	35 49	45 49	72 40	33 63	6 51	77 54	62 57	4 56	38 54	16 48	69 60	11 48	53 45	18 58
35 50	42 47	53 52	18 55	22 51	41 49	13 53	72 46	64 36	45 48	2 38	6 46	1 44	66 53	21 56	56 53	58 52	23 59	57 56	20 43	70 50	40 54	24 45	11 46	78 51	33 57	10 54	26 52	27 53	12 58	3 57	9 53	15 53	54 51	62 39	79 56	36 52	46 56	44 49	5 55	14 54	49 57	19 49	59 52	48 47	50 53	73 57	63 50	55 51	65 53	68 42	76 46	71 55	0 50	60 55	30 55	32 41	37 55	34 58	8 43	67 46	38 54	17 56	16 55	47 59	31 45	43 41	25 56	52 49	39 50	69 51	75 52	4 56	77 41	74 50	51 55	61 43	7 52	28 58	29 42
9 43	27 54	69 55	37 54	25 51	16 45	5 52	53 48	46 44	18 56	54 53	1 55	59 52	28 48	51 43	40 51	13 59	23 57	29 48	24 55	57 48	55 59	6 53	4 37	26 38	2 53	15 49	30 50	68 44	0 49	52 57	45 58	36 56	7 51	60 50	42 49	62 49	61 46	35 45	34 59	20 43	74 56	38 48	3 51	44 50	41 55	58 52	66 55	11 47	79 49	50 52	17 52	65 48	12 51	8 52	72 48	48 52	75 41	56 55	10 46	70 60	22 59	76 49	32 46	67 45	77 51	14 42	21 55	43 50	31 46	47 52	64 43	19 52	39 53	63 58	78 46	49 49	71 56	73 45	33 44
11 51	79 47	24 39	58 44	53 43	54 56	72 48	3 49	46 42	23 49	70 41	61 50	62 48	48 51	51 55	40 43	77 58	14 49	27 57	52 51	67 51	29 55	68 49	17 51	55 46	74 49	45 53	47 48	34 57	0 53	35 53	49 54	32 45	25 54	4 54	2 54	57 56	73 51	76 54	7 65	18 49	44 57	50 59	64 47	41 45	30 47	19 51	66 54	60 45	39 52	1 42	5 46	9 53	12 54	28 51	65 49	22 60	38 56	21 51	16 46	69 47	43 57	42 58	78 52	26 57	56 52	36 61	63 52	31 46	13 46	15 57	8 50	71 52	10 53	20 48	6 44	59 49	75 53	33 47	37 53
8 42	45 46	51 55	59 52	46 46	0 46	17 51	22 46	39 53	58 42	33 46	72 45	14 38	47 56	41 45	60 48	52 51	24 44	49 56	23 57	34 51	30 46	16 43	31 50	21 56	76 49	78 48	19 52	13 52	48 51	29 49	64 55	50 43	54 44	69 50	68 47	43 46	4 51	53 55	3 45	1 48	66 48	57 51	40 49	28 44	26 53	11 44	74 60	61 49	6 43	79 57	42 48	18 51	67 53	77 57	63 33	36 45	37 59	73 49	70 49	35 48	25 51	10 50	9 51	2 51	56 51	55 54	71 45	27 44	12 50	75 54	20 49	65 46	38 54	62 55	44 57	32 51	15 49	5 50	7 58
75 54	41 50	7 42	21 38	65 52	25 52	72 58	18 49	70 52	37 46	38 49	56 49	52 58	59 49	8 48	29 58	66 48	14 53	5 57	6 61	74 46	61 59	12 40	11 59	9 35	32 42	24 55	42 40	19 46	10 53	47 44	16 59	51 49	43 45	13 56	15 51	63 51	1 49	71 49	62 51	69 55	22 56	2 57	30 50	23 43	17 55	35 52	3 54	48 43	26 56	39 46	45 45	40 46	79 48	36 54	58 54	64 49	44 48	60 49	27 52	55 52	49 48	33 43	46 48	4 53	68 47	20 45	50 53	76 52	28 42	78 49	67 46	0 56	31 44	54 59	57 47	34 52	77 61	73 42	53 39
9 45	42 48	66 47	22 52	54 45	7 53	77 54	33 57	8 46	25 45	69 52	34 48	45 48	12 48	23 46	48 49	15 41	67 55	36 54	58 45	60 51	32 43	13 58	46 48	56 46	40 48	71 51	73 63	74 44	14 48	19 57	27 46	78 47	30 47	41 50	31 49	0 40	51 46	53 53	44 50	4 43	35 49	59 51	76 50	16 53	72 51	65 48	3 48	1 42	10 55	61 53	49 51	28 47	70 54	11 52	17 43	37 41	64 47	21 46	39 63	62 58	79 51	2 44	68 49	18 49	24 51	5 49	29 51	57 43	50 58	6 52	52 48	47 48	26 44	43 46	20 50	55 53	38 54	75 54	63 47
4 42	14 44	12 59	32 51	26 53	74 53	48 45	75 44	11 49	37 57	18 54	70 53	31 52	13 55	44 44	58 57	61 51	5 50	34 50	67 47	9 44	50 49	2 47	54 50	76 50	27 51	59 49	19 41	78 45	64 57	16 55	35 51	6 49	56 44	20 51	24 52	65 52	57 41	10 47	38 45	77 46	52 55	41 51	51 53	17 59	29 50	0 45	79 53	40 39	15 49	72 43	63 56	36 43	30 59	43 54	53 43	68 45	21 51	45 49	25 50	23 51	49 49	73 47	1 45	60 49	22 61	33 50	42 43	39 47	28 51	71 59	69 46	66 57	3 41	46 58	55 45	7 52	8 50	47 51	62 56
31 52	28 49	51 52	27 50	9 50	3 48	56 48	36 53	41 45	20 51	35 50	69 50	55 53	53 56	43 50	64 48	79 56	66 53	63 49	22 39	19 59	77 49	38 45	72 52	2 53	26 49	57 60	78 51	10 53	59 54	37 52	16 48	5 52	45 49	12 53	8 46	14 48	32 50	68 48	0 50	74 51	76 44	7 48	24 41	67 54	52 48	39 53	6 41	58 53	50 48	11 46	61 44	65 47	30 40	54 53	40 52	29 53	33 49	34 48	42 53	75 48	25 44	49 45	60 58	44 58	71 46	15 53	47 60	23 50	17 47	18 56	13 51	62 51	70 43	48 43	4 51	21 56	73 43	1 51	46 46
33 40	43 49	52 53	20 44	44 52	60 45	8 45	76 60	50 52	57 41	59 54	68 54	35 52	34 59	41 58	54 45	2 54	51 46	14 51	55 47	9 56	49 50	63 49	65 50	30 50	32 52	23 48	11 46	6 56	4 58	78 52	62 49	42 53	79 52	27 46	56 54	77 55	58 56	12 50	36 53	5 56	16 47	67 49	73 42	61 56	25 47	28 52	0 57	15 40	7 48	13 50	53 48	72 50	70 49	39 57	3 52	69 52	74 52	10 50	21 52	64 45	47 56	18 50	29 46	19 48	24 41	75 55	38 51	31 44	1 55	45 51	46 43	22 47	26 50	48 56	17 56	66 48	40 48	37 54	71 48
