40	5
3 9	1 62	0 41	2 13	4 38
1 7	0 34	3 42	2 63	4 4
0 67	2 73	3 95	1 28	4 36
3 90	4 94	1 23	0 16	2 65
3 7	4 60	2 36	0 87	1 25
2 62	4 22	1 23	3 12	0 85
4 83	3 68	0 30	1 12	2 9
0 13	4 65	1 72	3 36	2 12
4 96	3 46	1 49	2 27	0 57
1 97	3 89	2 96	0 85	4 50
4 8	2 43	0 61	1 48	3 50
3 45	2 9	4 63	0 43	1 69
4 25	3 4	0 52	1 1	2 37
3 51	0 26	4 77	1 88	2 68
0 39	3 87	4 78	1 81	2 19
1 44	4 36	3 66	0 70	2 87
2 85	3 49	1 83	0 91	4 67
1 82	3 43	2 76	0 89	4 21
3 6	4 30	1 8	0 9	2 60
1 31	2 92	0 70	3 58	4 74
4 37	1 97	0 11	3 42	2 32
0 60	3 11	4 63	1 25	2 13
4 53	0 2	2 61	1 28	3 58
2 59	0 57	1 4	3 63	4 95
3 11	1 85	0 27	4 35	2 87
3 19	4 25	2 7	0 30	1 43
1 51	0 60	2 3	3 26	4 35
4 18	1 44	2 10	3 54	0 4
4 45	2 37	3 84	0 69	1 3
1 73	2 90	3 48	0 67	4 5
4 47	1 72	3 19	2 65	0 81
3 51	1 97	0 62	2 79	4 14
0 21	4 97	3 33	2 26	1 36
1 78	0 19	2 83	4 86	3 94
0 2	1 72	3 23	4 83	2 58
4 67	2 80	3 40	0 93	1 15
3 43	0 51	2 17	4 50	1 53
3 87	2 72	4 15	0 16	1 88
1 85	3 68	0 27	2 12	4 69
0 65	4 80	1 27	3 81	2 92
