70	10
4 10	8 59	0 95	7 23	6 8	1 49	3 15	2 52	9 62	5 66
8 75	2 24	3 51	4 20	1 96	9 25	7 10	0 34	5 33	6 36
5 11	8 6	9 44	3 36	2 14	0 95	6 46	1 98	4 69	7 74
6 59	1 71	0 28	4 6	8 67	9 16	5 63	7 63	2 6	3 9
9 70	4 30	8 71	3 90	1 54	0 66	6 81	5 61	2 93	7 21
8 20	4 93	9 30	6 83	3 98	7 1	1 21	2 69	0 32	5 69
0 16	4 41	2 30	7 84	3 15	8 63	5 36	9 33	1 98	6 84
1 18	9 56	3 33	5 35	4 19	0 9	8 11	6 63	2 28	7 68
2 71	1 69	8 72	3 32	0 4	5 67	7 6	9 7	6 98	4 95
4 11	1 27	7 60	6 46	9 37	0 17	2 95	3 13	8 96	5 59
4 17	6 3	7 58	9 88	8 74	1 21	3 70	5 47	0 3	2 22
6 98	0 60	8 37	3 14	7 47	4 80	5 43	1 21	9 67	2 7
2 13	3 78	8 13	9 24	6 96	7 66	4 94	5 80	0 97	1 15
0 90	9 39	6 47	2 63	8 46	4 87	3 2	1 79	5 60	7 41
3 33	4 84	8 70	5 83	6 22	9 5	0 37	2 40	1 35	7 52
9 80	4 57	7 59	0 60	5 45	8 69	6 93	2 8	3 94	1 71
2 44	5 18	9 12	1 69	3 7	6 68	8 2	4 74	0 80	7 98
8 14	6 62	5 60	0 70	3 51	2 45	4 12	9 7	1 35	7 25
4 92	8 84	1 98	6 4	3 77	9 12	2 89	7 75	5 73	0 98
0 50	3 41	1 38	6 21	4 49	5 42	8 73	2 60	7 94	9 60
7 99	8 36	6 59	1 91	5 37	3 51	0 12	2 15	9 42	4 52
2 47	9 16	6 89	1 15	0 94	4 34	7 93	8 25	5 22	3 25
8 89	5 41	7 67	9 56	4 84	3 45	1 80	6 97	0 9	2 54
9 85	2 91	8 25	6 3	5 85	0 37	1 18	4 29	7 81	3 78
2 39	8 50	1 30	7 44	9 22	5 22	3 54	4 99	0 64	6 84
1 71	3 79	0 84	7 72	8 82	5 88	2 3	6 25	4 5	9 73
2 14	1 48	3 7	9 25	7 84	6 84	4 2	0 74	8 56	5 79
8 71	6 66	5 77	3 82	9 97	0 49	4 11	2 9	1 76	7 94
6 86	0 87	5 30	9 50	4 7	7 2	3 38	8 85	1 79	2 17
8 12	3 91	6 85	4 96	0 49	9 58	5 29	2 7	1 73	7 67
7 94	4 44	2 35	6 77	5 56	0 18	9 16	3 90	1 57	8 35
9 35	6 3	2 4	3 34	5 57	4 82	1 34	0 75	7 53	8 65
0 31	5 40	8 82	4 40	6 97	7 10	2 17	3 4	1 36	9 3
2 21	3 77	9 11	6 70	8 33	5 64	1 44	0 38	4 65	7 16
3 21	1 93	9 2	6 43	4 52	0 20	2 14	7 69	5 54	8 45
6 14	8 23	3 61	0 39	2 34	9 41	5 63	7 79	4 90	1 67
3 64	4 13	9 10	6 47	2 94	7 16	8 3	5 58	0 70	1 55
6 93	9 63	1 77	5 85	0 41	8 31	2 56	4 58	3 70	7 78
4 35	6 66	3 56	1 66	0 96	8 40	7 89	9 51	2 14	5 76
0 61	3 24	9 98	8 20	4 26	6 48	7 65	1 52	2 98	5 99
3 71	2 90	5 46	8 49	6 11	4 26	1 42	0 3	9 37	7 57
5 66	7 50	4 69	6 92	8 16	2 7	0 20	3 69	1 58	9 11
9 17	7 89	6 74	3 72	1 78	0 85	4 67	8 72	5 78	2 10
8 62	6 10	2 71	3 84	1 32	7 71	9 64	0 1	5 65	4 88
4 51	7 99	6 82	9 55	1 83	3 74	8 46	5 30	2 81	0 41
5 11	6 34	4 27	9 3	8 25	0 1	2 93	1 57	7 7	3 12
0 89	7 7	2 53	6 65	4 62	3 41	8 5	9 28	1 25	5 55
9 2	8 56	1 22	4 15	3 36	7 89	5 16	0 78	6 23	2 8
3 18	9 24	5 72	6 10	2 84	1 14	4 66	8 36	0 48	7 42
3 17	5 94	6 62	0 37	4 83	2 56	1 56	8 21	9 60	7 32
5 77	9 92	1 53	0 32	2 14	6 78	4 11	8 60	7 92	3 64
4 38	6 62	8 60	9 27	1 8	5 49	7 61	2 80	0 15	3 20
3 29	7 31	2 80	5 22	8 16	6 77	1 26	0 83	4 7	9 61
5 86	8 52	3 36	0 13	6 24	9 28	2 34	7 39	4 60	1 77
0 85	9 93	3 7	8 95	6 63	5 14	7 23	1 81	4 6	2 13
2 99	4 27	9 92	1 62	5 78	0 87	6 7	7 5	8 7	3 79
1 77	3 62	6 19	0 45	8 22	2 48	9 32	4 35	7 61	5 47
3 37	7 56	2 32	5 67	0 4	4 56	8 89	6 35	1 7	9 8
7 7	8 55	5 28	2 78	6 1	0 46	4 12	1 56	3 63	9 21
9 38	8 78	3 39	4 75	5 45	2 92	0 15	1 48	6 81	7 35
5 35	4 49	0 58	7 27	6 51	8 88	9 24	3 79	2 26	1 82
7 85	0 23	4 63	1 3	3 33	9 81	6 24	2 41	8 1	5 22
4 27	1 93	3 26	7 44	2 82	9 33	5 83	0 52	6 86	8 72
2 13	1 75	9 57	0 68	3 48	7 67	6 85	4 68	5 47	8 2
4 51	3 11	1 96	5 11	6 95	2 40	7 60	0 32	9 43	8 87
8 25	2 89	5 3	6 88	9 30	7 44	0 31	1 29	3 94	4 45
0 78	5 28	8 63	7 3	4 4	2 10	3 82	6 62	1 58	9 21
6 54	5 75	3 41	0 92	2 23	7 72	4 53	1 54	8 23	9 59
1 88	2 87	7 58	8 78	0 6	3 86	5 57	6 42	9 71	4 21
2 23	6 9	0 90	7 92	5 25	8 22	9 4	3 29	4 18	1 17
