50	20
15 96	8 182	2 36	11 169	14 146	12 20	0 116	17 84	7 69	3 24	18 155	13 61	6 133	5 27	19 65	4 3	1 102	10 109	9 193	16 103
6 83	4 136	10 79	13 70	9 67	2 149	18 118	12 21	3 61	11 97	7 121	19 161	8 14	0 159	1 19	15 19	14 135	17 47	16 92	5 54
4 166	6 88	2 50	11 104	9 174	3 88	14 137	18 121	7 143	10 80	8 67	19 165	13 189	0 99	1 81	5 68	17 87	16 96	12 164	15 73
13 157	18 164	9 91	14 105	6 24	0 200	19 45	1 133	10 31	4 81	7 144	12 117	5 62	17 141	2 37	15 184	8 19	16 67	3 37	11 93
0 48	8 109	12 115	19 197	18 112	11 134	1 110	6 149	7 16	5 175	17 193	4 93	2 54	13 3	3 52	16 200	9 138	10 131	14 46	15 155
14 195	5 2	12 39	2 166	1 87	17 8	13 112	19 73	3 174	4 150	6 42	8 175	9 88	7 26	18 19	15 70	0 100	10 52	16 8	11 126
12 61	15 127	7 106	9 179	6 78	19 182	0 155	16 96	3 113	11 47	14 16	17 92	13 120	2 180	1 187	18 136	8 176	10 114	5 61	4 3
13 109	11 44	18 199	17 182	14 37	7 191	0 57	4 1	3 28	12 29	5 72	16 119	9 174	2 182	8 46	15 93	10 10	19 106	6 5	1 31
1 178	9 54	7 16	13 72	16 86	18 163	6 49	17 54	8 44	14 35	10 82	2 133	5 67	12 14	11 13	3 148	15 154	19 130	0 47	4 159
4 153	15 164	1 63	16 31	11 43	8 27	19 144	17 49	5 4	13 108	2 179	6 155	0 84	14 128	18 81	12 63	10 41	9 149	7 29	3 75
8 166	10 130	19 115	0 111	11 38	3 189	2 115	15 142	7 1	14 25	16 122	18 127	4 5	6 131	12 133	9 130	13 75	1 49	17 194	5 87
8 87	1 145	12 148	17 200	13 41	5 141	0 46	11 20	14 31	16 123	19 132	9 93	18 146	4 84	3 175	7 9	6 183	10 179	15 128	2 90
15 80	7 2	1 169	18 68	13 33	0 15	4 92	8 36	17 53	5 113	2 37	12 8	3 150	10 122	16 82	19 143	14 115	6 41	11 95	9 172
14 105	2 51	7 106	18 33	9 158	10 194	8 25	15 64	3 111	6 99	13 167	12 48	0 17	1 61	4 33	5 177	19 149	17 122	16 47	11 103
13 106	2 109	3 146	18 18	15 40	6 149	1 154	16 168	7 5	4 106	0 182	12 130	11 151	14 128	10 28	8 12	5 139	19 132	17 161	9 156
15 11	4 76	13 111	11 167	12 3	9 60	14 84	18 113	10 187	19 58	8 119	17 101	5 163	0 159	6 6	7 107	1 145	3 189	16 155	2 198
5 119	4 176	10 39	0 127	18 192	12 123	17 57	15 120	19 25	16 174	8 144	13 135	9 156	14 118	3 136	7 180	11 194	2 146	6 168	1 164
18 45	13 109	7 115	19 191	12 88	2 144	0 128	10 101	9 153	3 180	6 120	16 42	11 123	14 90	1 197	8 37	5 32	4 124	15 139	17 189
0 133	12 18	16 53	7 69	17 14	10 124	18 96	1 165	8 175	4 25	3 111	9 119	19 109	13 91	2 145	15 145	14 37	11 93	5 120	6 118
10 91	19 111	11 123	14 21	15 37	8 148	1 190	9 101	0 83	18 1	12 20	2 127	4 12	6 41	13 159	5 32	7 197	17 27	3 166	16 129
17 61	4 67	2 43	1 39	19 75	0 190	5 139	3 161	16 87	7 57	11 81	13 91	15 158	18 123	14 120	10 163	6 109	8 157	9 87	12 152
10 152	0 37	14 99	12 89	4 178	6 113	18 155	3 51	13 161	15 92	9 38	8 41	11 107	2 135	16 178	19 82	7 63	17 9	1 2	5 29
2 146	18 145	10 44	3 34	15 89	7 163	8 52	4 17	17 180	19 174	1 186	6 14	13 196	5 167	16 9	11 23	0 145	9 164	14 39	12 160
13 93	17 110	2 15	5 108	7 145	18 72	12 126	10 9	3 3	4 71	19 40	11 43	8 198	15 12	14 95	16 157	0 112	9 66	1 25	6 112
16 76	3 56	12 82	18 64	8 14	13 20	9 111	7 49	14 156	4 195	1 153	6 136	0 149	15 147	17 16	2 59	11 31	10 75	5 26	19 5
8 13	16 16	15 199	10 61	14 113	12 54	4 141	9 180	6 169	11 104	0 70	7 195	1 181	19 142	5 1	18 51	2 10	13 71	3 106	17 55
4 84	8 155	1 183	3 188	18 2	17 178	11 56	2 65	7 107	10 194	9 85	12 195	13 61	16 131	19 7	0 186	6 50	5 8	14 92	15 120
16 104	3 185	4 160	7 161	8 116	19 14	1 11	11 153	13 68	2 81	14 25	17 29	18 23	9 94	12 145	15 185	6 14	10 90	5 38	0 52
19 60	17 168	7 43	5 161	2 151	9 54	8 154	1 70	11 140	12 150	6 29	14 126	3 51	16 196	0 8	18 137	10 149	15 12	13 48	4 47
16 48	14 169	19 122	4 117	10 48	9 103	1 9	15 14	12 64	6 4	8 57	18 119	17 147	2 162	3 15	0 200	7 149	13 22	11 71	5 20
16 5	0 56	1 146	13 78	2 148	4 169	7 53	19 62	10 58	17 171	5 132	15 197	9 190	6 81	3 57	18 131	8 123	12 73	14 81	11 58
8 95	10 117	15 140	11 58	5 103	19 159	12 125	9 121	6 133	1 114	7 29	17 104	0 93	3 46	2 82	18 165	13 133	4 24	16 158	14 178
8 124	12 179	16 37	17 10	15 41	0 36	11 196	2 35	18 59	3 107	9 71	13 173	6 105	19 43	4 55	14 184	1 42	10 140	5 83	7 64
7 94	11 5	8 132	4 174	1 11	2 40	10 161	5 158	6 65	16 15	12 112	3 53	15 111	0 79	13 53	19 125	17 155	9 125	14 30	18 132
1 166	4 162	8 144	9 128	15 194	5 119	19 87	0 188	17 44	11 6	16 44	3 168	6 71	14 64	2 24	12 64	7 15	13 126	18 146	10 35
9 132	1 79	5 147	17 85	19 173	4 142	13 155	12 75	10 113	6 55	2 39	14 95	7 41	8 83	11 61	18 137	3 41	15 86	0 183	16 149
