60	20
1 44	8 165	14 32	16 168	15 174	12 31	9 148	19 158	7 123	4 181	0 21	2 85	18 143	10 14	3 173	11 75	6 200	5 165	13 144	17 168
1 166	13 79	18 133	19 128	3 17	0 122	17 104	9 56	2 178	16 36	14 127	15 92	6 67	5 135	10 147	4 187	8 36	7 134	11 81	12 167
5 3	16 118	3 168	10 114	4 12	17 102	7 91	9 11	19 140	1 83	15 177	2 129	11 107	12 167	18 108	13 34	6 30	8 8	0 138	14 130
9 193	17 59	8 86	12 70	7 126	10 100	5 7	16 121	18 166	14 137	0 197	4 118	15 28	11 48	3 171	2 162	13 167	19 82	1 26	6 84
14 62	3 180	13 137	9 116	12 43	6 183	2 106	18 64	1 30	11 170	7 73	16 111	0 24	17 144	4 87	15 67	5 123	19 117	10 4	8 36
17 198	15 82	7 31	5 36	13 10	16 190	14 60	1 165	12 142	3 155	4 163	0 155	8 120	6 10	9 24	11 54	10 54	19 18	18 174	2 122
13 198	16 194	14 120	8 137	19 65	6 86	0 196	17 156	2 74	18 127	5 98	9 160	1 47	12 197	11 13	4 59	7 126	3 30	15 8	10 102
8 161	4 131	14 171	13 143	6 30	7 154	9 196	5 39	18 103	1 162	12 161	19 171	17 84	11 103	3 77	10 38	0 83	16 154	2 94	15 185
5 147	6 112	4 90	0 9	13 41	7 190	12 34	10 80	19 25	16 9	17 60	18 29	14 59	3 161	8 3	11 132	15 187	9 106	1 155	2 78
8 30	18 46	3 13	16 143	7 95	10 175	6 158	12 133	11 95	19 35	1 13	4 38	2 178	14 179	0 177	5 15	17 144	15 90	13 95	9 100
3 193	19 157	14 15	16 192	2 103	11 140	0 179	15 2	12 186	9 35	1 3	4 40	13 178	6 159	17 10	18 107	8 139	5 120	10 51	7 81
17 27	15 10	12 13	2 117	1 131	0 138	5 161	6 200	7 111	4 182	3 56	9 18	8 42	18 130	13 164	16 16	14 141	19 79	10 141	11 115
8 115	15 52	9 72	14 143	2 46	0 37	18 97	13 96	12 25	19 58	5 5	16 109	7 97	17 116	1 66	10 119	3 180	4 182	11 18	6 143
18 199	2 24	1 196	0 71	17 87	4 42	13 165	10 174	9 1	16 5	5 200	19 118	3 125	7 141	15 189	14 172	6 4	11 134	8 73	12 85
1 67	11 150	13 83	6 149	5 35	19 117	17 73	14 65	16 41	12 83	2 48	7 41	10 100	3 96	9 50	8 88	0 148	15 190	4 180	18 32
18 78	0 168	7 59	11 99	14 181	13 184	17 182	12 35	9 96	5 29	19 111	4 118	3 152	6 8	1 176	2 94	10 145	15 3	8 32	16 14
7 49	8 72	14 154	5 17	1 16	0 66	6 38	9 140	15 126	2 14	16 32	3 36	13 40	18 69	10 77	12 128	11 111	17 95	4 190	19 26
15 40	3 44	17 146	1 115	8 113	11 137	18 18	9 161	13 182	2 83	7 175	12 30	19 180	5 142	4 100	16 161	6 199	14 128	10 196	0 153
8 183	17 90	10 74	7 70	5 20	15 81	13 49	1 102	9 19	19 132	3 176	2 176	18 135	16 159	6 150	14 33	11 105	4 90	0 71	12 62
17 74	1 63	11 31	0 119	10 183	14 67	2 198	19 160	4 35	5 130	3 174	7 7	15 40	13 74	18 32	9 66	16 52	6 29	12 107	8 5
0 138	2 136	15 130	1 37	10 98	4 147	5 195	14 154	7 91	13 116	8 51	11 176	16 114	18 197	12 125	17 103	9 163	19 117	3 112	6 54
12 190	3 66	7 14	10 156	13 171	0 179	17 177	2 8	1 91	19 13	18 33	16 154	5 10	15 110	9 62	4 163	11 101	8 53	6 62	14 185
4 91	13 99	1 200	8 46	6 65	7 197	12 73	10 149	2 41	19 132	9 162	14 162	0 21	17 154	5 97	15 180	18 46	11 185	16 96	3 82
1 39	0 151	12 84	9 180	14 49	8 163	6 150	7 77	16 143	17 28	3 184	2 48	5 142	11 25	19 121	18 27	10 1	15 98	13 87	4 38
3 45	2 105	6 44	12 35	17 24	0 40	11 23	9 185	7 179	4 157	13 136	16 87	18 95	8 13	14 40	10 190	19 141	15 56	5 199	1 164
19 84	10 199	3 48	4 183	11 119	12 137	0 188	1 102	18 47	13 74	15 86	14 180	8 172	16 93	17 5	5 31	7 111	6 65	9 80	2 60
