70	100
73 13	48 15	22 76	24 48	51 75	43 30	89 70	46 86	61 87	69 48	42 26	0 99	6 96	85 34	14 59	99 7	28 73	59 96	93 83	4 46	40 50	29 92	2 66	58 38	15 99	81 99	27 38	30 53	74 28	86 25	34 12	60 13	97 84	19 56	49 76	70 48	56 20	84 27	65 47	62 86	94 42	32 92	31 95	87 34	78 96	54 73	75 63	18 93	12 84	5 69	23 28	39 62	68 86	82 61	52 36	13 15	37 24	53 49	66 98	71 74	10 13	21 46	25 89	33 99	50 73	98 98	36 99	95 10	92 13	67 80	17 44	90 81	45 45	57 99	47 79	80 55	63 95	79 48	88 25	76 80	64 21	83 70	3 99	20 67	72 5	55 20	26 89	77 80	16 46	9 86	96 25	44 2	7 95	11 11	1 11	38 16	41 60	8 26	35 82	91 2
9 64	15 18	68 2	23 95	44 68	48 64	80 94	14 36	47 74	24 34	74 61	49 58	56 99	58 27	31 77	30 77	43 54	12 31	33 32	6 48	70 43	75 54	95 75	5 19	86 32	97 69	99 90	71 53	64 99	81 55	32 83	63 95	73 16	18 71	66 51	41 88	8 8	65 31	34 96	52 26	46 29	85 87	42 3	79 20	94 73	53 90	19 97	92 40	35 84	90 70	16 64	54 75	37 26	29 85	83 7	26 97	10 47	45 62	59 25	38 59	50 91	11 41	77 5	55 61	76 53	57 42	1 88	67 15	2 75	21 25	84 72	27 97	89 16	40 9	61 53	13 44	91 72	7 94	78 56	22 77	87 41	88 23	60 10	28 28	17 58	72 95	98 66	3 69	25 11	20 56	36 6	69 29	82 97	93 48	39 74	51 7	0 59	4 5	62 24	96 42
61 43	50 90	22 50	30 62	48 45	29 19	18 21	83 38	75 68	86 53	55 35	33 44	44 97	1 68	14 85	99 47	12 70	13 68	54 23	59 25	60 72	62 83	52 19	47 20	32 41	41 49	34 74	84 3	39 52	64 44	88 44	26 13	79 79	68 18	66 62	58 49	2 56	15 22	51 29	17 38	81 99	23 94	57 28	90 89	85 9	4 67	87 96	36 83	56 98	53 84	31 25	37 3	46 52	38 87	0 2	71 31	93 14	97 39	45 31	20 90	82 60	77 8	7 90	24 97	25 78	21 78	63 25	92 53	16 28	3 38	11 2	73 41	67 4	8 43	80 11	35 46	19 26	96 2	95 98	65 72	43 85	78 7	94 79	89 63	74 68	9 72	10 61	49 57	42 8	28 43	98 35	40 69	91 52	76 22	69 92	6 67	72 10	27 75	70 97	5 54
12 41	30 20	81 10	24 38	96 28	9 24	88 21	8 79	54 47	17 39	60 18	48 49	38 58	51 97	25 80	13 78	16 3	26 93	7 65	15 3	86 42	76 94	40 15	85 10	27 22	1 68	87 15	2 68	49 85	23 15	22 71	3 41	72 13	42 77	19 90	58 1	34 52	56 21	50 67	79 43	73 34	45 56	31 4	99 90	37 15	53 14	97 24	18 3	93 24	47 29	68 43	21 88	64 42	90 86	57 98	29 70	5 90	32 54	71 60	10 24	11 20	70 92	83 52	84 86	6 7	59 16	44 87	89 19	91 95	77 87	74 61	39 73	46 67	4 37	41 32	20 58	75 30	0 50	43 22	66 82	14 82	55 62	62 82	28 59	82 80	98 7	33 99	35 84	61 28	63 63	95 20	36 33	65 97	67 4	52 30	69 24	78 37	94 90	80 99	92 53
76 86	39 68	73 16	89 65	41 36	58 63	22 65	23 7	16 76	4 14	59 84	43 72	69 4	55 99	11 35	33 61	10 41	66 9	74 72	24 3	14 68	64 61	53 77	34 95	42 35	1 14	46 71	62 15	80 74	61 57	75 44	90 13	29 29	70 76	17 88	96 86	7 87	68 94	25 57	36 44	40 88	9 68	94 22	45 83	72 42	56 21	27 39	44 9	6 27	77 89	28 93	12 49	98 47	91 47	83 19	60 97	65 19	54 84	2 90	26 97	99 22	52 4	13 82	8 10	93 19	81 20	18 98	21 62	31 33	79 16	87 82	85 18	88 99	19 71	97 27	3 90	78 20	51 75	57 76	50 90	84 59	92 66	5 4	67 33	35 80	71 64	0 63	20 28	37 58	32 98	86 66	47 17	82 93	48 70	30 89	49 30	63 17	95 82	15 2	38 48
16 30	87 41	81 91	26 47	19 86	58 80	93 61	33 26	74 5	65 35	8 28	70 10	53 48	6 83	15 3	52 38	46 17	34 56	78 98	23 98	60 74	63 41	25 41	29 26	67 64	44 1	69 88	5 21	20 30	12 79	37 17	35 63	64 30	24 16	73 11	13 65	10 77	56 18	96 24	82 27	21 93	94 48	47 99	3 54	49 97	32 81	27 64	66 11	30 77	72 12	9 98	95 3	61 52	0 11	83 69	50 65	22 10	36 3	86 8	89 70	31 10	59 6	1 60	7 81	28 14	39 41	98 30	68 25	99 10	48 61	42 87	77 56	62 11	55 57	4 35	80 22	18 50	75 45	17 65	43 79	79 53	92 73	76 81	14 95	54 56	84 15	90 47	85 98	91 43	40 42	57 41	41 30	45 97	2 78	51 7	71 97	88 8	97 46	38 14	11 17
17 36	12 14	42 25	56 73	87 92	20 47	14 80	36 55	40 54	76 61	62 78	91 75	58 99	45 20	63 73	46 38	71 30	96 69	95 1	98 41	99 84	47 26	39 73	24 87	48 11	21 30	16 62	60 45	23 24	90 78	88 3	28 34	35 33	84 65	6 49	77 16	85 20	10 70	54 10	73 51	11 80	44 83	18 53	38 59	92 24	9 89	78 84	0 88	49 98	69 40	83 63	33 61	65 40	50 35	41 68	97 71	52 23	5 39	32 95	66 11	15 95	86 18	57 54	93 51	67 99	26 48	19 19	51 70	13 27	22 9	70 5	3 25	53 47	79 41	81 97	29 19	72 99	82 93	80 81	27 55	61 45	74 68	59 49	34 56	25 30	94 79	30 92	8 20	89 93	68 47	64 33	4 7	37 37	7 10	55 71	2 97	75 47	1 10	43 77	31 67
52 31	85 37	93 26	59 68	27 33	41 19	90 34	16 57	29 46	65 12	69 84	61 54	10 57	96 90	82 65	92 67	54 41	80 22	76 98	1 39	36 49	89 38	56 48	57 36	60 62	26 22	49 21	74 16	64 11	58 87	81 14	30 41	39 99	75 72	62 88	4 3	72 93	42 79	35 49	13 74	73 72	18 80	78 11	33 61	40 93	86 97	63 41	84 51	28 57	14 43	46 4	21 29	25 90	7 30	37 99	99 56	77 85	88 77	53 84	66 4	45 86	17 91	23 52	87 27	83 9	68 86	44 51	48 76	20 1	34 94	12 79	70 50	22 18	79 13	5 12	43 73	0 7	15 72	47 42	38 45	24 93	94 84	51 48	91 22	55 80	32 69	2 28	19 73	6 18	95 66	8 34	11 37	67 77	31 60	98 14	97 55	71 53	9 70	3 87	50 72
92 45	52 45	67 78	63 51	28 97	98 22	11 95	61 76	23 55	72 56	50 15	19 76	3 12	4 28	38 56	70 57	97 82	66 27	56 69	94 76	73 69	24 72	12 64	39 68	58 81	35 12	74 61	15 25	95 41	10 88	68 70	9 24	62 56	6 8	59 74	44 9	43 15	79 34	89 7	69 14	42 23	78 91	13 59	81 25	47 53	99 4	65 71	46 11	34 25	1 29	64 69	37 99	26 47	45 38	20 75	14 74	51 63	40 25	96 75	8 89	80 57	77 17	60 27	71 52	31 9	48 52	57 80	53 43	18 24	32 87	90 58	5 46	84 95	36 91	87 9	29 73	0 76	16 44	75 49	7 77	93 64	41 87	25 5	86 27	33 98	49 16	54 23	85 63	83 8	30 91	55 31	82 13	88 74	76 17	17 37	21 98	2 89	22 7	91 91	27 42
19 97	53 93	10 98	23 36	30 77	72 58	75 73	54 94	61 62	99 25	2 96	3 9	58 2	95 44	34 57	7 6	45 75	39 98	59 28	46 61	74 55	55 71	52 36	17 61	36 9	48 7	82 17	15 98	40 70	5 73	87 60	77 35	41 79	80 80	66 18	85 91	35 28	64 61	60 66	92 44	93 22	70 14	38 57	76 34	32 66	50 51	43 64	11 19	6 35	12 65	13 19	71 12	24 75	26 92	88 71	63 45	47 88	62 65	4 90	18 73	42 72	97 9	31 62	44 47	33 71	68 33	79 97	22 81	69 37	28 32	16 79	25 64	98 62	21 3	89 71	8 86	20 54	14 52	51 52	83 50	67 35	37 10	91 18	0 44	94 60	29 62	86 74	9 92	96 53	81 7	1 5	73 66	57 56	56 50	90 48	49 70	84 82	78 75	65 28	27 5
78 32	53 30	12 96	84 80	3 95	59 63	40 20	42 25	62 91	1 49	25 72	10 84	69 36	79 48	20 23	82 12	19 62	63 26	32 4	52 27	48 48	85 15	61 34	77 87	29 36	7 76	44 86	18 84	72 74	75 47	37 62	2 18	95 24	43 34	46 8	15 28	74 85	71 48	47 38	17 20	24 94	65 87	28 74	50 41	6 88	60 52	93 2	27 40	89 69	23 23	94 62	58 16	26 54	57 42	66 86	67 72	21 13	9 27	83 12	64 70	80 14	90 97	55 81	11 37	33 66	92 71	5 98	22 41	91 66	16 79	13 28	30 83	34 66	97 38	76 67	98 70	81 26	41 78	45 56	39 66	35 36	56 56	8 20	54 78	88 23	14 44	96 10	51 22	99 58	36 25	49 21	68 74	31 77	0 19	73 93	86 61	4 6	70 97	38 90	87 91
95 98	79 26	74 26	65 60	37 6	86 73	24 46	72 49	3 65	21 29	58 3	91 21	36 48	6 89	68 28	41 94	76 67	48 60	4 67	1 64	64 49	98 30	11 73	29 94	14 47	66 13	82 95	43 47	17 70	19 30	62 53	70 7	77 76	49 8	34 77	42 49	16 65	18 47	83 12	25 96	27 63	15 81	12 96	0 60	56 93	88 10	9 41	5 65	39 72	28 97	59 85	44 30	32 5	51 76	30 81	80 15	31 86	84 32	45 52	50 9	10 33	54 14	90 54	97 31	22 81	94 89	7 31	89 73	96 99	85 94	53 60	99 60	71 40	2 26	35 88	57 38	40 35	47 83	69 46	63 48	73 17	26 31	75 9	93 75	61 44	81 51	52 52	78 71	38 36	67 41	87 94	55 57	33 58	92 36	8 62	46 78	13 5	60 87	20 36	23 85
22 58	81 94	0 90	63 93	68 12	23 36	71 99	62 89	75 48	32 19	82 91	7 67	3 93	78 92	65 5	44 5	36 44	74 36	4 92	33 42	37 23	70 84	18 82	2 76	79 53	94 28	99 22	35 53	83 17	30 58	69 84	1 13	77 34	85 43	80 3	31 51	60 9	55 25	76 11	92 95	54 52	17 74	27 12	97 89	95 72	96 30	14 88	11 34	15 15	90 31	48 65	61 11	46 81	13 92	91 7	38 21	6 16	49 11	47 99	93 54	64 55	89 89	59 86	87 69	53 12	16 27	19 87	88 12	51 96	10 6	41 29	73 39	84 54	52 72	58 33	39 61	24 65	42 7	34 65	25 83	56 57	20 64	57 63	12 29	67 68	8 18	9 63	86 26	26 13	40 54	72 86	43 40	45 51	50 48	66 68	98 92	29 52	5 60	21 45	28 28
