80	5
1 42	2 155	4 173	3 176	0 1
1 77	2 174	0 137	4 195	3 76
2 2	0 41	3 3	4 184	1 106
1 125	2 119	0 62	4 7	3 30
1 171	4 46	3 45	0 78	2 161
4 116	3 127	1 185	0 121	2 34
2 173	0 150	1 8	3 93	4 118
0 193	1 83	4 169	2 86	3 139
2 87	0 148	4 25	1 6	3 125
3 191	2 40	4 127	1 56	0 107
0 23	2 123	1 11	3 198	4 11
0 116	2 146	1 110	4 137	3 49
4 126	0 157	2 35	3 39	1 62
1 57	2 80	3 63	4 132	0 177
4 153	0 158	3 112	1 120	2 40
0 148	4 145	3 155	2 102	1 36
0 9	2 48	4 195	1 49	3 97
0 93	3 34	2 45	4 140	1 64
2 143	0 181	4 175	3 98	1 78
3 139	1 71	4 175	0 118	2 118
0 197	1 18	4 2	2 104	3 176
1 62	4 107	3 96	2 128	0 122
3 81	0 7	4 153	2 135	1 124
3 145	4 117	2 64	1 44	0 77
2 178	1 68	0 15	4 113	3 48
0 110	2 85	4 148	3 131	1 143
3 89	0 41	1 72	2 32	4 2
3 86	2 9	4 102	0 72	1 31
0 62	2 151	1 168	3 140	4 71
1 86	2 139	0 188	4 198	3 118
2 182	0 158	4 161	3 58	1 79
4 114	1 192	2 60	3 69	0 81
4 148	3 39	0 37	2 98	1 21
0 45	4 100	1 36	2 44	3 199
4 84	2 126	0 146	3 45	1 191
0 167	1 159	3 184	4 44	2 13
0 165	4 113	2 67	3 130	1 27
1 169	4 125	0 48	3 112	2 56
0 93	2 143	4 164	1 121	3 162
1 85	2 93	4 195	3 129	0 8
4 53	3 183	2 88	0 84	1 195
2 196	3 38	1 38	4 78	0 42
2 183	3 5	0 64	1 135	4 184
4 6	2 195	1 18	0 87	3 122
0 198	3 60	1 44	4 6	2 42
2 181	1 143	4 39	3 134	0 16
1 196	2 118	4 134	3 151	0 26
2 6	1 148	3 106	0 179	4 18
0 158	3 27	2 85	4 24	1 175
1 3	3 118	2 52	4 190	0 90
2 196	3 123	0 71	4 8	1 173
1 63	2 118	4 45	0 171	3 98
4 171	2 181	3 91	1 159	0 59
1 175	4 109	0 50	2 83	3 102
3 107	2 196	4 54	0 173	1 52
1 140	0 94	4 95	2 54	3 170
0 70	2 78	1 117	4 18	3 71
1 24	0 37	2 62	4 99	3 114
0 16	2 175	1 115	3 158	4 134
4 19	3 11	2 1	1 172	0 81
2 156	3 55	4 46	1 54	0 157
0 143	3 89	1 157	4 88	2 126
2 6	1 197	0 108	3 88	4 136
2 162	0 88	3 101	1 85	4 30
3 21	4 199	2 99	0 73	1 130
4 59	2 157	1 155	0 29	3 120
1 175	2 176	3 112	4 175	0 17
0 91	1 83	4 74	2 89	3 141
2 171	4 44	0 50	1 96	3 42
1 110	4 137	3 104	0 185	2 109
1 58	0 199	4 198	3 159	2 62
4 115	1 191	2 163	0 66	3 28
1 131	4 87	0 36	3 38	2 108
3 119	0 97	4 96	1 193	2 62
2 17	1 107	3 7	0 165	4 148
4 192	3 44	1 198	2 121	0 36
2 17	1 168	3 124	0 3	4 47
4 200	1 161	0 39	3 90	2 118
2 52	4 5	3 124	1 44	0 60
1 38	2 94	3 98	0 159	4 80
