60	10
4 80	1 149	2 173	7 29	0 182	9 114	6 28	3 77	8 138	5 190
7 182	5 32	3 149	0 115	9 85	6 10	4 182	8 95	2 77	1 102
1 184	0 198	2 172	6 25	5 75	4 166	7 140	9 92	8 27	3 127
8 85	7 101	6 26	2 149	9 49	0 97	3 161	4 48	5 29	1 43
7 65	8 68	1 149	0 148	2 181	6 191	4 112	3 64	5 171	9 93
4 157	0 70	3 111	8 55	6 67	5 122	9 27	7 13	1 74	2 174
2 129	6 19	9 138	0 62	7 20	1 104	8 77	5 176	3 159	4 138
7 181	2 181	6 151	5 134	1 66	4 11	3 134	8 14	9 16	0 197
4 172	9 23	7 68	0 110	3 17	2 167	8 121	6 30	1 38	5 85
9 22	8 198	4 5	7 15	3 166	1 159	6 83	2 94	0 193	5 105
8 53	2 157	6 166	0 187	7 127	1 116	3 55	5 24	4 105	9 101
6 36	1 49	3 14	2 194	5 197	8 194	0 64	9 44	4 27	7 123
0 161	5 26	2 38	3 15	1 194	8 62	6 80	9 117	4 106	7 18
7 167	2 139	3 19	0 21	5 61	8 18	1 102	4 26	9 65	6 197
0 136	6 25	7 9	4 178	8 140	1 140	5 110	2 135	9 28	3 184
0 152	2 103	8 121	1 121	5 10	3 108	7 4	6 169	4 180	9 29
2 190	4 185	0 183	1 87	7 197	3 34	5 78	8 141	6 115	9 99
8 195	3 44	4 124	2 19	5 84	0 8	9 74	6 25	1 188	7 57
6 127	3 57	9 196	7 22	1 55	0 76	5 4	8 156	2 40	4 73
9 30	6 164	0 131	5 20	7 96	1 182	8 159	3 58	4 154	2 180
3 191	8 89	5 113	6 80	4 116	0 186	9 3	1 118	2 104	7 128
6 123	5 99	3 2	8 9	4 161	2 80	7 44	0 185	1 149	9 9
4 137	5 187	8 172	6 141	0 40	7 136	2 126	9 76	1 82	3 125
1 129	3 70	5 155	8 177	7 13	2 70	0 59	6 158	9 114	4 27
8 46	4 144	1 177	2 10	5 165	0 92	6 165	7 183	9 27	3 143
2 139	3 7	7 125	8 103	9 150	0 42	6 105	1 148	5 85	4 8
7 99	5 126	1 163	9 196	8 15	0 15	2 102	4 67	3 112	6 182
6 160	7 28	8 149	1 50	3 132	2 48	5 54	4 131	0 146	9 155
9 94	6 173	4 189	2 64	3 159	5 172	7 80	0 63	8 174	1 63
4 19	6 5	8 111	0 25	1 4	9 145	7 36	3 87	2 67	5 17
0 187	1 177	6 61	9 2	3 16	7 160	5 38	2 38	4 32	8 25
0 67	9 21	7 144	6 175	5 137	1 175	8 140	2 180	3 187	4 83
4 4	3 96	8 182	5 193	7 180	6 11	0 41	2 47	9 153	1 154
1 116	0 63	6 177	4 67	7 34	8 197	9 106	3 92	2 65	5 186
2 152	1 178	4 87	5 96	9 22	8 64	0 129	3 91	7 143	6 23
3 49	7 34	1 151	6 51	8 149	2 194	4 105	9 52	5 21	0 106
9 44	8 13	1 73	0 102	4 37	3 147	7 30	2 169	5 184	6 157
8 78	6 13	7 56	3 46	2 182	5 154	1 82	4 4	0 83	9 52
8 27	9 93	2 8	0 168	3 98	6 4	1 58	5 55	7 106	4 62
2 28	1 169	6 173	7 188	0 74	9 9	8 83	4 89	5 39	3 80
2 93	3 25	5 132	9 136	4 133	6 62	1 68	0 39	7 81	8 160
4 146	2 10	8 61	3 200	5 118	1 99	7 181	6 32	0 20	9 165
6 197	9 150	1 128	0 89	7 13	2 33	4 32	5 113	3 106	8 141
8 125	3 68	6 194	5 149	7 180	0 102	9 83	1 119	4 117	2 124
8 121	5 90	6 32	2 81	9 121	3 192	0 83	7 56	4 144	1 195
5 37	3 125	6 192	7 193	1 49	4 37	9 124	0 165	8 79	2 121
6 170	8 26	2 61	7 97	9 126	0 109	3 60	4 106	5 69	1 99
6 125	5 130	8 179	3 155	1 183	4 54	7 24	9 103	2 36	0 11
8 120	4 42	9 90	3 122	2 169	6 8	5 64	7 107	0 126	1 69
6 186	8 176	9 4	4 178	7 56	2 159	1 118	5 46	3 182	0 109
6 158	9 8	8 4	5 82	3 107	2 198	1 80	4 79	0 20	7 149
8 173	3 182	1 122	6 20	9 26	2 97	4 149	5 13	7 121	0 2
3 66	4 181	6 76	7 112	1 109	2 98	5 108	8 110	9 165	0 128
2 142	6 152	9 96	8 125	4 84	1 191	7 1	0 112	3 112	5 16
7 126	1 13	8 26	3 76	5 39	6 138	2 118	0 15	9 74	4 21
8 112	6 9	3 149	5 105	4 179	2 129	1 168	0 80	9 169	7 71
9 67	4 146	3 135	2 126	8 135	1 36	7 158	0 119	6 3	5 84
8 146	4 125	5 128	9 11	2 196	0 112	7 183	6 3	1 48	3 56
6 159	2 85	8 128	1 87	4 105	7 74	3 195	5 90	0 124	9 10
7 190	3 117	4 170	0 79	5 88	1 57	6 104	2 28	8 159	9 48
