80	15
0 77	14 24	5 30	8 95	1 36	13 24	12 69	9 61	3 33	7 44	6 36	11 36	2 7	10 90	4 18
11 69	13 58	14 13	3 55	1 74	5 1	12 58	7 26	9 2	2 89	4 28	10 18	8 25	6 35	0 50
11 69	14 51	9 34	3 21	1 68	0 73	10 69	8 20	5 12	12 23	2 6	7 80	13 47	4 82	6 73
7 24	9 70	1 75	12 3	5 61	11 90	2 68	4 83	3 27	8 12	0 90	6 95	10 76	13 69	14 83
9 26	4 34	6 37	3 78	13 68	12 36	8 87	5 61	10 3	2 33	11 29	14 40	1 78	7 66	0 99
12 95	4 52	14 58	9 5	5 33	13 90	2 95	1 40	0 41	11 44	3 40	6 10	10 75	8 64	7 56
8 36	6 54	9 39	5 87	11 92	14 49	2 74	7 93	4 97	1 48	13 85	0 35	12 28	10 3	3 3
2 87	6 17	12 44	8 84	7 24	3 25	10 95	14 42	13 36	5 80	9 23	4 49	0 44	11 98	1 66
13 16	2 18	0 87	10 84	12 2	14 89	6 51	5 22	1 8	4 31	3 74	7 98	11 38	8 20	9 33
5 96	11 96	7 20	2 1	12 41	8 49	13 72	3 9	6 90	4 93	0 39	14 22	9 62	1 86	10 56
3 33	12 22	11 78	10 32	2 96	5 72	7 92	0 59	8 6	4 19	6 35	13 43	14 56	1 38	9 19
9 3	8 79	5 32	3 36	12 62	4 47	2 61	10 45	1 73	6 61	0 17	11 34	7 71	13 3	14 73
10 89	11 74	4 38	12 38	8 37	0 77	14 56	1 41	13 9	5 23	7 63	3 11	6 4	2 75	9 13
11 1	9 25	1 68	0 7	2 9	8 23	3 44	13 24	7 12	5 31	6 38	14 25	12 13	10 62	4 21
5 5	6 77	9 49	4 73	14 97	2 69	0 52	7 92	8 62	13 71	10 81	3 12	11 7	1 59	12 32
6 35	12 60	0 13	1 69	7 76	2 20	10 59	8 67	3 66	13 24	11 7	14 38	9 93	5 49	4 73
2 8	9 82	3 5	5 57	7 85	12 33	14 64	6 13	8 12	13 46	0 71	11 20	4 40	10 53	1 97
2 48	0 33	11 38	1 41	9 55	3 65	7 40	13 64	10 97	8 3	12 13	5 12	6 51	4 11	14 56
10 69	7 14	8 44	4 42	2 64	11 16	9 41	3 95	14 45	6 40	13 98	12 52	0 38	5 17	1 74
9 43	13 4	11 4	14 12	5 81	2 53	1 16	7 98	8 53	6 69	0 7	4 16	10 75	12 80	3 81
6 69	0 68	14 3	8 79	11 81	10 77	12 79	2 27	7 96	1 48	3 62	4 88	5 31	13 14	9 87
8 71	5 63	2 80	0 81	1 54	12 42	6 93	14 3	3 44	10 52	9 40	11 55	13 19	7 80	4 35
12 6	4 98	10 21	5 56	0 40	7 11	6 31	9 1	14 75	1 54	2 10	13 53	3 18	8 46	11 84
5 16	3 62	13 17	8 14	6 52	2 49	12 83	14 58	1 18	7 9	10 64	4 29	11 80	9 70	0 57
11 46	5 90	10 55	13 58	2 4	8 78	7 61	6 87	12 48	14 7	3 47	1 72	0 86	9 21	4 24
7 77	11 16	4 66	9 17	6 7	13 3	8 37	5 41	10 15	14 44	12 17	0 95	1 90	3 9	2 38
6 35	4 57	1 3	0 93	14 84	5 76	3 43	9 41	11 80	12 73	8 39	2 82	7 23	10 28	13 52
11 50	7 28	1 60	5 40	6 84	13 98	10 79	12 32	2 58	0 58	4 92	14 68	3 75	8 56	9 60
11 30	4 53	10 93	14 83	6 67	8 27	9 44	0 84	7 68	1 57	5 92	2 59	13 95	12 74	3 58
4 32	7 27	14 33	1 73	6 63	13 95	8 78	3 27	12 2	2 11	5 92	0 66	9 26	10 59	11 69
4 50	0 30	6 35	2 27	8 84	10 93	1 52	14 73	11 83	9 47	13 46	3 87	12 91	7 57	5 76
12 17	2 38	3 57	11 29	7 40	9 94	4 29	1 66	10 20	8 12	14 86	13 35	5 82	6 20	0 5
6 41	7 20	2 5	14 42	8 56	11 41	12 17	9 28	3 79	10 92	5 79	1 4	0 84	4 79	13 19
10 58	11 38	13 24	12 91	4 57	7 50	2 93	1 52	6 43	8 60	0 52	14 87	3 89	9 95	5 45
1 2	8 47	9 54	13 56	11 28	4 19	14 54	10 94	5 54	7 5	12 90	0 14	6 62	3 54	2 66
10 36	5 97	1 27	14 61	7 56	4 50	11 42	13 94	6 77	0 14	2 42	12 58	8 45	9 14	3 75
11 81	5 4	9 29	14 45	2 74	10 28	7 17	4 28	8 15	3 52	12 44	13 44	0 63	1 78	6 47
5 81	14 38	7 67	3 94	9 62	1 76	10 16	11 53	12 17	2 65	6 95	13 7	0 99	4 51	8 15
0 18	10 77	1 35	13 48	14 49	9 11	7 14	12 5	5 74	2 34	8 51	11 17	4 96	3 43	6 31
9 15	1 23	12 57	14 22	6 42	3 18	8 21	0 97	4 38	10 35	7 66	11 18	5 94	13 61	2 7
12 9	0 54	9 2	7 64	11 88	5 81	2 88	8 60	3 97	14 66	13 40	6 44	10 50	4 64	1 62
5 86	12 15	6 41	7 26	3 41	0 64	11 14	4 24	13 99	14 71	1 95	10 74	8 14	2 70	9 24
1 11	5 68	3 69	11 3	0 80	14 59	8 93	2 99	6 83	9 70	10 37	7 70	4 13	13 67	12 11
10 11	1 63	0 8	3 44	8 8	5 73	14 85	11 7	9 13	7 19	13 9	6 13	12 14	2 93	4 24
7 97	5 24	10 4	0 10	2 23	13 57	6 12	3 5	12 83	4 79	9 61	1 91	14 6	8 28	11 50
5 69	9 40	0 87	13 7	14 51	8 83	1 67	4 7	12 7	10 26	3 60	11 67	7 27	6 65	2 86
1 93	11 33	3 60	14 84	10 15	12 77	4 33	8 29	7 50	0 90	5 65	2 72	6 28	9 94	13 18
6 31	11 96	7 74	14 55	9 32	12 16	2 87	0 69	3 44	13 86	8 74	1 78	4 30	10 5	5 8
10 27	13 19	11 56	8 73	4 65	2 54	12 63	7 40	6 88	3 82	1 22	14 21	9 84	0 48	5 30
7 37	1 86	10 8	8 96	2 89	9 85	5 57	12 5	0 36	4 77	14 52	11 11	13 30	3 12	6 78
9 99	11 10	12 2	4 30	8 16	0 30	13 98	5 41	2 52	3 66	1 14	14 9	7 88	6 23	10 76
4 21	6 72	7 56	14 31	3 55	9 57	13 92	11 50	2 55	8 68	10 4	1 71	0 15	12 79	5 61
1 78	13 16	0 97	6 42	4 33	10 58	3 11	12 9	2 85	7 23	11 33	14 76	8 31	9 85	5 60
8 39	3 31	10 27	2 88	1 99	4 50	6 76	13 41	5 21	9 84	12 97	0 71	7 14	11 49	14 94
3 56	7 60	6 78	1 75	2 83	14 82	5 53	4 86	8 3	12 8	11 48	13 47	9 51	0 87	10 46
13 27	0 29	11 54	6 98	5 24	1 55	2 3	3 10	14 31	10 93	8 36	12 82	7 28	4 91	9 39
10 42	13 51	6 53	5 63	2 58	8 92	3 80	9 39	7 2	11 91	14 91	12 32	4 22	1 67	0 7
10 34	11 94	14 70	7 38	8 52	1 69	4 63	3 21	2 23	0 11	6 12	13 8	5 28	12 49	9 50
13 9	11 49	8 90	9 43	7 45	2 44	14 76	5 16	1 31	3 23	10 29	4 28	12 4	0 88	6 76
5 89	8 86	13 33	4 91	10 21	6 38	0 23	7 58	14 16	1 81	2 82	9 46	11 32	12 26	3 19
5 56	14 8	3 72	2 78	9 81	1 21	10 81	6 93	7 92	12 30	11 55	0 90	13 17	8 69	4 5
1 88	8 14	3 79	10 44	13 11	7 90	14 6	4 9	12 83	6 80	9 64	5 93	11 46	0 15	2 12
10 6	13 48	5 84	8 21	11 17	6 19	9 3	14 40	3 31	4 74	2 93	1 42	0 52	7 94	12 26
9 32	12 64	4 16	13 95	7 50	2 75	6 44	0 78	8 24	10 67	3 40	1 75	11 78	5 26	14 82
7 2	6 53	13 35	0 50	10 28	14 30	9 99	3 76	8 60	1 32	2 97	4 50	12 12	11 32	5 91
2 52	3 9	1 13	4 47	8 42	6 52	5 66	9 77	14 81	7 2	11 12	0 78	13 8	10 48	12 42
3 69	6 2	8 16	13 27	9 68	4 56	11 87	5 51	14 76	7 33	12 72	2 11	0 75	10 76	1 44
2 22	3 23	10 6	13 56	6 61	1 3	0 45	5 34	4 50	7 78	8 7	9 51	14 41	11 72	12 21
9 89	12 46	2 29	4 30	10 26	13 87	1 95	11 54	5 39	7 91	14 19	8 2	6 12	3 92	0 13
9 19	0 80	7 76	2 86	3 61	12 69	5 94	14 61	4 50	8 87	11 7	10 86	1 49	13 11	6 17
14 72	10 78	9 2	4 35	7 17	2 72	3 32	6 12	0 52	5 17	11 35	1 61	13 35	8 78	12 80
9 92	11 7	14 1	3 58	1 20	12 42	6 59	4 86	10 41	2 99	5 30	8 39	7 25	0 34	13 71
8 7	11 43	2 86	1 21	3 15	9 88	13 44	6 94	10 24	7 83	4 73	12 95	0 87	5 34	14 89
12 29	6 77	9 64	8 9	2 74	4 63	0 75	1 82	3 96	10 51	5 74	14 77	11 9	7 62	13 60
12 26	6 56	5 41	13 52	11 24	2 2	10 55	7 35	1 87	14 72	8 56	3 8	0 4	9 83	4 41
1 12	10 50	7 32	6 77	11 28	5 9	14 8	0 23	3 71	8 93	9 94	13 64	12 99	4 60	2 99
6 75	5 18	11 35	1 68	14 30	2 70	8 43	12 14	13 8	3 3	9 90	7 46	10 64	0 63	4 28
7 23	1 94	14 51	11 32	2 62	3 70	9 57	10 38	13 49	6 71	5 49	12 40	4 76	8 55	0 24
8 19	1 37	4 53	7 60	0 20	10 31	11 26	6 19	13 52	12 17	2 61	9 62	5 72	3 80	14 6
9 10	14 30	5 24	4 98	6 54	8 93	7 5	10 92	2 90	11 57	3 10	0 17	13 16	1 20	12 44
