60	20
7 40	13 88	14 67	10 90	17 68	15 24	2 43	11 93	0 40	9 41	3 50	8 13	18 8	4 2	6 98	19 12	16 30	12 2	5 66	1 29
12 64	6 77	1 68	0 98	5 73	3 20	7 72	4 22	8 2	2 28	15 25	18 22	9 57	10 73	14 7	11 57	13 8	19 81	16 49	17 66
10 37	3 93	0 66	5 20	13 38	9 12	1 41	12 59	15 41	7 86	18 8	11 33	16 48	19 16	2 60	8 60	4 46	17 67	6 44	14 25
7 26	8 99	14 56	15 49	3 32	4 67	9 77	5 65	12 43	18 12	19 53	1 79	6 57	17 12	0 4	13 87	16 43	11 39	10 81	2 10
7 34	0 72	2 47	9 34	19 29	6 17	17 20	1 29	16 22	5 24	18 8	8 8	4 45	3 41	14 35	13 63	11 22	10 24	12 60	15 3
11 72	17 51	14 17	4 23	16 81	15 86	0 25	12 66	8 25	1 66	10 66	13 4	5 20	7 54	18 23	9 71	6 93	3 16	19 7	2 74
6 17	17 87	0 63	14 84	9 47	16 40	13 97	1 36	19 3	5 33	3 38	4 94	2 41	10 85	12 78	18 96	7 93	11 20	8 50	15 22
18 76	3 58	15 12	2 3	13 58	12 68	6 36	8 90	16 7	1 11	4 93	9 27	5 31	14 61	0 75	10 49	11 34	7 42	17 36	19 39
4 45	5 13	15 52	16 89	2 90	6 73	3 47	18 96	17 38	9 95	1 68	11 24	0 92	13 57	8 84	10 71	14 41	19 66	7 4	12 72
5 6	13 41	15 48	9 97	4 46	12 67	3 77	11 86	16 17	10 78	14 23	0 39	8 46	6 16	2 68	17 53	7 18	18 20	1 98	19 89
10 34	0 12	1 96	14 41	19 7	8 6	9 64	4 70	7 13	5 86	2 13	17 49	3 6	15 21	12 65	13 61	6 74	18 33	16 78	11 6
10 95	15 42	4 42	13 97	14 51	6 38	16 37	12 1	18 17	5 98	11 35	1 61	3 54	7 23	2 67	17 73	9 59	0 82	19 66	8 43
19 47	10 74	0 53	7 54	9 94	4 16	16 70	17 48	13 45	18 89	12 17	2 51	5 16	3 54	8 27	1 79	11 43	15 22	14 60	6 35
17 79	13 62	0 20	2 53	12 43	7 87	1 77	5 4	15 48	14 37	6 7	11 92	18 62	3 43	19 9	4 72	10 77	8 72	16 55	9 99
5 10	13 7	15 40	8 9	9 7	6 79	0 97	3 46	14 13	16 26	4 53	7 7	10 64	17 12	1 59	2 99	19 10	11 32	18 9	12 96
16 10	9 86	15 54	7 45	19 59	14 6	8 11	2 94	13 52	6 72	10 51	12 59	4 19	5 79	3 75	18 77	11 55	17 18	0 92	1 44
15 40	14 30	17 4	10 9	16 95	3 49	11 99	9 58	18 15	7 53	19 56	0 13	8 44	12 57	13 26	5 26	1 74	6 84	4 76	2 86
15 39	6 93	19 74	17 47	0 2	10 91	3 15	14 23	4 26	11 71	2 50	7 23	9 59	16 5	1 11	13 98	5 89	8 79	12 43	18 46
5 9	15 91	19 80	1 20	13 61	8 91	6 87	10 56	3 78	14 32	4 57	2 36	7 58	0 66	11 84	9 50	17 32	16 44	12 62	18 12
7 35	5 85	15 80	0 35	3 62	6 18	8 42	18 82	10 18	9 83	17 17	12 11	16 19	19 5	1 80	2 99	11 3	13 60	4 72	14 14
1 2	7 40	16 75	4 42	2 13	9 84	19 1	14 57	15 48	13 96	6 14	5 90	17 60	11 31	10 26	0 92	12 26	8 55	3 54	18 90
10 19	6 1	16 74	3 37	13 33	17 97	11 78	5 71	8 87	9 93	14 8	18 8	0 16	19 38	7 93	1 99	4 14	12 54	2 87	15 25
10 55	2 56	0 50	14 46	8 94	16 75	12 29	7 25	19 58	17 75	9 99	1 88	5 75	4 67	13 25	6 49	15 31	11 25	18 37	3 50
2 94	11 43	9 89	19 82	4 81	7 45	3 26	1 40	8 77	17 84	16 40	6 61	14 19	10 19	5 25	13 56	12 27	0 38	15 37	18 79
14 72	9 89	19 26	16 70	5 88	6 4	15 22	2 53	7 97	0 21	10 79	11 69	12 63	18 22	3 38	1 80	17 59	4 64	8 73	13 72
11 19	3 92	8 78	18 86	10 52	14 81	13 29	12 66	6 99	17 94	1 28	5 31	19 54	15 54	16 77	7 26	0 34	2 49	9 58	4 52
11 49	18 2	19 13	4 78	13 33	9 94	12 77	0 82	7 47	2 16	14 52	3 90	17 97	5 26	6 74	15 79	10 14	8 26	1 20	16 76
4 91	10 74	5 83	6 20	12 24	8 27	11 84	9 72	7 35	3 3	13 47	1 44	15 1	0 31	18 73	19 88	2 44	14 50	16 52	17 78
13 2	5 26	6 90	14 58	0 19	3 1	2 90	19 19	1 28	11 66	18 74	15 47	8 46	7 26	16 41	9 32	12 37	17 49	4 17	10 37
15 12	16 59	12 90	18 88	14 97	8 20	0 3	6 27	1 40	2 68	3 19	10 67	5 6	4 5	13 57	19 72	11 59	7 40	17 12	9 41
19 78	17 92	2 78	6 49	5 20	16 23	0 42	10 84	12 66	18 46	3 40	7 22	9 88	11 54	14 35	4 12	15 35	8 58	1 57	13 32
18 22	3 31	6 33	12 4	2 87	10 92	5 80	0 42	19 14	13 63	16 64	11 79	14 25	7 22	8 50	15 64	9 43	1 32	17 81	4 89
7 63	12 83	19 84	0 4	6 81	9 69	5 60	11 47	17 96	16 89	15 42	18 63	8 41	13 33	3 52	1 15	2 61	4 81	10 59	14 72
3 23	0 18	17 42	12 96	4 33	1 87	2 28	8 29	5 57	7 13	14 67	10 5	9 62	15 61	16 53	6 66	18 13	19 37	11 67	13 57
14 53	12 90	2 59	16 29	18 54	15 94	5 39	17 35	19 21	6 24	8 14	4 3	10 41	11 2	13 1	3 71	9 2	1 94	0 27	7 1
11 65	1 79	0 65	14 20	3 79	2 4	17 34	18 17	19 91	7 77	4 33	13 52	9 14	12 86	8 61	5 65	15 67	16 54	10 57	6 17
3 91	0 47	7 34	11 50	18 77	15 74	2 23	9 10	6 24	10 82	16 53	13 73	8 53	5 29	14 56	19 50	12 70	4 26	17 82	1 84
12 25	17 17	9 21	5 86	4 56	2 33	0 29	7 86	3 58	1 8	15 29	16 23	8 71	19 96	18 10	10 87	11 99	13 83	14 79	6 20
1 94	6 5	8 48	2 10	15 4	14 17	19 87	11 70	0 58	3 64	13 31	4 75	18 80	16 79	17 57	9 37	5 66	7 58	10 41	12 72
15 82	16 43	3 83	18 76	10 14	7 14	13 6	6 50	11 62	19 90	9 88	0 5	8 44	14 71	12 21	4 46	1 58	2 5	5 56	17 4
4 64	9 63	3 16	2 34	11 34	5 53	16 29	0 26	12 87	15 30	19 60	17 58	14 82	13 3	8 91	10 45	18 84	7 52	1 17	6 70
12 66	4 6	6 2	3 37	13 65	2 25	8 35	11 51	15 48	9 58	16 75	5 69	10 64	7 20	18 81	0 23	17 34	14 53	1 76	19 62
0 39	18 53	9 57	6 57	3 84	15 3	4 92	1 29	16 35	12 1	5 73	7 84	11 21	19 97	8 66	10 54	14 73	2 57	17 92	13 92
9 94	14 3	10 23	5 88	16 15	17 86	7 35	8 81	13 92	15 6	2 32	12 78	19 52	11 46	18 12	0 16	3 42	1 62	4 77	6 69
16 93	6 19	1 8	2 45	4 61	5 68	0 6	10 35	13 20	12 51	19 47	15 16	8 34	14 85	17 68	11 34	18 33	3 78	7 45	9 26
1 13	16 84	4 9	19 62	0 65	17 69	5 20	18 92	3 27	6 14	7 45	10 87	12 38	8 30	14 6	15 31	11 4	2 33	13 81	9 28
10 55	5 38	1 56	0 4	2 2	15 98	8 17	6 52	13 80	17 72	11 10	9 54	4 29	14 89	18 20	12 61	16 8	7 85	19 86	3 1
14 82	1 52	3 32	8 50	9 10	2 94	0 5	12 17	13 60	4 31	7 14	16 88	18 99	10 45	17 17	11 87	15 59	6 98	5 32	19 43
6 22	8 36	14 82	1 13	0 48	12 69	13 31	10 83	7 94	16 11	9 53	18 2	15 29	11 45	2 79	17 2	19 80	5 67	3 21	4 52
3 20	10 47	13 93	14 57	15 90	9 44	17 2	19 75	16 67	6 81	12 63	18 9	11 1	8 33	7 60	5 63	0 17	2 29	4 9	1 39
7 41	16 5	4 63	10 8	13 3	0 49	3 33	11 68	19 16	6 60	5 48	17 3	1 92	8 10	15 27	18 78	2 46	12 15	14 40	9 34
