40	20
12 81	19 145	6 182	5 109	1 36	17 122	16 20	14 83	2 72	15 83	8 165	4 14	7 184	11 83	10 36	13 197	0 58	3 127	18 180	9 58
17 25	11 35	14 179	9 162	10 14	13 110	12 147	15 61	18 180	19 43	8 110	7 122	1 33	4 156	6 11	3 11	2 166	16 166	5 173	0 171
3 11	14 101	9 126	13 40	0 126	5 184	15 85	16 65	2 143	1 184	7 168	17 139	11 132	18 91	6 111	19 101	12 68	10 70	4 141	8 48
11 77	2 24	5 43	6 126	17 45	10 4	4 61	0 136	1 186	12 179	14 17	8 25	3 17	13 30	16 94	15 3	9 39	7 185	18 19	19 97
16 103	7 156	18 51	1 30	3 19	2 135	8 93	9 30	12 15	4 61	13 105	17 76	10 185	6 54	5 2	15 83	19 50	0 200	14 106	11 163
4 35	8 133	14 33	17 99	16 91	10 139	13 31	7 6	18 33	12 113	0 79	19 27	6 107	1 46	15 39	11 25	2 36	3 58	5 11	9 47
11 192	10 101	5 152	19 195	16 7	1 49	14 14	6 135	4 63	15 64	12 199	8 176	9 123	3 170	13 54	7 85	2 26	17 47	0 167	18 136
6 180	5 11	16 93	13 72	17 46	3 91	19 174	0 88	7 14	18 105	1 125	2 78	9 52	8 137	10 150	12 85	14 108	15 101	4 163	11 15
4 26	14 80	19 78	15 193	6 120	0 172	18 183	5 194	8 61	13 126	10 99	7 82	16 51	3 61	12 169	17 163	2 67	11 155	9 131	1 121
10 17	6 34	12 112	9 1	0 3	13 46	15 151	19 150	1 135	17 94	7 140	18 19	5 197	14 190	3 17	11 24	4 190	8 80	16 135	2 141
9 153	13 19	8 170	2 105	10 184	3 119	17 134	6 159	5 70	1 197	18 161	11 124	12 72	16 61	19 169	0 151	14 77	4 75	7 36	15 196
18 6	2 128	3 168	9 24	6 79	1 160	11 21	19 167	5 27	7 200	10 151	16 92	15 89	17 131	12 152	14 144	13 118	0 78	4 44	8 128
13 94	8 193	5 116	15 86	3 44	16 166	9 147	19 141	1 158	17 12	14 156	6 186	0 195	4 85	11 123	2 55	18 71	12 71	10 8	7 9
17 115	14 111	1 139	0 6	3 100	4 18	7 153	15 191	13 76	2 193	9 104	6 77	10 199	16 53	8 145	12 2	18 168	11 64	5 177	19 36
13 29	19 108	3 119	10 104	1 88	7 143	2 183	0 154	5 94	8 42	16 3	12 125	6 47	15 38	17 156	9 53	11 196	14 35	4 156	18 134
12 65	13 127	6 42	7 12	19 178	2 178	11 57	16 19	3 85	14 197	18 177	5 8	17 185	4 134	1 57	15 198	0 33	9 13	10 141	8 25
19 28	5 26	14 155	0 181	11 147	10 14	8 66	12 175	3 46	4 94	16 74	6 56	9 38	13 63	7 12	15 72	1 110	18 100	17 10	2 172
17 150	2 108	14 166	9 53	8 108	11 38	10 136	19 195	18 91	12 147	1 116	4 90	6 77	0 10	3 56	7 120	13 81	15 61	5 176	16 174
1 160	18 129	17 152	4 85	15 111	14 114	7 184	9 101	3 26	16 68	12 105	6 185	8 13	0 7	2 153	11 118	10 189	19 194	5 185	13 148
12 135	3 116	4 177	14 26	6 182	17 118	2 37	13 74	1 128	18 59	0 38	5 130	11 103	10 25	7 88	15 22	8 134	16 14	9 86	19 54
5 25	6 136	0 104	8 36	9 117	17 139	12 74	16 198	3 22	1 160	2 25	13 183	15 146	14 11	10 10	11 83	7 90	18 20	19 41	4 145
15 6	11 78	10 75	17 166	14 46	18 152	16 169	1 191	6 176	8 104	9 26	5 60	13 196	7 189	3 65	0 97	4 117	12 49	19 127	2 17
13 33	7 34	8 195	16 165	18 31	12 117	6 95	5 107	14 65	3 39	1 101	9 118	19 44	4 39	15 118	2 19	10 93	11 108	17 124	0 89
8 48	16 103	4 131	15 15	9 178	18 75	6 172	14 34	5 21	3 5	11 115	13 21	17 113	2 48	7 9	10 111	19 200	12 187	1 175	0 39
7 186	10 71	9 134	18 185	4 15	13 168	12 124	8 139	0 58	14 174	6 138	19 62	11 155	3 18	17 79	16 89	1 132	15 105	5 174	2 27
3 43	6 64	18 179	14 150	19 137	13 21	11 189	0 58	16 108	12 116	9 1	10 83	4 70	5 200	2 80	15 26	1 98	7 178	8 87	17 116
8 115	7 63	4 41	0 126	12 112	1 11	3 96	5 111	6 135	9 116	13 60	16 93	15 171	10 21	19 95	18 153	11 11	2 166	14 68	17 147
12 166	11 77	18 125	6 89	7 16	2 152	15 150	9 148	4 93	3 103	8 29	1 171	0 71	16 160	5 25	19 21	10 7	14 106	17 88	13 56
5 131	1 20	11 170	14 31	6 128	7 78	13 88	10 106	4 140	0 169	17 12	8 35	12 5	3 34	16 155	9 115	18 44	2 78	15 57	19 145
16 84	10 182	12 16	19 166	9 18	15 131	18 116	7 53	3 40	8 132	4 138	1 24	17 191	2 70	5 158	6 65	13 80	0 30	14 186	11 47
