15	10
7 132	6 88	1 165	5 89	2 161	4 70	0 158	8 92	9 161	3 163
3 99	8 173	2 131	5 173	7 40	9 75	0 6	6 186	1 5	4 76
4 62	6 49	8 43	9 98	5 174	2 44	0 155	7 47	3 106	1 159
4 60	8 125	6 185	3 30	0 168	1 193	9 38	5 161	2 85	7 93
0 13	1 82	3 61	5 181	4 162	7 109	2 108	6 187	9 46	8 122
1 158	9 136	8 85	7 128	2 108	6 56	4 40	0 69	3 85	5 120
1 85	6 120	9 171	2 57	3 4	4 173	8 70	7 14	0 160	5 137
5 77	3 142	4 134	1 194	6 55	8 183	2 54	0 68	7 40	9 148
2 80	6 180	1 126	0 126	4 165	5 102	9 92	7 169	8 128	3 99
5 162	3 111	6 89	0 19	8 58	4 186	9 21	7 181	1 180	2 100
4 142	0 165	1 77	7 147	9 99	2 44	6 191	5 64	8 124	3 131
7 149	9 126	5 120	3 151	6 51	1 37	0 117	4 19	2 99	8 117
2 147	9 36	6 153	1 98	4 117	5 115	8 11	7 42	3 194	0 109
4 140	2 2	9 123	0 56	8 73	6 29	7 82	5 169	3 160	1 22
6 175	4 185	7 199	9 152	2 133	3 106	5 161	1 11	8 106	0 151
