70	20
19 82	17 66	6 46	5 58	14 71	3 91	2 33	7 14	9 40	10 11	8 86	15 95	0 32	13 59	18 45	4 16	16 33	11 20	1 61	12 92
6 89	17 51	0 19	16 70	4 3	11 16	13 26	7 44	5 23	18 79	12 61	2 11	1 33	10 60	14 94	8 90	15 33	3 94	9 63	19 56
14 94	5 58	15 12	10 66	1 14	18 78	8 83	0 26	9 15	13 75	4 41	12 44	17 37	11 29	19 31	16 64	7 36	2 8	3 64	6 15
11 79	19 96	8 96	2 49	9 32	14 66	10 92	12 35	0 98	7 97	4 99	3 20	1 70	5 74	18 17	6 41	17 27	16 1	13 63	15 12
8 5	0 88	13 53	11 73	12 2	6 65	17 50	2 34	4 16	5 99	7 26	15 50	19 15	16 25	9 15	14 86	10 66	18 43	3 98	1 51
9 19	1 91	11 76	12 44	19 63	16 28	18 9	17 84	14 43	8 50	5 36	13 39	6 8	0 20	2 4	4 42	3 89	10 29	15 97	7 95
17 55	14 80	15 48	13 33	11 90	9 74	12 41	2 49	8 62	3 68	4 92	5 21	7 9	19 29	0 76	16 32	18 95	10 78	1 33	6 37
17 71	13 59	18 64	5 72	16 99	9 8	7 13	19 97	6 86	11 31	4 30	15 90	0 29	3 51	1 32	2 47	14 46	10 77	12 77	8 44
3 4	11 3	15 64	17 78	5 4	14 94	0 90	4 59	1 40	16 85	18 92	7 33	6 89	9 22	2 42	12 42	19 17	13 23	8 91	10 80
11 89	5 43	4 45	0 68	8 83	10 53	14 22	7 90	13 96	3 98	16 93	9 10	18 8	19 61	2 48	6 94	17 89	12 88	15 1	1 91
12 68	0 84	3 40	6 84	16 41	5 48	9 66	13 66	7 52	11 94	4 18	14 11	1 43	10 73	18 26	8 40	17 48	19 86	15 27	2 36
14 40	7 36	16 80	6 57	1 62	3 11	0 76	17 52	10 69	9 11	19 47	8 28	15 24	5 66	2 11	11 50	12 87	4 35	18 26	13 49
16 89	8 45	14 6	4 44	17 75	11 40	2 60	13 96	19 1	18 3	10 15	12 61	1 98	7 76	3 79	15 50	9 38	6 34	5 59	0 28
6 42	19 47	11 80	7 2	13 4	1 29	18 68	3 7	8 44	5 90	16 92	4 2	10 88	17 8	15 34	14 8	9 18	12 31	0 38	2 54
1 80	14 14	5 17	13 9	9 80	18 77	10 65	15 16	17 6	8 52	6 60	0 85	7 24	19 67	3 41	11 93	12 99	4 16	16 9	2 85
8 91	10 18	5 48	16 40	11 56	3 90	6 27	19 47	1 86	14 98	0 66	2 10	17 73	12 56	13 46	9 73	4 70	15 77	7 84	18 1
19 81	4 93	5 65	7 73	10 28	11 72	14 33	2 21	15 95	6 66	9 14	16 1	1 95	8 90	18 36	0 26	12 73	3 1	13 43	17 98
8 12	19 94	3 99	14 54	7 57	0 25	4 99	9 88	16 83	6 37	15 38	2 34	10 35	1 87	12 82	17 68	13 64	11 65	18 35	5 17
16 47	2 10	15 6	7 74	5 29	3 34	4 57	18 70	13 52	8 47	9 17	12 29	17 98	19 6	10 8	11 86	0 57	1 84	14 87	6 79
14 63	19 50	1 3	11 55	0 90	12 32	6 93	18 88	10 89	4 57	5 63	17 80	7 45	15 11	13 41	9 80	16 70	8 73	2 2	3 49
3 36	19 11	1 66	0 59	4 78	17 1	15 77	10 73	13 63	7 58	2 66	12 35	8 25	6 49	14 96	5 7	16 10	11 12	9 76	18 14
2 49	18 69	1 61	5 89	9 11	16 28	4 58	15 36	19 23	6 77	12 54	11 4	10 43	7 13	0 46	14 40	8 42	13 53	3 15	17 37
11 62	15 54	9 54	0 19	13 25	17 62	4 24	18 81	3 22	5 13	16 74	8 85	19 25	7 19	1 54	6 36	10 89	12 52	2 60	14 43
16 41	0 91	1 27	18 46	12 9	8 61	17 23	5 95	14 97	11 76	2 59	13 42	7 71	15 12	10 27	4 1	9 18	3 50	6 5	19 36
15 37	16 82	5 20	2 8	10 42	3 41	11 81	7 83	18 32	19 61	0 99	8 45	17 97	12 28	6 75	4 20	13 80	14 77	1 75	9 78
7 99	5 55	8 29	11 56	10 68	6 59	3 28	13 54	2 48	0 4	15 55	12 68	14 9	17 91	19 56	4 5	16 88	9 33	1 89	18 80
13 9	3 41	5 44	14 57	16 91	1 45	8 98	10 50	7 81	0 41	11 82	19 29	15 13	17 57	4 42	18 2	6 85	9 88	2 82	12 30
16 72	4 91	6 56	9 22	1 85	18 86	17 91	11 83	13 36	0 69	3 41	15 76	19 58	8 33	10 3	7 30	2 89	5 69	14 39	12 13
0 57	14 50	1 53	9 34	11 88	19 90	8 28	16 55	5 34	7 60	2 53	10 89	15 7	6 85	18 27	3 63	12 59	17 39	13 3	4 14
4 46	2 38	12 20	9 24	15 34	5 55	18 66	3 32	0 84	14 54	10 75	6 4	8 52	13 73	19 76	16 22	11 79	7 85	17 15	1 2
3 30	19 41	14 10	2 80	13 93	10 54	11 80	12 79	17 89	18 91	5 17	15 45	1 95	8 47	16 66	6 22	9 83	0 6	4 32	7 17
4 47	0 71	5 58	9 8	14 50	19 35	1 58	16 20	18 11	11 91	10 72	15 99	3 14	6 5	13 54	2 21	12 23	17 69	8 64	7 75
9 30	0 63	8 4	6 55	15 45	1 14	16 3	14 34	2 28	3 23	17 6	10 98	12 91	11 93	18 73	4 18	19 39	7 8	5 93	13 66
2 46	7 27	14 97	16 2	9 37	18 35	17 85	5 81	1 37	8 72	6 43	0 55	13 45	11 74	10 91	4 50	15 79	19 7	12 69	3 41
13 21	6 1	3 40	17 43	18 89	19 64	7 3	2 72	8 86	5 12	11 28	0 72	12 49	1 40	15 17	4 7	10 41	14 19	16 55	9 70
2 62	11 56	12 31	15 76	13 66	3 49	0 11	18 6	10 15	7 27	17 84	5 92	6 8	8 49	16 93	19 29	14 6	1 87	9 87	4 66
17 28	15 96	5 31	19 89	1 95	11 14	10 43	13 73	9 22	4 38	0 90	3 81	2 78	18 97	12 11	14 59	8 80	7 86	16 94	6 14
6 82	7 8	12 66	3 94	17 75	2 53	10 24	14 4	1 4	19 4	15 14	11 15	13 12	0 56	4 45	18 64	8 64	16 90	5 92	9 91
4 69	19 97	9 11	15 19	18 27	12 38	16 84	10 63	1 49	17 4	7 23	2 66	11 66	13 25	14 31	5 94	6 97	3 19	0 50	8 83
11 1	2 98	19 43	18 12	8 31	6 11	5 72	16 97	14 90	17 74	3 79	10 23	15 36	4 34	0 11	9 47	12 15	1 56	7 92	13 32
15 24	16 36	10 41	5 28	4 24	13 10	14 50	8 67	6 32	0 91	9 74	19 12	7 14	18 31	17 36	11 91	3 32	2 36	12 79	1 23
6 53	18 83	3 43	16 59	19 69	8 13	14 65	0 82	7 62	9 18	17 45	13 95	10 95	12 16	5 34	2 59	4 63	1 52	15 61	11 49
8 74	12 15	15 91	2 55	14 22	11 66	10 35	6 77	1 90	7 97	0 83	5 44	13 57	19 3	16 8	17 54	9 94	4 20	3 97	18 16
10 89	7 53	13 70	9 60	16 19	3 52	11 28	12 52	2 85	18 19	8 96	17 25	6 38	15 31	0 27	5 79	19 12	1 76	14 90	4 46
12 72	1 40	14 78	16 17	7 58	13 7	3 6	10 86	17 54	5 27	18 23	9 54	15 50	0 67	8 43	4 50	19 14	2 52	6 36	11 56
6 97	15 89	4 46	5 7	2 95	1 78	12 13	13 69	10 50	18 20	17 84	3 76	7 24	11 69	8 80	0 1	16 38	14 92	19 62	9 91
1 36	11 86	6 35	14 11	13 29	8 80	5 93	12 59	7 89	4 93	18 66	10 14	19 55	15 53	3 33	17 29	16 16	2 55	0 18	9 33
19 13	0 73	5 5	18 66	8 19	1 44	13 82	4 97	16 23	11 35	15 91	2 39	6 47	14 9	17 92	10 71	9 93	3 58	7 45	12 39
17 57	10 1	7 47	18 59	0 92	2 90	6 1	1 74	19 47	15 19	11 73	5 61	8 71	9 98	14 57	4 38	12 30	3 97	13 93	16 60
8 96	4 24	1 61	18 99	2 58	5 56	16 58	9 58	14 70	12 66	13 37	19 86	7 67	0 63	6 28	3 9	17 46	10 7	11 83	15 13
0 45	5 63	14 90	7 54	2 69	11 17	18 16	19 36	16 18	13 46	15 52	3 48	12 45	17 36	8 73	4 62	10 89	9 51	1 79	6 27
4 30	18 14	1 9	13 64	10 59	19 65	7 70	8 85	16 7	5 48	12 53	2 27	15 45	6 8	14 44	17 18	0 50	9 32	3 45	11 30
8 88	2 23	1 40	14 76	6 79	4 84	7 77	0 92	9 5	17 71	19 73	11 57	10 95	13 48	5 47	12 10	3 58	18 96	16 41	15 89
18 23	4 76	3 68	7 1	6 88	0 18	5 18	19 98	11 27	13 10	8 77	16 41	14 28	15 83	17 83	9 55	1 74	2 82	10 53	12 90
7 49	10 66	9 38	11 53	4 72	14 36	1 93	3 12	6 16	18 97	17 84	13 89	2 28	0 32	5 26	15 28	16 83	8 99	12 47	19 3
2 8	13 37	1 76	16 37	15 65	6 10	8 17	4 85	3 74	18 13	10 88	19 26	9 8	0 86	17 65	5 61	14 13	12 90	11 6	7 42
15 83	0 7	12 49	1 17	8 42	3 66	19 36	14 46	18 25	16 55	17 98	5 21	13 40	4 69	11 45	10 62	9 33	6 63	7 12	2 91
14 18	1 97	18 6	4 29	13 50	3 87	17 27	2 13	9 67	11 65	12 66	10 25	19 97	6 15	8 45	7 4	5 67	16 96	15 7	0 76
4 97	13 94	5 48	3 47	0 88	9 66	10 32	16 19	7 28	1 18	8 89	12 2	6 21	14 52	11 36	18 89	2 33	17 51	15 86	19 53
2 27	19 82	15 9	0 42	11 71	10 60	14 7	9 94	8 78	7 85	12 93	6 16	3 27	16 82	4 24	18 49	1 96	13 77	5 46	17 67
