50	20
1 57	14 160	2 134	12 130	7 96	16 134	15 146	5 16	11 35	8 50	18 147	17 80	0 59	3 9	19 38	4 150	9 151	10 14	6 48	13 152
9 17	14 46	12 15	6 160	3 63	5 140	16 7	18 86	0 46	7 60	11 70	8 64	2 64	4 18	17 168	13 132	10 106	1 28	19 20	15 137
4 171	18 104	14 191	19 125	2 197	17 152	6 157	11 155	7 100	3 105	13 15	16 4	8 16	9 73	12 123	5 73	1 176	10 125	0 185	15 72
16 125	17 35	19 190	5 4	9 92	0 52	13 140	18 128	10 46	12 139	7 186	11 33	2 108	4 89	15 20	1 161	14 107	3 25	8 17	6 165
17 19	4 179	19 138	0 121	10 21	16 105	2 88	18 170	5 108	7 37	14 3	13 165	6 72	1 25	15 39	8 89	3 55	9 11	11 15	12 124
12 144	15 174	14 148	6 57	9 16	10 135	7 20	8 179	17 138	2 98	19 185	3 66	11 163	18 53	1 159	0 79	16 169	13 97	4 165	5 156
17 181	16 12	0 177	6 161	18 42	7 152	9 99	15 54	4 186	5 141	1 79	2 7	11 158	14 100	12 70	13 92	3 13	19 9	10 41	8 193
4 36	12 64	7 132	10 43	8 6	9 181	16 198	2 184	3 143	17 106	14 57	13 1	18 61	15 77	0 116	1 35	5 6	6 50	11 43	19 54
4 134	5 189	8 146	1 76	14 135	13 76	17 41	0 46	7 164	6 75	18 121	3 53	2 166	16 119	15 172	10 187	12 185	11 161	19 54	9 95
18 93	3 147	12 197	2 69	19 49	11 41	7 72	9 151	16 38	5 49	17 99	13 196	14 196	15 61	8 179	6 89	0 139	1 9	10 129	4 140
14 127	15 62	4 200	16 78	10 47	13 150	5 17	2 51	8 39	1 172	0 86	18 166	19 95	11 41	9 10	3 153	7 69	17 146	6 156	12 84
17 174	11 86	12 92	16 39	13 200	7 25	8 179	15 5	2 31	14 90	5 142	19 20	6 164	3 160	9 129	18 89	4 27	1 69	10 156	0 169
6 147	2 149	15 39	17 177	9 59	8 144	3 198	10 187	4 146	18 138	13 70	5 91	0 107	19 84	14 69	12 63	7 9	11 12	1 195	16 91
9 132	1 132	18 137	12 36	7 165	10 178	5 74	17 1	15 173	2 28	13 162	4 33	16 23	3 72	8 181	0 30	11 194	6 118	14 65	19 79
6 104	3 67	1 40	10 188	8 53	5 171	17 19	0 147	16 88	14 35	11 16	2 24	19 71	15 108	12 144	9 12	18 112	7 118	4 192	13 103
9 175	16 97	4 158	18 155	10 91	12 132	17 72	7 61	0 148	15 109	5 3	6 62	2 147	19 169	3 47	13 169	8 70	14 66	11 171	1 20
3 192	13 80	17 195	10 153	16 33	0 95	7 127	1 17	8 156	14 132	2 31	6 19	12 137	11 55	5 197	15 173	9 17	19 165	4 171	18 96
3 13	6 11	18 61	19 16	16 180	7 152	12 163	0 184	11 181	9 114	8 180	5 198	17 24	15 166	10 173	2 91	1 33	13 79	4 87	14 36
3 126	5 144	4 112	2 196	10 2	19 26	18 8	12 166	7 164	17 133	0 21	13 146	9 15	16 97	6 167	14 118	8 132	1 22	15 182	11 61
0 93	15 156	4 103	3 24	5 131	1 84	11 171	8 72	16 132	2 123	10 50	6 124	14 136	17 11	19 149	9 24	12 3	13 175	18 55	7 161
