100	20
2 73	3 29	11 34	19 57	4 10	16 2	14 8	0 42	5 98	13 56	9 2	17 29	1 30	12 79	10 99	6 84	7 84	8 47	18 46	15 51
7 57	15 24	17 46	16 54	8 75	4 82	6 95	11 75	18 2	13 27	1 15	3 2	5 16	2 26	0 7	14 13	9 50	10 32	19 23	12 75
6 84	18 27	2 78	14 89	10 67	1 33	4 87	8 85	15 40	0 53	12 79	3 70	17 87	9 36	7 7	16 51	13 53	11 10	19 48	5 55
8 24	14 5	9 93	5 22	19 19	7 92	10 50	16 70	15 37	12 23	1 71	6 3	3 29	4 85	2 4	18 88	13 38	11 73	17 15	0 64
17 97	1 28	10 67	3 5	14 33	8 87	7 78	18 4	9 26	4 73	13 63	0 77	6 10	11 29	16 58	5 11	19 88	12 84	2 86	15 69
13 52	19 57	0 68	7 79	10 59	1 32	3 61	14 3	18 34	2 44	8 6	17 20	16 19	6 52	12 56	9 65	15 19	4 37	11 42	5 91
16 54	5 58	13 2	4 80	3 82	10 61	6 11	1 10	2 97	9 88	14 51	15 45	19 33	18 8	17 76	8 51	11 47	7 29	12 30	0 85
10 43	0 59	6 59	9 36	3 86	11 79	8 48	19 85	2 75	14 38	18 7	17 38	5 42	1 46	13 80	15 38	7 13	4 60	16 60	12 47
18 9	8 81	5 97	7 48	4 92	1 62	0 5	13 64	11 66	16 31	10 90	3 40	2 95	14 74	17 96	9 57	15 6	19 5	6 57	12 97
12 10	1 13	13 12	10 23	14 49	11 68	5 43	19 98	6 53	9 63	7 38	15 53	2 60	16 32	0 61	3 73	4 58	17 7	8 12	18 75
16 52	6 45	13 90	19 72	5 41	7 13	9 48	4 12	8 88	18 97	11 59	10 80	2 48	17 20	14 29	15 93	12 91	3 15	0 22	1 54
12 55	3 40	16 2	19 30	0 92	13 61	7 49	10 18	4 24	9 86	17 38	1 16	14 28	6 14	5 87	15 58	2 84	18 90	8 42	11 85
5 24	18 33	6 31	12 13	1 46	0 13	14 43	4 81	16 51	7 53	2 26	13 80	19 70	10 40	9 52	11 24	8 72	17 79	15 42	3 92
15 55	10 3	11 1	17 55	8 98	16 92	0 16	3 43	6 71	18 81	9 97	12 40	14 24	5 89	1 22	7 77	19 42	2 9	4 28	13 75
19 15	1 59	6 32	5 99	18 94	16 16	15 42	3 96	17 73	2 72	9 73	11 28	8 50	4 97	13 69	7 44	0 80	10 92	12 79	14 43
