80	20
17 136	19 63	2 6	14 90	6 12	0 141	12 57	10 132	5 198	9 187	8 77	7 55	18 140	11 38	1 177	4 151	3 172	15 34	13 41	16 40
15 94	10 55	12 174	14 12	3 66	0 27	19 139	7 92	9 34	18 86	13 36	2 107	17 118	11 43	4 106	6 68	1 99	8 26	5 69	16 70
14 50	11 170	5 1	18 102	13 194	9 26	0 25	17 191	2 15	3 191	1 33	10 97	7 141	8 136	19 95	12 22	16 20	6 63	15 194	4 184
4 128	6 174	9 20	18 31	16 187	11 110	1 134	8 159	7 200	3 6	10 95	19 116	17 156	15 68	0 191	14 13	13 46	12 41	5 76	2 95
12 40	0 74	6 99	2 120	10 122	1 34	13 59	8 34	3 41	9 153	15 75	16 146	11 126	5 11	17 56	7 182	18 131	4 168	19 194	14 165
9 14	17 169	5 71	12 66	8 174	16 180	19 115	18 27	13 79	14 161	10 138	6 115	2 124	1 38	11 1	0 156	7 82	3 79	15 122	4 46
11 170	17 80	16 10	9 48	4 56	3 28	2 22	14 155	7 118	13 75	5 154	1 90	15 69	0 186	8 134	10 103	12 45	19 69	18 153	6 181
7 81	6 176	18 186	8 129	13 113	10 122	15 12	9 71	2 154	17 54	14 70	12 124	1 62	0 81	4 37	3 155	19 186	11 78	16 92	5 190
7 156	9 163	1 50	4 181	17 26	6 152	8 164	13 183	3 55	18 32	5 197	19 58	10 37	2 121	14 187	16 71	12 107	11 50	0 9	15 132
19 119	17 78	10 156	15 138	1 18	2 87	5 163	8 165	18 124	6 173	16 12	4 42	9 135	14 135	0 122	7 180	11 145	3 182	13 66	12 194
10 1	2 3	0 171	12 10	15 45	8 183	3 36	7 18	9 43	18 141	6 171	19 130	5 190	17 96	13 182	16 133	14 45	11 110	1 131	4 5
6 16	19 109	18 85	13 151	5 3	11 117	17 174	8 38	16 93	2 101	0 121	15 104	9 200	14 198	1 148	7 18	12 143	3 39	10 56	4 169
16 86	5 41	3 95	2 32	6 37	9 185	12 102	11 20	0 75	18 85	13 49	10 111	14 143	8 112	1 45	15 153	17 2	19 56	4 18	7 146
4 149	19 171	12 155	2 164	5 168	1 114	18 44	7 152	8 5	13 114	16 185	15 62	14 60	9 199	3 20	0 81	11 109	6 122	17 49	10 169
18 97	11 102	17 179	7 75	12 2	4 76	10 48	5 147	16 59	15 166	9 150	19 45	3 16	8 48	0 99	2 36	1 166	6 53	14 194	13 140
1 155	13 40	7 58	18 198	11 65	14 47	17 60	10 96	9 86	2 75	3 108	5 90	6 137	8 77	15 79	12 14	19 183	16 17	0 165	4 153
16 189	9 186	3 115	4 153	14 9	15 35	10 200	8 78	11 174	18 32	7 69	2 165	19 170	0 19	6 194	13 177	17 190	1 36	5 157	12 35
18 54	9 190	7 165	16 26	12 86	2 184	15 162	13 129	8 14	14 56	17 26	5 29	19 15	1 27	10 3	0 21	4 143	11 149	3 47	6 143
5 91	6 60	17 109	10 74	18 30	16 42	0 166	15 29	14 159	7 88	9 97	2 168	3 80	19 121	13 133	12 39	1 113	11 195	4 26	8 74
19 43	2 11	17 93	15 46	7 34	9 157	8 18	16 131	13 123	0 155	6 6	4 9	5 165	10 91	1 88	3 168	14 5	12 140	11 187	18 170
15 73	2 172	8 108	16 44	11 189	0 125	9 198	3 104	13 152	18 185	10 38	4 154	17 192	7 54	5 182	6 150	14 125	12 184	1 173	19 60
1 112	16 171	13 122	12 114	19 195	6 40	11 23	9 34	7 49	3 45	18 15	0 92	17 130	15 116	2 186	14 4	4 180	8 60	10 52	5 196
14 13	17 82	0 140	7 51	1 5	5 178	19 194	15 104	9 185	3 2	4 46	12 106	10 109	8 131	11 195	13 101	6 122	16 63	2 166	18 187
7 113	9 15	18 181	16 58	10 86	2 147	14 96	11 13	19 102	8 174	12 23	13 88	4 61	15 148	0 3	5 104	3 57	6 146	1 117	17 54
4 63	14 128	17 10	15 66	0 111	13 29	1 63	19 51	6 9	7 22	2 154	16 156	9 182	18 177	11 178	12 5	5 115	8 51	10 134	3 57
8 121	19 48	16 166	13 58	17 46	6 16	12 155	5 34	10 151	7 161	14 68	18 125	4 62	2 59	3 178	9 57	11 42	0 57	1 191	15 8
8 192	19 4	1 48	15 123	7 167	12 122	3 105	16 180	0 60	18 53	11 73	10 190	6 190	2 196	13 101	17 60	9 9	4 100	14 129	5 178
11 104	0 178	10 142	13 183	6 86	14 184	1 79	15 11	12 15	9 190	17 27	4 117	2 157	3 179	8 120	5 161	16 107	18 137	7 97	19 153
9 82	18 126	11 157	10 82	12 52	16 188	4 175	15 25	8 160	2 185	14 89	3 198	6 65	5 194	0 113	19 18	17 141	1 86	13 179	7 152
15 44	19 78	3 104	16 200	2 132	4 13	12 183	9 79	14 158	13 175	5 106	7 130	6 185	17 145	0 5	8 53	1 66	18 199	10 104	11 134
17 109	0 64	13 159	19 44	11 119	10 47	2 103	14 197	15 102	6 175	18 133	8 90	5 6	1 125	3 65	7 79	12 83	4 113	16 91	9 34
18 117	3 124	14 196	11 47	0 110	4 109	19 91	17 115	9 22	8 19	16 194	1 45	13 135	12 110	10 68	6 110	7 56	2 188	15 110	5 153
18 192	15 43	19 78	12 180	2 86	6 161	1 147	10 117	17 23	13 59	3 86	8 62	0 8	7 200	14 127	16 120	4 45	9 196	5 188	11 102
15 14	3 106	18 136	16 14	8 53	14 165	19 174	13 82	6 88	12 145	17 108	10 19	2 104	9 178	4 26	1 114	5 106	0 94	11 161	7 32
16 104	13 145	17 113	6 64	12 101	7 114	9 48	15 84	18 96	14 154	19 197	5 179	11 131	4 68	0 59	2 180	1 179	3 194	8 186	10 174
6 6	18 4	8 171	4 89	9 175	1 147	14 135	13 125	3 107	0 44	11 88	12 126	15 11	10 125	2 2	16 147	5 167	7 97	17 114	19 134
15 117	4 27	14 13	19 130	8 162	0 190	18 160	10 159	17 73	6 146	16 56	3 11	9 100	2 150	13 110	1 119	12 28	5 183	11 168	7 158
4 10	15 126	9 197	13 73	11 63	6 27	2 78	8 83	18 169	19 135	7 134	17 14	10 16	14 112	12 66	5 48	3 26	1 124	0 175	16 57
2 83	19 177	18 169	0 155	15 78	10 184	11 23	13 119	17 27	9 22	6 74	5 192	12 97	1 26	14 101	8 41	3 94	4 75	7 167	16 120
13 144	11 101	16 123	9 38	17 120	14 167	10 71	0 98	4 144	2 197	19 168	18 7	1 14	5 39	15 159	8 153	12 131	7 118	3 53	6 105
13 93	7 198	12 55	2 129	11 184	16 135	17 172	9 126	15 93	1 93	18 20	5 171	6 166	19 33	3 120	8 80	4 51	10 159	14 138	0 161
19 96	12 82	6 41	7 145	11 136	15 31	9 132	3 98	0 182	5 4	17 195	18 131	13 46	16 58	2 98	14 118	10 23	8 180	1 184	4 109
