60	20
4 116	10 198	5 6	15 64	14 155	18 148	3 20	7 126	2 45	1 149	19 18	17 81	9 67	0 5	8 85	6 52	16 25	12 120	13 123	11 24
2 162	0 173	19 162	6 31	5 152	9 72	17 74	1 97	16 147	14 170	13 1	18 163	10 131	8 110	4 58	12 141	11 120	3 99	7 88	15 63
7 24	5 117	13 152	16 83	0 196	8 41	15 6	11 62	14 99	17 192	9 63	4 111	12 167	19 12	2 110	10 84	6 179	3 103	1 15	18 199
16 18	19 23	6 108	9 78	15 137	3 98	4 48	14 180	5 43	18 194	1 193	0 187	10 72	17 56	8 1	2 20	7 170	11 156	13 97	12 94
16 159	17 132	14 175	18 4	0 153	19 161	8 116	3 54	13 186	1 163	10 62	4 149	7 14	11 18	5 59	15 41	2 123	12 142	6 109	9 38
5 13	15 18	18 74	6 115	13 56	8 29	4 174	9 52	2 117	0 187	14 150	12 32	1 76	7 52	11 95	16 57	10 46	17 145	19 82	3 92
7 143	11 187	9 172	1 133	13 69	16 51	15 81	8 92	19 196	3 20	12 21	5 70	6 103	0 178	17 73	2 4	18 25	10 78	14 43	4 186
10 63	6 49	11 72	7 77	1 149	8 129	3 153	18 60	2 52	13 63	9 85	16 175	5 45	12 71	15 3	14 199	17 31	4 26	0 89	19 88
6 143	14 77	5 148	1 96	12 67	11 36	10 34	13 85	8 62	2 185	17 81	0 94	15 63	3 11	16 153	19 135	7 139	4 179	9 128	18 9
8 82	4 43	11 42	12 14	19 60	3 143	18 175	17 152	16 13	2 60	7 137	10 45	15 61	1 85	6 153	9 137	5 167	0 124	14 162	13 107
8 56	0 141	19 7	13 8	5 110	17 30	15 3	12 43	2 158	7 97	9 98	3 162	6 155	11 93	14 150	4 155	1 107	18 11	16 179	10 128
14 53	11 35	15 85	8 156	16 45	4 132	3 16	18 136	0 142	19 154	17 97	12 198	5 81	9 164	7 9	1 94	6 90	10 170	2 48	13 198
17 160	8 42	7 181	12 168	19 27	9 137	13 86	11 199	15 4	1 58	16 172	6 39	4 65	0 47	14 31	5 168	2 93	10 195	3 80	18 23
7 20	4 134	14 197	6 81	12 100	0 1	17 193	1 118	2 189	13 33	9 146	11 20	5 120	10 127	18 6	8 38	19 142	3 47	15 29	16 90
10 155	12 150	14 56	13 135	0 54	18 108	11 161	8 15	16 144	4 116	7 115	6 185	5 184	17 114	3 26	19 108	2 43	1 52	9 23	15 153
9 171	3 166	12 127	19 16	1 105	7 171	10 27	16 65	4 54	11 2	17 68	14 75	8 3	0 53	6 81	5 99	2 173	13 179	18 104	15 137
8 113	7 110	1 24	15 176	17 99	2 131	13 135	5 162	16 98	11 10	0 155	9 194	4 171	6 111	19 145	14 142	18 45	10 132	12 188	3 48
1 6	18 77	7 178	16 165	2 50	11 53	12 13	14 3	3 47	0 197	15 28	10 39	17 109	5 62	19 154	9 124	4 51	6 105	8 188	13 18
12 106	18 106	11 72	2 131	6 146	8 81	16 177	15 83	17 67	0 136	14 71	1 102	19 171	4 12	10 193	3 41	5 6	13 169	9 138	7 180
