40	5
0 44	4 93	2 24	1 88	3 91
2 13	0 27	3 97	1 9	4 67
2 4	1 51	4 60	0 95	3 68
0 96	3 92	4 94	2 90	1 82
0 90	3 31	1 56	4 82	2 25
0 88	3 47	4 99	2 45	1 58
1 42	0 60	2 88	4 40	3 97
1 91	4 54	2 71	0 26	3 71
0 60	2 66	1 11	3 60	4 12
0 68	1 92	3 63	4 83	2 13
1 52	3 5	4 88	2 92	0 31
4 89	0 29	2 8	1 75	3 11
0 87	2 8	4 5	1 30	3 45
1 71	2 34	3 90	4 22	0 1
4 39	0 92	1 5	2 9	3 82
0 82	4 98	1 16	3 95	2 94
3 19	1 32	2 13	0 14	4 34
2 84	3 54	0 72	1 86	4 96
4 79	3 51	0 5	2 4	1 33
2 65	1 4	0 80	3 29	4 33
4 18	3 12	0 29	2 65	1 35
1 53	4 43	3 47	0 36	2 64
4 22	3 14	0 66	1 24	2 26
2 13	4 99	3 91	0 81	1 2
2 25	4 56	0 88	3 46	1 66
2 60	3 58	1 54	0 91	4 35
0 24	2 31	4 34	3 46	1 62
3 17	4 13	2 8	0 29	1 12
4 84	1 79	3 90	2 47	0 91
0 48	1 67	2 78	4 81	3 68
3 39	4 76	0 16	2 70	1 61
0 22	2 69	3 13	4 7	1 43
4 72	0 44	1 7	2 11	3 75
0 14	1 52	4 98	3 84	2 38
4 23	1 28	0 72	2 54	3 26
1 89	3 4	4 22	0 53	2 99
2 80	4 3	1 27	0 53	3 38
1 71	4 70	0 56	3 8	2 77
3 69	2 53	0 54	4 38	1 53
2 35	3 21	4 31	1 3	0 31
