15	40
16 55	34 49	32 53	30 44	20 52	14 48	4 53	13 48	24 49	11 44	21 51	35 53	8 55	36 53	22 51	6 51	37 47	29 54	2 53	3 53	31 45	26 56	27 49	25 47	28 40	7 39	33 47	38 57	18 45	10 53	5 50	19 45	23 57	15 50	12 49	0 48	39 51	9 44	17 49	1 54
2 45	35 49	16 43	12 51	17 50	31 53	19 47	29 49	23 49	26 42	27 48	34 44	32 60	39 52	14 52	38 55	36 51	25 52	21 49	18 50	15 48	37 54	22 54	4 40	7 47	11 51	20 44	24 59	10 45	5 53	28 41	6 48	1 43	3 44	9 55	30 56	13 58	8 47	0 53	33 49
23 48	8 51	29 56	20 48	35 49	36 50	5 49	27 46	24 46	7 40	0 53	1 55	3 52	10 49	38 54	16 46	6 58	26 54	4 43	39 50	14 50	11 49	15 47	12 47	22 47	9 48	31 54	19 51	34 60	37 50	33 44	13 44	25 51	17 48	21 46	32 49	28 49	2 65	30 54	18 52
5 53	6 49	27 48	22 57	24 55	36 47	1 53	11 58	20 57	0 48	14 56	29 48	19 44	4 50	16 53	12 57	26 55	3 56	34 42	35 45	21 52	17 47	32 47	39 54	18 50	28 56	30 57	25 66	33 48	13 51	31 48	7 46	2 40	37 44	9 56	10 54	23 56	38 51	15 56	8 48
36 53	17 42	21 53	28 55	9 46	1 50	38 38	7 57	19 44	5 57	12 45	6 45	31 44	26 39	24 48	30 49	34 52	29 52	16 55	10 54	0 43	33 52	3 55	15 51	37 48	11 53	2 53	22 45	23 47	14 50	20 48	27 48	18 50	39 59	32 47	4 54	35 49	13 51	8 51	25 47
7 48	17 55	35 48	32 41	1 53	26 52	18 58	29 53	3 50	27 47	24 38	4 50	38 56	21 45	16 41	28 47	20 43	13 47	0 50	19 53	34 48	10 47	37 44	6 40	15 45	33 52	31 50	2 59	12 47	11 56	22 51	14 50	39 52	30 53	5 45	8 52	36 58	23 52	9 58	25 49
1 48	18 54	28 47	32 48	25 44	12 48	33 51	29 51	26 44	4 37	20 63	27 48	17 58	14 46	21 54	3 50	8 43	15 48	22 53	30 51	19 56	39 47	24 54	7 47	11 58	31 55	6 51	5 50	2 47	23 43	36 55	10 48	37 44	9 66	34 63	13 47	16 45	38 48	0 49	35 54
31 48	15 56	1 45	17 41	33 42	37 49	22 54	12 42	25 48	13 59	3 56	4 40	30 49	26 49	34 52	10 53	36 45	8 47	9 45	14 46	27 49	29 52	23 41	21 45	11 57	19 49	39 49	16 51	5 48	24 44	32 40	6 46	18 43	2 41	20 47	7 57	35 48	38 51	28 49	0 53
10 52	19 56	30 53	2 53	33 41	23 53	28 56	9 55	34 50	11 54	39 55	12 49	36 48	4 55	3 46	14 44	31 56	0 48	35 48	24 48	38 47	27 47	29 50	6 45	7 53	17 50	8 58	15 44	25 42	18 54	37 62	13 42	5 43	32 43	26 45	20 53	21 51	1 49	16 54	22 48
24 52	26 55	18 49	37 42	34 50	1 48	16 51	20 47	31 49	3 47	4 51	36 55	0 50	9 57	39 50	38 47	27 46	22 51	32 50	14 51	28 56	29 56	21 48	23 47	30 56	17 50	7 51	6 52	11 44	19 51	5 36	8 47	35 56	10 53	15 47	2 49	33 45	13 47	25 46	12 54
16 46	26 47	33 49	34 49	5 45	39 45	19 57	10 49	14 47	18 54	6 52	4 54	8 51	38 57	21 46	32 47	2 49	1 60	15 48	24 50	35 56	31 45	37 58	9 52	20 45	0 53	17 44	25 52	22 51	29 47	11 44	13 59	27 51	3 50	7 52	28 44	30 57	12 54	36 55	23 50
39 41	16 45	14 52	36 53	15 52	24 45	22 55	35 51	4 46	30 41	28 48	27 50	6 48	38 48	26 49	23 53	20 50	37 55	12 51	18 49	0 51	21 52	5 44	11 57	8 50	1 53	19 48	3 41	29 47	17 58	31 46	10 59	9 46	2 51	34 50	7 50	32 48	25 44	13 48	33 53
24 51	9 54	25 51	17 49	13 51	37 54	1 45	6 44	8 48	0 57	39 57	15 49	36 49	19 48	20 53	10 48	12 59	34 56	35 57	18 38	4 50	2 47	14 51	29 46	3 57	23 45	26 50	21 42	11 44	30 44	27 47	7 49	31 55	28 42	16 49	33 48	38 56	22 53	5 54	32 56
8 56	5 50	21 52	18 56	30 41	3 44	12 61	10 48	39 46	6 56	37 50	32 54	25 57	33 38	17 46	31 49	16 49	24 49	36 48	11 57	23 54	7 47	22 41	13 50	27 50	28 53	15 42	35 51	19 43	34 47	29 52	2 58	0 53	26 37	20 48	1 51	14 50	4 46	38 49	9 53
3 41	10 44	38 52	37 49	20 55	26 48	2 50	36 43	24 53	23 52	7 54	28 50	8 52	30 54	13 41	18 53	0 46	29 47	21 42	32 54	33 50	5 54	31 52	11 45	25 46	19 50	34 53	27 56	14 40	4 42	39 44	9 57	22 42	15 54	35 48	12 45	16 48	6 41	17 55	1 48
