30	20
1 70	18 83	0 198	12 157	8 16	14 42	16 95	10 153	2 133	3 165	15 86	7 40	19 48	17 9	13 31	4 197	5 114	11 32	9 145	6 196
12 160	18 103	0 7	1 173	19 145	7 49	5 68	9 30	15 170	3 181	11 184	14 195	8 177	13 133	2 2	17 75	6 196	16 106	4 65	10 142
10 184	15 173	7 115	1 100	17 100	8 72	0 30	19 3	11 57	18 195	12 2	2 30	3 182	14 133	5 118	6 116	13 107	16 188	4 117	9 19
1 108	9 163	15 4	12 149	13 126	6 32	16 58	5 124	3 53	19 119	18 19	14 60	11 161	4 85	17 131	8 106	0 58	7 9	10 13	2 149
17 6	14 170	16 16	11 61	18 23	5 35	6 57	13 14	8 131	4 115	1 37	12 147	3 115	2 145	10 38	0 164	15 155	19 163	7 182	9 197
14 19	9 57	16 44	0 131	1 9	2 171	17 83	11 99	15 56	5 19	12 147	18 159	10 139	4 37	19 119	7 195	3 142	8 64	6 25	13 123
11 127	19 144	16 133	1 57	12 162	15 60	2 47	5 200	8 80	13 153	0 147	14 165	10 142	17 191	3 117	18 51	9 16	4 109	6 93	7 194
19 82	12 15	5 115	13 116	4 190	11 183	1 115	14 176	9 173	0 87	7 72	16 63	3 148	8 68	17 145	18 161	6 178	2 8	15 32	10 140
7 49	0 194	14 128	9 102	6 17	11 159	17 136	13 109	8 26	5 200	2 198	15 47	3 51	4 107	16 24	12 104	10 67	19 22	18 49	1 129
14 62	10 57	18 29	12 178	16 85	9 158	6 37	1 36	17 163	11 105	19 37	5 132	15 134	3 72	8 104	0 111	13 174	4 110	7 125	2 142
5 121	17 14	11 144	16 52	9 182	3 59	0 56	14 33	1 101	8 173	2 98	7 190	6 162	10 106	13 112	15 41	18 17	12 4	19 182	4 200
0 190	11 168	17 107	7 51	13 188	12 177	2 154	19 87	4 73	6 33	10 200	8 89	15 184	18 104	5 159	1 97	3 121	9 166	14 134	16 174
3 175	17 192	15 159	6 128	5 5	2 11	19 61	4 105	7 15	16 199	11 86	12 191	13 19	14 90	8 94	0 52	10 83	18 163	9 93	1 64
4 23	12 73	13 76	16 23	6 166	9 18	14 97	7 132	10 193	19 48	15 178	8 102	5 182	0 186	18 177	11 57	17 59	2 9	3 198	1 181
10 101	9 119	4 18	1 200	2 62	13 64	15 128	0 107	8 188	12 143	17 176	18 125	6 27	14 17	3 30	11 85	5 190	7 35	19 172	16 24
0 72	10 93	15 13	8 102	17 105	4 154	16 63	11 86	6 111	13 94	3 173	12 155	14 35	7 72	18 23	5 158	19 86	2 149	1 149	9 29
2 175	17 38	3 13	5 72	14 12	18 126	1 119	8 194	11 67	7 9	15 129	10 147	9 141	16 80	4 24	12 167	6 12	13 51	19 55	0 59
10 85	12 157	15 41	7 8	1 33	2 184	13 194	8 86	6 8	18 168	4 76	19 16	5 47	0 92	16 31	11 74	14 89	17 188	9 119	3 187
0 124	16 107	10 10	15 120	13 55	6 188	17 73	14 62	12 113	9 172	5 95	19 64	1 8	11 97	7 43	2 160	3 24	4 28	8 55	18 91
9 80	19 175	10 166	13 112	5 94	18 2	4 142	3 147	11 133	0 86	12 28	6 130	15 43	1 67	14 11	17 43	2 122	8 168	7 33	16 2
17 188	12 75	6 2	8 140	2 31	13 153	10 32	0 27	14 186	1 116	18 10	9 32	19 155	4 168	7 41	5 140	3 51	15 40	16 170	11 56
3 199	14 111	12 164	2 157	1 6	7 76	16 40	6 94	15 78	8 111	13 121	4 48	19 106	10 61	17 136	0 103	11 107	5 189	18 139	9 81
15 173	0 90	16 84	14 83	5 18	7 107	4 7	10 148	8 20	13 45	17 123	18 87	9 84	12 117	19 80	2 92	6 93	11 154	1 136	3 39
2 68	3 147	7 98	18 88	1 146	14 158	6 161	19 74	8 31	0 84	17 131	4 176	5 189	16 187	10 108	15 58	13 13	12 183	11 25	9 13
9 183	11 118	13 173	1 90	5 123	19 116	15 118	6 87	4 187	10 96	14 25	17 103	8 32	12 7	16 65	2 5	3 11	0 111	7 93	18 12
5 23	4 23	13 154	11 18	0 11	3 149	17 141	14 149	12 133	2 52	1 13	18 83	15 139	16 32	10 96	19 25	7 118	8 44	9 57	6 58
1 9	10 83	0 126	6 35	3 159	5 198	14 24	8 105	16 50	18 157	9 85	4 101	12 11	2 3	15 178	17 159	7 158	13 48	19 40	11 103
2 163	9 75	12 7	0 52	1 42	18 1	11 152	3 81	13 105	8 14	19 78	17 70	10 17	4 200	5 48	15 21	7 180	14 53	6 100	16 156
12 122	18 43	5 117	3 38	7 102	9 68	14 6	19 5	0 13	6 118	2 150	4 159	10 129	17 7	8 119	16 112	15 49	13 31	1 122	11 71
13 98	14 169	4 83	9 14	10 34	11 114	18 126	7 194	3 182	1 48	19 71	17 87	5 91	2 98	12 37	8 87	6 146	15 121	0 2	16 8
