90	5
4 55	1 200	3 94	2 140	0 192
1 82	4 5	0 83	2 143	3 93
2 165	1 24	3 12	0 181	4 142
0 39	1 71	3 29	2 192	4 9
4 141	3 148	2 67	1 126	0 71
3 109	1 54	0 68	4 122	2 63
2 45	3 131	0 158	1 54	4 61
0 62	1 122	3 58	4 42	2 29
2 96	3 78	0 14	4 99	1 120
1 117	3 18	4 184	2 178	0 142
1 59	2 155	4 131	0 5	3 107
2 6	1 71	0 36	4 178	3 129
0 57	2 41	3 196	1 25	4 115
3 185	0 177	4 160	2 155	1 105
0 34	2 79	3 134	4 135	1 8
2 76	0 68	4 54	1 77	3 111
0 132	4 108	3 167	1 139	2 74
3 161	1 97	4 189	2 165	0 128
1 50	3 199	0 153	4 96	2 57
4 39	2 41	1 163	0 53	3 131
0 124	4 193	3 108	1 178	2 176
0 127	4 55	1 67	3 154	2 99
2 124	0 77	4 181	3 27	1 182
3 192	2 43	0 153	4 63	1 38
0 114	2 177	1 32	4 200	3 175
3 110	2 134	4 161	0 119	1 73
1 130	3 8	2 54	4 44	0 15
0 21	2 89	1 177	4 121	3 73
0 84	3 177	4 160	2 78	1 62
3 21	2 44	1 5	4 55	0 66
2 62	0 131	1 72	3 90	4 132
1 37	4 75	0 103	3 38	2 122
0 132	4 193	3 167	1 197	2 125
1 88	0 166	4 99	2 44	3 126
3 174	4 185	2 140	1 66	0 68
3 163	2 70	1 54	4 83	0 22
1 21	4 57	0 97	2 76	3 99
0 135	2 174	1 111	3 81	4 43
1 88	4 35	2 145	3 138	0 150
3 118	2 75	1 189	0 94	4 90
0 89	3 50	2 109	4 53	1 11
3 185	1 122	4 5	0 147	2 90
4 17	2 144	1 151	3 118	0 93
2 51	0 43	1 83	4 173	3 8
0 146	1 95	3 193	4 9	2 105
2 158	4 183	0 197	1 58	3 114
0 20	1 113	4 29	3 57	2 114
0 136	1 23	2 80	3 97	4 167
0 118	2 181	4 48	1 4	3 148
0 173	2 123	4 190	1 130	3 5
2 9	0 121	3 193	4 191	1 189
2 53	1 55	4 184	0 15	3 175
4 129	1 139	2 72	0 167	3 103
3 71	4 68	2 180	1 161	0 17
0 92	4 5	2 127	3 96	1 83
2 179	0 33	4 66	1 175	3 41
3 54	0 35	1 7	4 60	2 36
3 146	2 91	0 171	4 115	1 134
4 50	0 149	1 80	2 123	3 177
3 98	4 57	1 7	2 196	0 160
3 122	0 89	2 194	4 80	1 29
3 157	2 10	4 120	0 168	1 15
2 154	1 17	4 178	3 64	0 84
0 57	1 175	2 19	3 163	4 63
0 86	4 15	2 151	1 103	3 128
2 135	3 186	4 176	1 8	0 143
0 28	1 1	3 42	4 134	2 156
0 182	3 144	1 182	4 63	2 27
1 42	2 135	4 112	3 18	0 164
1 128	3 2	4 71	2 105	0 45
3 154	2 13	4 86	0 53	1 80
3 122	4 34	0 104	1 2	2 163
4 95	0 114	1 53	2 156	3 63
2 101	1 104	4 139	0 192	3 95
1 57	3 66	0 122	2 98	4 104
0 19	3 61	1 98	4 156	2 133
2 48	0 196	3 75	1 125	4 71
4 159	3 21	0 64	2 82	1 47
2 67	0 88	1 96	4 94	3 160
0 92	2 154	4 15	3 13	1 164
4 97	1 79	3 108	2 93	0 179
0 45	1 142	2 92	3 136	4 34
1 167	3 111	0 167	4 94	2 47
1 99	0 15	4 105	3 106	2 125
1 169	4 199	0 58	3 183	2 135
3 74	1 191	4 113	2 108	0 49
0 104	1 108	2 20	4 121	3 192
2 174	3 36	4 80	1 79	0 63
3 124	1 75	2 77	4 45	0 72
4 108	0 164	1 16	3 95	2 113
