40	5
3 129	1 79	2 22	0 158	4 149
3 76	0 184	4 130	1 172	2 95
4 163	1 70	0 28	3 2	2 43
4 152	1 53	3 81	2 97	0 142
0 58	4 167	1 185	3 5	2 4
1 147	3 84	4 41	2 68	0 128
4 185	0 188	2 180	3 193	1 117
0 61	3 62	2 186	4 116	1 162
0 40	4 2	1 145	3 55	2 200
2 131	3 144	4 185	0 117	1 70
3 99	1 75	0 46	2 188	4 167
1 68	3 118	4 177	0 192	2 76
2 57	4 23	0 39	3 124	1 7
0 110	3 150	4 119	2 176	1 25
0 52	2 55	4 7	3 190	1 149
1 64	2 116	0 144	3 129	4 56
2 74	0 122	3 104	1 184	4 178
2 13	3 34	1 146	0 147	4 75
3 186	0 106	4 57	2 65	1 124
1 200	0 36	4 6	2 105	3 154
4 112	2 107	1 45	0 119	3 179
4 42	0 94	1 144	3 132	2 157
1 146	2 70	4 33	0 113	3 130
0 121	1 73	3 40	4 117	2 28
0 63	1 90	3 38	4 76	2 188
4 159	3 14	1 91	0 10	2 114
1 135	2 32	0 56	3 46	4 167
3 80	2 28	0 192	4 74	1 49
0 200	1 154	4 192	3 75	2 179
4 94	0 2	2 29	3 169	1 46
2 6	3 148	4 134	1 38	0 5
0 186	4 19	3 45	1 151	2 187
3 114	4 101	1 139	2 76	0 68
3 124	1 39	0 4	4 98	2 129
2 56	0 86	4 20	3 179	1 43
3 46	0 104	1 66	2 146	4 196
1 130	0 134	3 188	4 125	2 77
0 174	3 87	1 137	2 182	4 125
0 140	2 132	1 91	3 70	4 116
3 160	4 65	2 68	0 53	1 174
