80	5
3 99	1 2	0 64	2 84	4 69
1 46	4 20	2 48	0 78	3 70
4 7	2 14	3 62	1 68	0 97
0 54	1 85	4 70	3 37	2 29
4 55	3 80	1 60	2 39	0 7
0 82	2 59	3 81	4 35	1 62
1 50	4 27	2 57	0 74	3 62
2 50	4 92	1 13	3 7	0 69
3 81	0 57	2 77	4 50	1 42
1 75	2 12	0 61	3 33	4 13
2 72	4 82	0 23	1 3	3 14
2 17	3 77	0 60	1 46	4 84
4 24	3 35	1 93	0 75	2 67
3 33	1 93	0 20	4 68	2 84
2 50	3 88	0 73	4 34	1 25
0 68	3 52	1 59	4 63	2 95
4 66	3 35	1 49	2 27	0 63
3 84	4 29	1 43	0 5	2 73
1 60	2 84	3 90	0 43	4 85
2 61	3 95	1 76	0 15	4 85
2 89	0 19	3 4	4 11	1 87
1 25	2 63	0 61	4 11	3 20
1 34	4 30	0 89	3 94	2 39
4 54	3 66	1 88	0 12	2 74
0 4	1 66	4 53	3 96	2 90
4 21	3 30	2 35	1 34	0 8
3 95	1 66	2 48	4 34	0 5
0 21	2 16	1 17	3 88	4 6
2 2	4 71	1 27	3 80	0 30
4 94	1 39	3 12	2 49	0 4
0 47	2 22	3 37	1 75	4 72
3 35	1 59	2 58	0 74	4 80
2 89	4 68	0 41	3 83	1 79
4 90	0 71	3 23	2 25	1 98
2 6	3 2	0 31	1 79	4 81
2 24	0 9	1 98	3 83	4 65
2 90	1 77	4 97	0 45	3 6
2 35	4 45	0 47	1 27	3 37
3 20	1 53	4 29	2 46	0 44
4 31	2 27	1 20	0 5	3 52
4 10	3 47	1 50	0 8	2 75
4 52	2 34	3 92	0 31	1 45
2 64	0 16	1 83	3 19	4 53
3 18	1 28	4 32	2 91	0 39
1 39	3 71	0 91	4 18	2 45
0 29	3 71	2 17	1 1	4 25
0 33	4 91	2 99	1 24	3 86
1 38	0 46	2 4	4 18	3 80
0 75	1 80	2 9	3 18	4 58
0 11	4 36	3 45	2 41	1 27
2 47	3 20	0 38	1 32	4 33
0 42	4 90	3 63	1 17	2 45
0 88	3 68	1 28	4 32	2 74
2 73	4 38	0 14	1 75	3 60
2 78	4 48	0 95	1 81	3 14
4 73	0 97	3 46	1 98	2 61
1 15	3 7	4 1	0 76	2 6
3 41	0 55	4 66	1 78	2 31
0 73	1 7	4 35	2 93	3 18
0 4	1 52	4 92	2 35	3 51
3 43	1 95	4 5	2 73	0 70
4 55	0 81	1 55	3 16	2 88
0 71	3 46	4 57	1 40	2 61
1 53	3 21	0 47	4 55	2 87
2 90	4 66	0 22	3 56	1 89
4 84	0 28	2 41	1 51	3 26
2 56	1 37	3 90	0 36	4 72
0 65	1 40	4 95	2 41	3 28
1 67	4 4	0 90	2 17	3 82
4 44	3 80	0 73	1 17	2 99
2 6	0 19	1 48	3 78	4 97
0 31	2 47	4 48	3 30	1 73
2 81	4 44	0 79	1 54	3 64
1 18	3 76	4 24	2 66	0 16
2 88	0 86	4 11	1 83	3 52
0 10	3 77	1 69	4 8	2 78
1 73	0 88	3 57	4 98	2 44
2 31	3 97	0 29	1 96	4 45
3 62	4 98	1 11	0 71	2 65
4 66	3 9	1 1	2 77	0 5
