30	15
0 72	1 3	3 97	9 80	4 47	11 23	10 60	14 18	8 1	6 48	13 85	12 45	7 38	2 61	5 83
4 42	1 28	13 22	9 93	0 27	14 91	5 94	2 71	6 81	3 70	10 75	8 23	7 40	12 3	11 52
13 28	0 6	5 26	6 98	12 66	2 56	11 88	9 73	10 72	4 76	14 26	7 30	1 11	8 76	3 7
0 9	10 87	12 77	14 1	8 51	9 37	6 28	11 50	13 52	3 43	7 87	4 10	5 17	2 95	1 55
10 36	2 87	14 36	8 10	5 63	3 15	13 48	0 99	11 75	6 63	9 6	4 92	12 12	7 83	1 31
2 27	13 16	12 58	0 93	9 40	1 57	7 50	8 38	14 39	6 53	11 20	4 61	10 99	3 26	5 78
2 89	5 95	3 18	8 11	10 90	6 7	14 60	7 95	9 80	13 85	4 34	12 2	0 38	11 43	1 64
11 60	6 60	3 10	12 48	1 59	9 11	4 32	7 16	10 52	5 49	2 58	14 59	8 67	13 18	0 51
1 58	10 92	5 17	3 26	4 11	8 60	2 33	7 43	11 30	13 74	12 35	0 21	9 88	6 38	14 89
3 9	2 84	0 43	6 20	5 86	7 91	8 76	12 10	14 98	9 90	4 83	1 84	11 87	13 9	10 75
9 50	4 18	10 24	11 74	6 69	3 67	2 21	8 94	14 65	5 67	13 7	1 11	12 97	0 46	7 67
9 21	2 37	6 17	7 92	11 95	0 6	5 21	4 22	13 89	1 20	10 72	12 79	14 92	3 7	8 97
4 33	8 12	11 23	1 94	3 52	12 9	9 77	6 80	2 64	14 3	13 51	0 43	5 4	7 88	10 64
1 44	4 61	3 98	13 7	9 45	14 2	11 27	12 92	0 34	8 99	7 52	10 35	5 78	6 68	2 16
2 23	11 35	4 51	14 49	0 2	6 18	8 8	3 44	12 74	1 50	7 32	10 78	5 80	13 6	9 80
10 41	13 91	11 53	3 77	8 51	5 8	6 28	9 10	4 3	0 59	2 99	1 81	7 22	14 98	12 6
0 88	8 61	3 56	5 1	7 63	2 67	10 19	4 33	12 67	6 2	11 78	9 80	13 64	14 81	1 42
12 95	9 24	2 61	10 99	8 11	6 70	1 59	3 29	4 79	13 21	0 60	14 79	11 63	5 3	7 19
6 92	0 38	3 22	12 36	4 17	8 68	7 6	2 65	5 68	13 92	1 48	9 86	10 65	14 52	11 94
12 46	4 52	0 84	10 99	2 54	8 14	5 49	3 96	11 31	7 28	14 80	9 7	13 60	6 35	1 14
5 89	2 67	7 43	9 17	11 69	6 32	8 23	1 24	0 73	13 14	4 49	14 2	3 72	12 56	10 42
11 40	1 42	14 41	2 50	5 39	6 26	9 35	10 59	7 37	4 19	13 68	12 79	3 85	0 54	8 29
3 1	13 7	4 5	2 97	12 92	10 17	0 98	5 83	14 25	9 79	11 91	6 82	1 13	8 57	7 69
9 75	12 64	10 9	13 48	5 73	7 48	4 48	14 43	3 37	0 92	8 3	6 34	11 45	1 64	2 21
4 11	11 67	14 95	3 49	5 68	8 34	7 77	12 68	6 23	13 70	0 56	10 34	9 60	1 40	2 88
5 37	0 18	1 36	4 38	3 53	10 49	7 34	12 94	8 69	9 93	13 92	6 81	11 73	14 12	2 97
13 96	1 57	12 70	6 86	8 83	14 8	4 50	11 19	3 19	10 73	9 13	7 98	0 48	2 32	5 44
8 37	14 67	4 35	3 94	0 42	1 65	5 64	12 51	11 64	6 52	7 68	10 81	9 39	13 20	2 89
6 79	11 43	4 71	13 62	0 88	5 64	7 89	3 3	10 97	9 18	12 37	1 60	2 57	14 99	8 62
14 86	10 28	1 1	12 97	2 38	6 28	4 85	7 7	8 81	3 5	13 41	0 42	9 83	11 87	5 54
