15	10
7 37	2 3	3 71	9 8	5 50	4 17	6 42	1 12	0 53	8 17
9 81	0 81	1 11	7 53	2 6	3 19	8 43	4 5	5 48	6 71
5 43	2 92	9 90	7 50	4 84	8 34	0 9	6 15	3 99	1 97
2 52	5 80	1 43	9 86	4 75	6 70	0 89	7 35	3 53	8 67
1 16	2 13	7 78	8 52	0 27	3 53	9 79	6 31	4 83	5 44
8 6	6 88	0 49	9 40	7 52	5 29	2 64	4 31	3 92	1 36
0 84	8 11	2 40	5 87	3 4	7 22	9 8	6 74	1 89	4 33
9 5	3 37	8 6	7 88	4 80	5 88	2 81	6 55	0 8	1 78
7 88	9 69	4 66	2 58	0 4	1 32	6 62	5 98	3 93	8 90
1 43	4 51	8 5	6 50	3 12	7 50	9 71	2 89	5 85	0 47
6 45	5 70	2 10	0 10	9 81	4 30	1 41	7 73	8 41	3 99
7 87	8 72	3 87	6 97	1 88	0 5	5 28	4 22	2 27	9 88
7 64	6 41	0 60	2 65	9 91	1 5	4 53	3 38	5 32	8 72
2 27	4 8	9 49	3 3	7 83	8 29	5 34	0 68	6 70	1 15
4 10	7 31	6 51	0 20	1 24	8 1	2 20	9 37	5 62	3 31
