40	5
4 133	1 41	2 56	0 105	3 27
1 67	3 178	2 111	0 69	4 176
2 169	3 185	4 101	0 60	1 184
4 92	3 32	1 169	0 118	2 49
0 139	4 44	2 15	3 118	1 24
0 98	3 50	2 34	4 96	1 138
2 130	0 15	4 147	1 62	3 87
2 122	4 177	1 197	3 27	0 198
1 57	4 168	2 62	3 140	0 43
4 188	0 88	1 149	2 30	3 5
0 119	2 27	1 186	3 151	4 142
2 198	3 31	4 119	1 140	0 99
1 107	3 166	4 64	2 115	0 33
1 6	4 190	3 118	2 24	0 30
0 80	1 49	3 49	4 144	2 181
3 60	4 18	2 130	0 112	1 72
0 94	4 111	1 28	2 14	3 81
2 187	4 19	3 5	0 196	1 89
2 39	3 150	4 119	0 107	1 8
0 139	2 140	3 2	4 60	1 11
3 119	4 128	1 61	2 5	0 95
3 134	1 158	0 163	4 124	2 84
2 185	4 14	3 50	1 63	0 75
0 99	3 171	2 10	1 146	4 56
4 71	3 169	0 168	1 125	2 54
3 187	2 24	1 22	4 6	0 67
1 90	0 194	4 51	2 173	3 123
2 51	4 123	0 166	3 62	1 120
1 12	4 155	0 155	2 101	3 84
2 78	1 100	0 41	3 61	4 105
4 129	3 27	0 74	2 164	1 104
4 51	3 137	1 176	2 179	0 129
1 29	0 100	3 2	4 192	2 150
2 156	1 141	3 82	4 170	0 171
4 143	1 66	0 187	3 156	2 114
1 53	4 51	0 19	2 138	3 198
0 151	2 29	4 185	3 48	1 156
1 23	3 54	4 4	2 146	0 197
1 148	4 197	3 38	0 117	2 35
2 94	1 181	3 15	4 127	0 160
